,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Snrpf,4.88440921768101e-201,-0.386082080385715,0.325,0.569,1.29856903461267e-196
Ctnna3,1.28033477141341e-163,0.39499451114199,0.979,0.968,3.4038980232797e-159
Lncpint,3.14631995128989e-159,0.286665159630115,0.978,0.972,8.3648062224993e-155
Gm36975,1.33153852839578e-150,0.399888787916663,0.872,0.799,3.54002833159302e-146
Gm11290,4.53705842069274e-150,-0.64532317320044,0.309,0.505,1.20622235172537e-145
Creb5,1.0897101305336e-139,0.24499238799847,0.165,0.041,2.89710335303662e-135
Haghl,7.78742204918364e-137,-0.342026645696639,0.597,0.739,2.07036402599596e-132
Macrod2os1,5.06869248682858e-136,0.335501919563055,0.557,0.395,1.34756258454825e-131
AY036118,9.50227408961826e-136,0.355278405723218,0.784,0.657,2.52627458946591e-131
Malat1,4.89292410536482e-135,-0.274741436642982,1,1,1.30083280265229e-130
Dusp16,5.21706348193654e-134,0.248803641078701,0.349,0.176,1.38700849730765e-129
Aldoa,1.18025696531749e-133,-0.309499576005875,0.435,0.618,3.13783116799308e-129
Gm43376,2.58537333235708e-130,0.342912599893061,0.618,0.472,6.87347354140454e-126
Klf12,3.71773891197459e-127,0.330997432295617,0.88,0.833,9.88398067137564e-123
Gpr137c,1.17840581533644e-126,0.365243403848377,0.71,0.591,3.13290970065346e-122
Gm48091,3.52243775402261e-125,0.371805570858674,0.732,0.616,9.36475301284452e-121
Gm11149,8.51843795293332e-125,0.370109254527503,0.685,0.542,2.26471191416685e-120
B230312C02Rik,7.62314037687443e-124,-0.397744465709554,0.123,0.28,2.02668810059584e-119
Snhg20,1.63318806522947e-120,-0.351576593795576,0.461,0.65,4.34199379021908e-116
Atxn2l,1.65691719362482e-118,-0.293862532159614,0.543,0.712,4.40508005097095e-114
1700109K24Rik,4.51626470446968e-112,0.297949204103691,0.543,0.407,1.20069413433031e-107
Ube2e2,1.30761278927176e-110,0.379616044854431,0.984,0.985,3.4764193615579e-106
Ahi1,4.297795157725e-107,0.273741838635699,0.996,0.985,1.14261182063277e-102
A230006K03Rik,2.01603056971127e-105,0.233572199589624,0.971,0.966,5.35981887263439e-101
Lysmd4,4.3688192329897e-103,0.299897871234896,0.59,0.452,1.16149428128264e-98
Tmsb10,1.42904504447768e-101,-0.251343226568225,0.322,0.496,3.79925915524837e-97
Gm48678,2.72954407223849e-101,0.319065612188645,0.813,0.724,7.25676587045325e-97
Atp6v0b,1.42469778711518e-100,-0.270543024422311,0.967,0.977,3.78770153682442e-96
Tsix,2.60949894145167e-97,0.36235702282762,0.633,0.535,6.9376138857434e-93
Ckb,1.14545611971153e-96,-0.275391569161703,0.565,0.704,3.04530963986508e-92
Cartpt,8.60056647633638e-96,0.398113195924241,0.156,0.053,2.28654660339879e-91
Prkn,2.38011029450203e-94,0.235303990615777,0.97,0.958,6.3277612289631e-90
Samd4,2.42496899646245e-94,0.279644158113445,0.75,0.638,6.44702257399507e-90
4932443L11Rik,3.18413934935047e-94,0.284137048563407,0.517,0.379,8.46535287418317e-90
Mt3,6.45915354761246e-94,-0.235843244432446,0.322,0.484,1.71723056216825e-89
Gm32250,4.89319717085716e-93,0.31085187948695,0.858,0.787,1.30090539984409e-88
Mrpl41,2.46934890102177e-92,-0.263260421123912,0.55,0.702,6.56501098825647e-88
Ccnb1ip1,7.55463629993413e-92,-0.203421670576186,0.072,0.182,2.00847560670049e-87
Atp5g1,9.00441116197016e-92,-0.234645249748998,0.383,0.55,2.39391275152139e-87
Pak3,1.55278833915583e-91,0.24839949361443,0.929,0.91,4.12824307847968e-87
Gm37459,6.4686418318521e-90,0.406963557876401,0.573,0.455,1.7197531174162e-85
Adam2,2.21780736882871e-89,-0.277143761213827,0.096,0.215,5.89626267076802e-85
4930419G24Rik,3.05681153521435e-89,0.541511020458535,0.725,0.647,8.12683914752087e-85
Xkr4,3.54391098921282e-89,0.240579463025552,0.984,0.971,9.4218417559212e-85
Myl6,2.03303914681811e-88,-0.250336060397409,0.453,0.608,5.40503787573063e-84
Gm5441,3.43672630198722e-88,0.242599678156578,0.471,0.341,9.13688054646322e-84
Gm37679,2.76761754975992e-87,0.278453307033345,0.516,0.383,7.35798801779172e-83
Gm12709,5.89401764418927e-85,-0.318909131517598,0.588,0.739,1.56698353088416e-80
Exoc6b,1.30588775256913e-84,0.204401645974142,0.949,0.932,3.4718331789803e-80
Gm20275,4.21929751111921e-84,0.288692667475154,0.877,0.826,1.12174243630615e-79
Hivep3,6.59003248761589e-83,0.304457388072921,0.912,0.899,1.75202603715756e-78
Ptprd,7.17915375563363e-79,0.280630897454474,0.991,0.993,1.90864981747276e-74
Cfl1,8.15241030735284e-78,-0.244558960696077,0.327,0.471,2.16739980431283e-73
Btk,1.67675436713261e-77,-0.228217260564,0.05,0.14,4.45781916045875e-73
Pcsk1n,7.03078608468413e-77,-0.275738478124743,0.578,0.723,1.86920478847412e-72
Plxna4,1.06385424169782e-76,0.236289810235116,0.935,0.91,2.82836288697783e-72
Mgat4c,2.08740605970556e-76,-0.25584240450591,0.815,0.912,5.54957775033321e-72
Gm42303,3.0515129902475e-76,0.277075516645528,0.494,0.382,8.11275243587201e-72
Gm48512,2.86112063594313e-74,0.274467478806743,0.758,0.669,7.60657532271842e-70
Ndrg4,3.17252984060629e-73,-0.24773563712447,0.663,0.767,8.43448783423587e-69
March1,2.87332418746998e-72,0.329915928599764,0.513,0.367,7.63901968480769e-68
Taf1d,4.59520072719417e-72,-0.25856090925425,0.745,0.846,1.22168006533184e-67
1700111E14Rik,2.85891024629262e-71,0.258377548727228,0.702,0.617,7.60069878079357e-67
A330015K06Rik,1.0030726072215e-70,0.36387576982724,0.56,0.458,2.66676883355908e-66
Lrtm1,3.21894451540264e-69,0.315073619550805,0.535,0.439,8.55788588864945e-65
Fth1,9.14101273388781e-69,-0.214507315798731,0.444,0.59,2.43022964543141e-64
Kansl1l,1.2969652003681e-68,0.244449803984391,0.756,0.677,3.44811168169864e-64
Gm44151,4.24459992757465e-67,0.281782534167035,0.733,0.664,1.128469336745e-62
Atp6v0c,5.09553373303879e-67,-0.229337973018214,0.558,0.687,1.35469859826569e-62
Tuba1a,1.18394731360311e-66,-0.21534703188863,0.388,0.525,3.14764232794524e-62
Hspa8,2.23917504443048e-65,-0.217620184191095,0.52,0.642,5.95307077312287e-61
Gria1,4.70136769044632e-65,0.309025842674626,0.897,0.902,1.24990561418206e-60
Cpeb3,9.5558132021355e-65,-0.206629275527254,0.944,0.965,2.54050849791974e-60
Kctd16,1.34483216702818e-64,0.370422360876167,0.686,0.632,3.57537079926112e-60
4930455C13Rik,3.22113719717788e-64,0.230458474811983,0.521,0.414,8.56371535241711e-60
Tspan7,2.28766397018686e-63,0.21158175046183,0.925,0.909,6.08198343113878e-59
Dalrd3,3.5459404514092e-63,-0.26536510231216,0.495,0.609,9.42723728411651e-59
Gm19461,7.81753346260676e-63,0.209675426902023,0.586,0.488,2.07836944636863e-58
Slc50a1,1.07732485264664e-62,-0.206966426165935,0.365,0.501,2.86417585324635e-58
Gm45435,1.5465643148292e-62,-0.233284328928133,0.344,0.472,4.11169588740491e-58
Sdk2,2.27472334604361e-62,0.281860732573199,0.772,0.739,6.04757948779155e-58
Hectd2os,4.36869405821483e-62,0.229215108700333,0.487,0.386,1.16146100231699e-57
Pabpc4,7.19759104982014e-62,-0.233474419979257,0.581,0.695,1.91355155650518e-57
4930587E11Rik,1.54246254039459e-61,0.304186361716024,0.567,0.475,4.10079090989307e-57
Lpp,3.07661031298472e-61,0.217176049175485,0.633,0.55,8.17947617810118e-57
Gm47283,8.02361871805667e-60,0.246216688773861,0.932,0.931,2.13315927238255e-55
Gm27153,5.63836472345605e-59,0.201735204188222,0.386,0.281,1.49901564537802e-54
Chd5,3.33622123980702e-58,0.209848516007494,0.747,0.658,8.86967778815095e-54
Srrm4,7.75246947527573e-58,0.248773438972452,0.712,0.636,2.06107153469681e-53
Kcnq3,1.31905664205488e-55,0.210067858165038,0.973,0.969,3.50684398856711e-51
