,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,3.05E-72,0.470547412,0.511,0.365,8.11E-68
Marchf2,0.551124965,0.003156755,0.515,0.529,1
Marchf2,0.990832899,0.116710439,0.115,0.116,1
Marchf3,0.155277341,0.064874979,0.391,0.387,1
Marchf4,5.55E-13,0.260302797,0.419,0.372,1.48E-08
Marchf5,0.749016009,0.079380801,0.312,0.316,1
Marchf6,5.55E-06,-0.110653996,0.697,0.738,0.147635754
Marchf7,0.792713991,-0.018599745,0.574,0.592,1
Marchf8,0.000563136,-0.126146244,0.353,0.385,1
Marchf9,0.001228886,-0.736648593,0.016,0.023,1
Marchf10,0.00359298,-0.003111398,0.117,0.134,1
Marchf11,1.07E-14,0.211379631,0.759,0.751,2.84E-10
Septin1,1.05E-19,-0.39175946,0.192,0.257,2.79E-15
Septin2,0.007297039,-0.051414105,0.14,0.158,1
Septin3,0.017178716,0.064877156,0.572,0.58,1
Septin4,0.003966596,-0.054361888,0.469,0.504,1
Septin5,1.01E-06,-0.274670908,0.051,0.07,0.026891147
Septin6,0.032669139,-0.013049541,0.493,0.517,1
Septin7,1.60E-06,-0.126833648,0.726,0.753,0.042638006
Septin8,0.000151015,-0.095530449,0.42,0.464,1
Septin9,0.821269585,0.050449959,0.03,0.03,1
Septin10,0.004005396,-0.109459104,0.151,0.17,1
Septin11,0.00199416,-0.079955144,0.641,0.666,1
0610005C13Rik,0.540467024,-0.152375803,0.025,0.027,1
0610009B22Rik,6.45E-09,-0.333023912,0.088,0.118,0.000171434
0610009E02Rik,0.908259988,0.188707054,0.167,0.172,1
0610009L18Rik,0.000286548,-0.472795557,0.024,0.034,1
0610010F05Rik,7.46E-31,-0.270280045,0.711,0.771,1.98E-26
0610010K14Rik,0.003569046,-0.259737174,0.042,0.052,1
0610012G03Rik,5.47E-23,-0.509356358,0.17,0.236,1.45E-18
0610030E20Rik,0.314598547,0.193523709,0.302,0.306,1
0610038B21Rik,0.479388727,0.12549408,0.014,0.012,1
0610040B10Rik,1.00E-10,-0.585822796,0.086,0.118,2.67E-06
0610040F04Rik,2.26E-09,-0.230879447,0.262,0.309,6.02E-05
0610040J01Rik,0.003510716,0.163969562,0.102,0.088,1
0610043K17Rik,7.23E-05,-0.079154993,0.409,0.45,1
0710001A04Rik,0.156556579,0.42784255,0.012,0.01,1
1110002J07Rik,0.130467748,0.300877663,0.04,0.046,1
1110002L01Rik,0.486355351,0.111485128,0.195,0.193,1
1110004F10Rik,0.028367847,-0.020617468,0.328,0.35,1
1110006O24Rik,0.060532051,-0.41178647,0.01,0.014,1
1110008P14Rik,4.13E-82,-0.755466073,0.279,0.428,1.10E-77
1110012L19Rik,0.000122913,-0.544057045,0.007,0.013,1
1110013H19Rik,1.06E-05,-0.77284845,0.007,0.015,0.281879755
1110015O18Rik,0.030322246,-0.327627509,0.017,0.022,1
1110017D15Rik,0.807700809,0.02740021,0.188,0.188,1
1110018N20Rik,0.562308518,-0.022294315,0.043,0.045,1
1110019D14Rik,0.316383644,0.003851376,0.322,0.337,1
1110020A21Rik,0.935611079,-0.049413569,0.039,0.039,1
1110032A03Rik,0.007665101,-0.029801877,0.338,0.368,1
1110032F04Rik,3.45E-08,-0.774247616,0.027,0.044,0.000917015
1110035H17Rik,8.22E-16,-0.454777191,0.064,0.102,2.19E-11
1110038B12Rik,0.002683305,-0.309316385,0.046,0.057,1
1110038F14Rik,3.28E-32,-0.624061386,0.154,0.232,8.71E-28
1110046J04Rik,0.003948832,-0.022726202,0.254,0.282,1
1110051M20Rik,1.10E-14,0.148659349,0.806,0.791,2.92E-10
1110059E24Rik,0.050696424,0.03243271,0.243,0.262,1
1110059G10Rik,0.000213774,-0.206141443,0.05,0.065,1
1110065P20Rik,8.66E-25,-0.633910217,0.102,0.16,2.30E-20
1190005I06Rik,0.96004198,0.106218696,0.109,0.11,1
1190007I07Rik,0.000334517,-0.266800102,0.071,0.088,1
1300002E11Rik,0.22626168,0.177659516,0.067,0.062,1
1300014J16Rik,0.000466537,-0.661316787,0.007,0.013,1
1300017J02Rik,3.03E-05,-0.15579484,0.097,0.12,0.804542184
1500002C15Rik,0.060727679,-0.262755752,0.015,0.019,1
1500004A13Rik,2.09E-12,0.132795942,0.853,0.838,5.55E-08
1500009C09Rik,1.77E-06,-0.579433074,0.037,0.053,0.046935301
1500009L16Rik,0.01071648,-0.022027085,0.219,0.24,1
1500011B03Rik,1.68E-23,-0.362988375,0.28,0.361,4.46E-19
1500012K07Rik,8.22E-08,-0.564611704,0.021,0.036,0.002185644
1500015A07Rik,0.013127094,-0.07512121,0.136,0.152,1
1500015L24Rik,0.077763085,0.017198585,0.019,0.023,1
1500026H17Rik,0.459321082,0.090024226,0.162,0.169,1
1500032F14Rik,0.016518178,-0.220615899,0.01,0.015,1
1500035N22Rik,2.09E-55,0.881836868,0.34,0.238,5.55E-51
1520401A03Rik,0.097148682,-0.224358929,0.021,0.025,1
1600002D24Rik,2.67E-06,-1.157208653,0.022,0.035,0.070870812
1600002K03Rik,0.000162432,-0.185301376,0.055,0.07,1
1600010M07Rik,0.01025875,-0.156363367,0.624,0.649,1
1600012H06Rik,0.005714902,0.267458476,0.117,0.104,1
1600014C10Rik,0.729163298,0.110172084,0.083,0.085,1
1600020E01Rik,0.096503502,-0.106729484,0.285,0.302,1
1700001D01Rik,0.000429624,0.649535272,0.024,0.016,1
1700001G11Rik,2.22E-05,-0.000223772,0.063,0.082,0.590904138
1700001K19Rik,0.227469284,-0.021188484,0.044,0.048,1
1700001L19Rik,0.384534166,0.067665175,0.045,0.049,1
1700001O22Rik,0.00168612,-0.306967914,0.071,0.085,1
1700003D09Rik,0.688603463,0.423764112,0.011,0.01,1
1700003E16Rik,0.340069423,0.239762602,0.085,0.081,1
1700003F12Rik,3.94E-08,-0.16515617,0.167,0.207,0.001048048
1700003L19Rik,0.464510558,0.208444116,0.03,0.032,1
1700003M07Rik,0.406459622,-0.348818816,0.008,0.01,1
1700006F04Rik,0.526196342,-0.003243146,0.015,0.016,1
1700007F19Rik,0.000134001,-0.195545351,0.049,0.064,1
1700007J10Rik,1.53E-07,0.721381128,0.077,0.056,0.004059495
1700007K13Rik,1.18E-10,-1.087922875,0.011,0.025,3.14E-06
1700007L15Rik,0.000772405,-0.656847499,0.013,0.02,1
1700007P06Rik,0.172693526,-0.007336827,0.011,0.014,1
1700008J07Rik,0.023391519,-0.037424505,0.02,0.025,1
1700008O03Rik,0.009719908,-0.133132386,0.211,0.23,1
1700010I14Rik,0.379628907,-0.015707458,0.027,0.03,1
1700010K24Rik,9.81E-07,-0.215011508,0.096,0.123,0.026078046
1700012D14Rik,0.971346405,0.061834202,0.303,0.309,1
1700012I11Rik,0.343509292,-0.168617009,0.012,0.014,1
1700013F07Rik,0.429660169,0.211167519,0.101,0.098,1
1700013M08Rik,9.99E-06,1.06023704,0.013,0.006,0.265589211
1700015F17Rik,0.425371028,-0.368894087,0.026,0.028,1
1700015H07Rik,3.58E-08,1.015739227,0.029,0.016,0.000951075
1700016C15Rik,0.820103296,0.055355692,0.01,0.01,1
1700016D06Rik,0.205067306,0.61139336,0.012,0.01,1
1700016J18Rik,6.87E-05,-0.650574816,0.017,0.027,1
1700016K05Rik,0.054751706,0.244626859,0.089,0.08,1
1700016P03Rik,2.53E-06,-0.166169058,0.129,0.158,0.067255128
1700017B05Rik,0.493989636,0.170798773,0.016,0.014,1
1700018L02Rik,3.40E-06,0.880420565,0.032,0.02,0.090398674
1700019A02Rik,0.000381323,-0.278432481,0.062,0.077,1
1700019D03Rik,5.92E-05,-0.074725084,0.38,0.424,1
1700019G24Rik,8.28E-11,0.744167526,0.074,0.049,2.20E-06
1700019J19Rik,0.389794916,0.329848781,0.023,0.021,1
1700019L13Rik,0.014621616,-0.373736973,0.014,0.02,1
1700020D05Rik,0.006301669,-0.306642985,0.011,0.016,1
1700021F05Rik,1.84E-19,-0.323440789,0.247,0.318,4.90E-15
1700022A22Rik,0.891513582,0.216964057,0.014,0.014,1
1700022H01Rik,0.069231591,0.33322644,0.024,0.02,1
1700022I11Rik,0.857590049,-0.002089451,0.07,0.071,1
1700022N22Rik,0.28346523,-0.194405894,0.024,0.027,1
1700023F06Rik,0.071248108,-0.069723789,0.102,0.112,1
1700024B18Rik,5.22E-51,0.44173196,0.676,0.599,1.39E-46
1700024I08Rik,5.82E-06,1.344660017,0.015,0.007,0.154812707
1700025G04Rik,0.158463812,0.029523733,0.799,0.805,1
1700026F02Rik,2.03E-11,0.597556618,0.167,0.13,5.41E-07
