,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,2.87E-72,0.329915929,0.513,0.367,7.64E-68
Marchf2,0.574012265,0.001031189,0.516,0.529,1
Marchf3,0.148601132,0.021084943,0.391,0.387,1
Marchf4,4.51E-13,0.081560083,0.42,0.372,1.20E-08
Marchf5,0.821552122,0.016080322,0.312,0.317,1
Marchf6,5.02E-06,-0.058331431,0.698,0.739,0.133372993
Marchf7,0.82576199,-0.007326727,0.575,0.592,1
Marchf8,0.000447214,-0.041287886,0.354,0.386,1
Marchf9,0.000841866,-0.011440221,0.016,0.023,1
Marchf10,0.005004259,0.00029719,0.117,0.134,1
Marchf11,2.25E-14,0.143440313,0.758,0.75,5.98E-10
Septin1,6.55E-20,-0.068505405,0.192,0.258,1.74E-15
Septin2,0.007794344,-0.005581742,0.14,0.158,1
Septin3,0.01599992,0.026045938,0.572,0.58,1
Septin4,0.003788737,-0.019292411,0.468,0.503,1
Septin5,1.01E-06,-0.010503122,0.05,0.07,0.026921424
Septin6,0.035898699,-0.005490449,0.493,0.516,1
Septin7,2.39E-06,-0.07236195,0.726,0.752,0.063545946
Septin8,0.000187763,-0.029523055,0.42,0.463,1
Septin9,0.821013999,0.001379057,0.03,0.03,1
Septin10,0.005886227,-0.013843289,0.151,0.17,1
Septin11,0.002199873,-0.045053055,0.64,0.664,1
Septin12,0.028091179,-0.00054788,0,0.001,1
Septin14,0.445617849,0.000553318,0.003,0.002,1
0610005C13Rik,0.507292196,-0.003597781,0.025,0.027,1
0610006L08Rik,0.415757189,0.002516806,0.007,0.006,1
0610009B22Rik,2.66E-08,-0.024485398,0.089,0.118,0.000708147
0610009E02Rik,0.934076428,0.023894443,0.167,0.172,1
0610009L18Rik,0.000286772,-0.010785751,0.024,0.034,1
0610010F05Rik,3.94E-31,-0.15032688,0.712,0.772,1.05E-26
0610010K14Rik,0.004153134,-0.009333381,0.042,0.053,1
0610012D04Rik,0.237216028,3.89E-05,0.001,0,1
0610012G03Rik,1.28E-22,-0.081010243,0.171,0.237,3.40E-18
0610025J13Rik,0.304188305,-0.002115874,0.004,0.005,1
0610030E20Rik,0.291256033,0.046652628,0.303,0.306,1
0610038B21Rik,0.52564731,0.00099149,0.014,0.012,1
0610039K10Rik,0.277328348,-0.000550664,0,0.001,1
0610040B10Rik,1.75E-10,-0.050596619,0.086,0.117,4.67E-06
0610040F04Rik,3.48E-09,-0.04587851,0.262,0.308,9.25E-05
0610040J01Rik,0.003241609,0.014364566,0.102,0.088,1
0610043K17Rik,9.48E-05,-0.025084121,0.41,0.45,1
0710001A04Rik,0.13571764,0.003061212,0.012,0.01,1
1010001B22Rik,0.941850272,0.000258566,0.001,0.001,1
1010001N08Rik,0.996879533,0.000187738,0.004,0.004,1
1100001I12Rik,0.013906162,-0.005475973,0.001,0.003,1
1110002E22Rik,0.237130262,-0.001110735,0.005,0.006,1
1110002J07Rik,0.121572124,0.008477485,0.04,0.046,1
