,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Xkr4,4.72356862198744,12.0079452442589,13.6034695050427,9.99424820457429,11.5826923362502,9.79626452074691
Gm1992,0.495895564154884,2.42343980932951,2.52651913975827,1.85440765100164,2.25178356531927,2.0930232489141
Gm19938,0.23161793642101,0.496262187628875,0.661547194249999,0.386914080586597,0.526912549089075,0.47216732607916
Gm37381,0.000996329306150959,0.00254904619789367,0.000576161424759627,0.000642997665404077,0.00153742396043734,0
Rp1,0.0107404688756619,0.0178877847394745,0.0142315182167609,0.0130585243397195,0.0154755855335287,0.00431336559302157
Mrpl15,0.205521297894461,0.280513765658396,0.260025137074371,0.230650919259816,0.245972014784583,0.218009098314942
Lypla1,0.225189906978535,0.248371817567929,0.319509391009721,0.192636328567149,0.246015027852474,0.186636401573749
Tcea1,0.538401034091244,1.0313201752904,0.80216677888033,0.83896791022133,0.852984212551098,0.876926656981741
Rgs20,0.522792361955744,1.0768868901168,0.472916986040196,0.490979576336985,0.479867024962168,0.431323704822124
Gm16041,0.00350440969296298,0.00377942576053726,0.00188674912796817,0.00269098596606581,0.00235000863416289,0.00219981123774012
Atp6v1h,1.46095753629607,1.30991406325392,1.12457316415096,1.17486167099551,1.18398222397229,1.25832490253887
Oprk1,0.000896320917156854,0.125696043093558,0.0134721507200814,0.053379553440735,0.0398092076671561,0.0115263409156047
Rb1cc1,1.71065684382116,1.60177808494177,1.5172932664228,1.44685831600897,1.55454511452852,1.38897425402273
4732440D04Rik,0.171948171226934,0.50125843572274,0.276633541976021,0.431377020424398,0.427637872617653,0.471446129095373
Alkal1,0.00523090288966152,0,0,0.00555595499680768,0.002178211407906,0.000783720188067766
St18,0.00693428700994124,0.0101825414092348,0.0138496659689205,0.0101471721574746,0.0889218906719787,0.0172294472117125
Pcmtd1,1.51450491204374,1.41390003764686,1.38238726043094,1.63975911006815,1.69615209359865,1.69808947407754
Gm26901,0.105972495104207,0.10781473886751,0.0733488146809105,0.0880090110169802,0.146312379977247,0.105852528541095
Gm30414,0.000116345503087125,0,0,0,0.000573881658959002,0
Sntg1,6.36921377050091,11.3586945354556,7.149646722526,5.80697544845021,8.49038628914755,8.18832691378798
Rrs1,0.0168998903483765,0.0320403935513886,0.038507636225442,0.0477950877881293,0.0434639938088614,0.06471698166016
Adhfe1,0.0228618389803754,0.0301624463636915,0.0431977039409702,0.0464058790980133,0.0380918331770922,0.0388372785814605
2610203C22Rik,0.146390956969809,0.0157107643193399,0.0226956021122945,0.0389991760613206,0.0445730544219171,0.0653490616982694
Vxn,0.687983707021616,0.0618572959345777,0.0503554043834709,0.0894286006457407,0.0841997061503862,0.0775068524583946
Mybl1,0.0234509381393843,0.0300945628606631,0.0367529614602445,0.0486956245701573,0.0393401941219558,0.035343093067522
Vcpip1,0.267831716520018,0.311792878576976,0.219496990238357,0.250212753443941,0.266824486068428,0.314815591525555
1700034P13Rik,0.0745030775604117,0.221312044041026,0.0704116057512694,0.1657742844545,0.164640177455689,0.102001640828455
Sgk3,0.571739473031419,0.076177063387202,0.307114495501668,0.288709669187914,0.302273438301892,0.173462949246338
Mcmdc2,0.136954947592294,0.242854800872384,0.118279905088255,0.272168702841984,0.221264235274792,0.256914227169142
Snhg6,0.0398127229718057,0.0878836305940711,0.0703764837697165,0.0842416526326338,0.0906067184865322,0.0585064563957205
Tcf24,0.00579188112351329,0.00994878055737676,0.0109992334305759,0.0675384483462939,0.00842322180692802,0.00599302631077203
Ppp1r42,0.0170191375775893,0.0316786192706723,0.0149824740045603,0.0760325304669786,0.029983979748611,0.030178451806214
Gm15818,0.00266030509619085,0.00878524573865178,0.00434539274398754,0.0164745118218471,0.00819809074516114,0.00263720299221908
Cops5,0.40421045726268,0.950002879635768,0.697042242684825,0.869239946235744,0.809800041227674,0.952186378649114
Cspp1,2.14173929277716,2.73877962060286,2.15363874114732,2.93256115725815,2.59949564009254,2.81982431256588
Arfgef1,1.28729492123752,1.13407767764394,1.13405488613879,1.18610117424789,1.19945361298278,1.1213520189819
Cpa6,0.202067553458167,0.0159812670956351,0.0460759965762395,0.126311570057858,0.082896936891665,1.99034318589942
Prex2,0.207945901366991,0.11097559507077,0.120915343925769,0.381208309477042,0.374851662423389,0.217774561836712
A830018L16Rik,5.37065804304411,1.82599965061604,1.9184356311458,0.395130927311965,1.72031664075039,1.58235145829578
Sulf1,0.00371816625217371,0.352052516938349,0.092776249626191,0.0138772091341263,0.0515322381016656,0.0727140014091631
Slco5a1,0.0595674793481516,0.076023515143438,0.155081605355497,0.0636790758660113,0.0759589149105406,0.0800024066355336
Gm29283,0.000731459119218031,0.00424179607403582,0.00976713186483856,0.00435273835321938,0.00420408602099439,0.00276337533385586
Prdm14,0.000282382628714576,0,0.0038207785372233,0,0.000399402915054009,0
Ncoa2,1.80460596362937,1.83714299771298,1.94245726893232,1.88569779434682,1.88719475186836,1.97540451105276
