1887,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,cSCI
4930589P08Rik,3.54E-13,1.131779836,0.09,0.048,9.42E-09,-0.685390051,-1.145722399
Cd226,5.24E-09,0.633472142,0.255,0.21,0.000139207,-0.666939643,-0.751259304
A930019D19Rik,3.84E-09,0.943592514,0.11,0.073,0.00010205,-0.465994339,-0.614841922
4930538E20Rik,2.97E-07,1.062590293,0.06,0.035,0.007900676,0,-0.609516465
4932413F04Rik,7.84E-09,1.051575612,0.085,0.052,0.000208452,-0.436203996,-0.607013022
1700019G24Rik,2.78E-07,0.90822049,0.078,0.049,0.007384383,0,-0.569522086
Angpt2,2.25E-15,0.637724183,0.333,0.265,5.98E-11,-0.44439387,-0.425309227
Dnmt3aos,5.18E-08,0.886758542,0.073,0.044,0.001377253,0,-0.360506358
Acss2os,1.16E-10,0.796134562,0.17,0.121,3.09E-06,0,-0.329802509
4930565N06Rik,1.52E-08,0.808629153,0.159,0.118,0.000405099,0,-0.326861841
Lmo2,1.22E-07,0.792647244,0.075,0.046,0.003242089,0.633589012,0
Fut10,3.29E-10,0.954209955,0.091,0.054,8.75E-06,0.572034489,0
Trat1,8.57E-17,0.794409705,0.196,0.127,2.28E-12,0.492288025,0
Ptk7,3.65E-08,0.671967298,0.139,0.1,0.000971081,0.478109591,0
Mc4r,1.73E-07,0.759724038,0.108,0.075,0.004612352,0.400223524,0
Adamts2,4.57E-38,0.99113518,0.384,0.264,1.21E-33,0.394755877,0
Sfrp4,1.71E-07,0.775742943,0.057,0.032,0.004552435,0.377451574,0
Fgf5,6.48E-13,0.833340852,0.164,0.109,1.72E-08,0.369684207,0
Slc24a4,1.33E-39,0.719053069,0.497,0.378,3.55E-35,0.331605102,0
Mid1,1.95E-50,0.764336737,0.564,0.454,5.19E-46,0.322456638,0
G530011O06Rik,9.22E-12,1.456326603,0.053,0.023,2.45E-07,0.32171751,0
Eif2ak2,7.87E-19,2.062642934,0.064,0.022,2.09E-14,0,0
Cartpt,4.13E-27,1.567203483,0.126,0.056,1.10E-22,0,0
Rnf213,1.24E-08,1.45513896,0.065,0.037,0.000329072,0,0
2410021H03Rik,5.70E-43,1.381020714,0.248,0.132,1.51E-38,0,0
Chmp4c,4.56E-17,1.359345017,0.12,0.066,1.21E-12,0,0
Fam205c,7.51E-32,1.238234437,0.199,0.106,2.00E-27,0,0
Layn,5.99E-11,1.215780576,0.058,0.028,1.59E-06,0,0
Srrm4os,1.97E-32,1.095543866,0.249,0.146,5.23E-28,0,0
Prox2,3.25E-16,1.090864618,0.149,0.09,8.65E-12,0,0
Pitpnm2os1,1.88E-07,1.080720657,0.054,0.03,0.004991763,0,0
Stat1,8.19E-07,1.072733027,0.247,0.212,0.021779014,0,0
Vwc2,1.61E-13,1.040033962,0.121,0.072,4.29E-09,0,0
