,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0610010F05Rik,6.29E-26,-0.315597861,0.755,0.827,1.67E-21
0610012G03Rik,1.06E-10,-0.380426852,0.188,0.253,2.82E-06
0610040F04Rik,8.60E-12,-0.293831064,0.342,0.424,2.29E-07
1110008P14Rik,5.84E-71,-0.81187728,0.357,0.56,1.55E-66
1110035H17Rik,7.03E-15,-0.577872849,0.064,0.118,1.87E-10
1110038F14Rik,2.65E-19,-0.572945328,0.17,0.259,7.05E-15
1110051M20Rik,1.74E-15,0.212714238,0.864,0.852,4.63E-11
Eps8l3,8.69E-06,2.310614406,0.014,0.004,0.231006515
1110065P20Rik,6.78E-19,-0.77703221,0.086,0.154,1.80E-14
Usp18,6.00E-06,2.182366693,0.012,0.003,0.159426925
1500004A13Rik,2.54E-11,0.167092816,0.911,0.905,6.77E-07
1500011B03Rik,3.87E-14,-0.331670155,0.261,0.348,1.03E-09
4932702P03Rik,0.000285532,1.978120348,0.01,0.003,1
1500012K07Rik,8.94E-07,-0.472209203,0.033,0.057,0.02377002
Gm16121,0.003815634,1.882109326,0.01,0.005,1
Gm16213,0.000215001,1.881463218,0.01,0.003,1
1500035N22Rik,2.88E-63,0.988136047,0.523,0.368,7.64E-59
1700001G11Rik,1.43E-07,-0.41668258,0.05,0.081,0.003814824
1700003F12Rik,7.53E-08,-0.195591203,0.22,0.282,0.002000631
1700007K13Rik,5.47E-09,-1.130819439,0.016,0.038,0.000145531
Gm47428,0.001292009,1.755276023,0.01,0.004,1
Gm42706,0.000324704,1.745261376,0.011,0.004,1
1700016P03Rik,1.68E-06,-0.317327947,0.148,0.192,0.044577796
1700019D03Rik,1.99E-08,-0.213560488,0.454,0.53,0.00052853
Olfr670,8.62E-05,1.739493383,0.015,0.006,1
1700019G24Rik,2.78E-07,0.90822049,0.078,0.049,0.007384383
Samd9l,6.64E-06,1.735049124,0.019,0.007,0.176568783
1700021F05Rik,3.75E-25,-0.561103892,0.277,0.394,9.97E-21
Irf7,0.000252474,1.652872936,0.011,0.003,1
1700024B18Rik,1.54E-33,0.580449642,0.638,0.556,4.09E-29
Gm16041,0.00014383,1.62368399,0.011,0.004,1
Gm12289,0.000288877,1.623569035,0.01,0.003,1
Skint7,0.000213216,1.61886766,0.015,0.006,1
Dchs1,0.03037946,1.618227606,0.01,0.006,1
1700026F02Rik,2.23E-11,1.015558534,0.156,0.108,5.93E-07
1700028P14Rik,1.18E-06,-0.757034281,0.022,0.042,0.03147422
1700034P13Rik,3.15E-20,-1.621588577,0.045,0.101,8.38E-16
1700037C18Rik,2.21E-09,0.703822518,0.231,0.184,5.87E-05
Gm47243,0.001793769,1.556777766,0.012,0.006,1
1700017B05Rik,0.000755234,1.54961551,0.013,0.005,1
1700080N15Rik,2.62E-08,0.460415415,0.318,0.272,0.000697662
