,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.383436143,0.002264914,0.004,0.008,1
Marchf1,0.866054053,0.014070678,0.491,0.495,1
Marc2,0.067176009,-0.028867906,0.11,0.151,1
Marchf2,0.169996855,0.003225539,0.435,0.52,1
Marchf3,0.904561418,0.042587562,0.445,0.48,1
Marchf4,0.196373127,-0.000775214,0.421,0.497,1
Marchf5,0.453745546,0.002313087,0.248,0.281,1
Marchf6,0.216281841,-0.030987648,0.587,0.66,1
Marchf7,0.757148472,-0.016069472,0.535,0.574,1
Marchf8,0.045893197,-0.053285805,0.465,0.581,1
Marchf9,0.358658289,1.78386531825975e-05,0.01,0.017,1
Marchf10,0.11427995,0.023000367,0.076,0.107,1
Marchf11,0.195309329,-0.015163944,0.449,0.52,1
Septin1,9.37415926807413e-06,-0.109965876,0.182,0.321,0.249221398
Septin2,0.003281776,-0.041399876,0.132,0.21,1
Septin3,0.057346344,-0.00694389,0.459,0.568,1
Septin4,0.003548818,-0.040218112,0.238,0.34,1
Septin5,0.027962571,-0.011529621,0.04,0.073,1
Septin6,0.273802822,0.016640578,0.321,0.382,1
Septin7,0.00684628,-0.111196467,0.549,0.677,1
Septin8,0.697788864,0.033237583,0.242,0.264,1
Septin9,0.890034839,0.007407151,0.05,0.052,1
Septin10,0.193799651,0.000884598,0.19,0.233,1
Septin11,0.014531935,-0.040208947,0.315,0.413,1
Septin12,0.306401045,-0.002535119,0,0.002,1
Septin14,0.974600892,0.000617985,0.002,0.002,1
0610005C13Rik,0.663043233,0.007134851,0.052,0.059,1
0610006L08Rik,0.974600892,0.000363174,0.002,0.002,1
0610009B22Rik,0.353215392,0.010338925,0.114,0.136,1
0610009E02Rik,0.382907959,0.011269753,0.168,0.199,1
0610009L18Rik,0.237756972,0.002698189,0.04,0.057,1
0610010F05Rik,0.006680012,-0.10146104,0.677,0.788,1
0610010K14Rik,0.154589868,-0.021462773,0.044,0.065,1
0610012D04Rik,0.330201364,0.00209215,0.002,0,1
0610012G03Rik,8.99252802843719e-06,-0.128200595,0.142,0.264,0.23907535
0610025J13Rik,0.16783824,0.00662109,0.004,0,1
0610030E20Rik,0.642761064,0.118033399,0.351,0.384,1
0610033M10Rik,0.306401045,-0.005022885,0,0.002,1
0610038B21Rik,0.381611129,-0.00282694,0.004,0.008,1
0610040B10Rik,0.242432023,-0.045328605,0.118,0.145,1
0610040F04Rik,0.238829833,0.076119575,0.218,0.197,1
0610040J01Rik,0.856685405,-0.011097734,0.212,0.212,1
0610043K17Rik,0.258006344,0.033337357,0.371,0.438,1
0710001A04Rik,0.937991309,0.003291931,0.012,0.013,1
1010001B22Rik,0.330201364,0.006100948,0.002,0,1
1010001N08Rik,0.090468824,-0.0069784,0.002,0.01,1
1110002E22Rik,0.040187018,-0.006028389,0,0.008,1
1110002J07Rik,0.857640461,0.041710633,0.056,0.055,1
1110002L01Rik,0.079423639,0.031445726,0.19,0.254,1
1110002O04Rik,0.16783824,0.007570324,0.004,0,1
1110004F10Rik,0.010067536,-0.09215884,0.299,0.386,1
