,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.11601868,-0.008525982,0,0.009,1
Marchf1,0.55480721,-0.117049719,0.944,0.94,1
Marc2,0.661695515,-0.047310688,0.105,0.116,1
Marchf2,0.725782281,-0.014232627,0.286,0.298,1
Marchf3,0.308416296,0.03201838,0.387,0.34,1
Marchf4,0.037059193,0.164088761,0.556,0.479,1
Marchf5,0.165221459,0.070349629,0.233,0.181,1
Marchf6,0.337810619,0.021682148,0.617,0.567,1
Marchf7,0.479567731,0.043682689,0.489,0.465,1
Marchf8,0.877955237,-0.103824873,0.53,0.521,1
Marchf9,0.110447327,-0.01955359,0.004,0.019,1
Marchf10,0.191104421,-0.014841699,0.049,0.079,1
Marchf11,0.616770062,-0.002145086,0.282,0.307,1
Septin1,0.949401079,-0.127425931,0.222,0.205,1
Septin2,0.734819086,0.011120413,0.147,0.135,1
Septin3,0.144945066,0.061116538,0.432,0.358,1
Septin4,0.325339106,-0.090942601,0.184,0.219,1
Septin5,0.413654282,0.045579003,0.053,0.037,1
Septin6,0.004440906,0.247777883,0.447,0.321,1
Septin7,0.48875067,-0.101008911,0.545,0.567,1
Septin8,0.19343439,-0.049729524,0.214,0.274,1
Septin9,0.102979377,-0.030681013,0.026,0.056,1
Septin10,0.551031577,-0.04241057,0.18,0.2,1
Septin11,0.470740318,0.05167059,0.372,0.353,1
0610005C13Rik,0.755609545,-0.019967214,0.015,0.019,1
0610006L08Rik,0.267811061,-0.01834791,0,0.005,1
0610009B22Rik,0.73803713,0.031088616,0.086,0.098,1
0610009E02Rik,0.979824652,1.27239767269138e-05,0.226,0.223,1
0610009L18Rik,0.286848479,0.024853167,0.053,0.033,1
0610010F05Rik,0.269211283,-0.121179841,0.594,0.623,1
0610010K14Rik,0.494195775,-0.028084724,0.026,0.037,1
0610012G03Rik,0.199679855,-0.064520696,0.102,0.14,1
0610030E20Rik,0.416480585,0.082764821,0.263,0.237,1
0610038B21Rik,0.370863441,0.003345301,0.004,0,1
0610040B10Rik,0.00206089,-0.261647713,0.086,0.177,1
0610040F04Rik,0.007907369,-0.156173948,0.041,0.102,1
0610040J01Rik,0.819823031,0.000613678,0.038,0.042,1
0610043K17Rik,0.293628686,-0.186235015,0.297,0.326,1
0710001A04Rik,0.426678738,0.010397423,0.011,0.005,1
1010001N08Rik,0.565377238,0.018464763,0.015,0.009,1
1110002J07Rik,0.383458964,0.025859136,0.019,0.009,1
1110002L01Rik,0.677154624,-0.017838001,0.252,0.228,1
1110004F10Rik,0.604944606,0.00049281,0.301,0.274,1
1110006O24Rik,0.751085538,-0.019063072,0.015,0.019,1
1110008P14Rik,0.248477267,-0.070583858,0.195,0.242,1
1110012L19Rik,0.101729859,0.02696135,0.023,0.005,1
1110013H19Rik,0.204157086,0.01076675,0.008,0,1
1110015O18Rik,0.774124944,-0.012191794,0.023,0.019,1
1110017D15Rik,0.800056179,0.00233762,0.105,0.098,1
1110018N20Rik,0.704631772,0.014501928,0.034,0.028,1
1110019D14Rik,0.984089401,-0.028996714,0.165,0.163,1
1110020A21Rik,0.219845999,-0.02266487,0.004,0.014,1
1110032A03Rik,0.14715174,-0.103931386,0.323,0.386,1
1110032F04Rik,0.790250004,-0.014766048,0.011,0.014,1
1110035H17Rik,0.147192387,-0.040545525,0.023,0.047,1
1110038B12Rik,0.079931809,-0.124861059,0.068,0.112,1
1110038F14Rik,0.018481912,-0.258658557,0.117,0.186,1
1110046J04Rik,0.477957466,-0.071527416,0.308,0.34,1
1110051M20Rik,0.063272988,0.16536225,0.707,0.637,1
1110059E24Rik,0.120191849,0.106296442,0.248,0.191,1
1110059G10Rik,0.675416747,0.005182163,0.045,0.037,1
1110065P20Rik,0.715612907,-0.034543049,0.124,0.135,1
1190005I06Rik,0.026114079,0.130869559,0.086,0.037,1
1190007I07Rik,0.2330598,0.014397909,0.098,0.065,1
1190028D05Rik,0.370863441,0.011141986,0.004,0,1
1300002E11Rik,0.109529234,0.045506729,0.045,0.019,1
1300014J16Rik,0.488351973,-0.01309749,0.008,0.014,1
1300017J02Rik,0.953773921,0.018022165,0.068,0.07,1
1500002C15Rik,0.111542747,0.039937942,0.038,0.014,1
1500002F19Rik,0.119231641,0.013509844,0.011,0,1
1500004A13Rik,0.132209011,0.120465236,0.756,0.688,1
1500009C09Rik,0.887390289,-0.008277813,0.03,0.028,1
1500009L16Rik,0.624128583,0.030437156,0.165,0.149,1
1500011B03Rik,0.258291938,-0.103456071,0.282,0.326,1
1500012K07Rik,0.05383593,-0.017739201,0,0.014,1
1500015A07Rik,0.606960518,0.066384135,0.162,0.144,1
1500015L24Rik,0.370863441,0.004736914,0.004,0,1
1500026H17Rik,0.208318973,0.095530725,0.147,0.112,1
1500032F14Rik,0.830487263,0.01258154,0.011,0.009,1
1500035N22Rik,0.041654142,0.085714434,0.165,0.098,1
1520401A03Rik,0.884683203,0.003279412,0.004,0.005,1
1600002D24Rik,0.827559692,0.018886449,0.011,0.009,1
1600002K03Rik,0.126624721,-0.015481997,0.015,0.037,1
1600010M07Rik,0.578045839,-0.25645765,0.617,0.6,1
1600012H06Rik,0.041104683,0.077681936,0.12,0.065,1
1600014C10Rik,0.565644777,-0.030008189,0.045,0.056,1
1600019K03Rik,0.798190409,0.00223719,0.011,0.014,1
1600020E01Rik,0.754544831,-0.102470201,0.267,0.265,1
1700001C19Rik,0.370863441,0.008318788,0.004,0,1
1700001D01Rik,0.574698951,0.006150907,0.015,0.009,1
1700001G11Rik,0.506539606,0.022151071,0.06,0.047,1
1700001J03Rik,0.11601868,-0.011328223,0,0.009,1
1700001K19Rik,0.890970914,-0.000518989,0.03,0.028,1
1700001K23Rik,0.370863441,0.008729856,0.004,0,1
1700001L05Rik,0.82570014,-0.010093019,0.008,0.009,1
1700001L19Rik,0.686518438,-0.00414737,0.019,0.014,1
1700001N15Rik,0.370863441,0.00684134,0.004,0,1
1700001O22Rik,0.182712131,-0.031177298,0.011,0.028,1
1700001P01Rik,0.696905057,6.86044552279368e-05,0.008,0.005,1
1700003D09Rik,0.370863441,0.003802668,0.004,0,1
1700003E16Rik,0.466255248,-0.000699151,0.056,0.074,1
1700003F12Rik,0.91614851,-0.003162684,0.049,0.047,1
1700003G18Rik,0.884683203,0.001449806,0.004,0.005,1
1700003I16Rik,0.204157086,0.012546193,0.008,0,1
1700003L19Rik,0.162078305,0.072895421,0.034,0.014,1
1700003M07Rik,0.696905057,-0.007474808,0.008,0.005,1
1700003P14Rik,0.933136654,0.002672998,0.071,0.07,1
1700006F04Rik,0.370863441,0.01324212,0.004,0,1
1700006J14Rik,0.267811061,-0.006577194,0,0.005,1
1700007F19Rik,0.223015642,-0.01233381,0.004,0.014,1
1700007J10Rik,0.042410395,0.083600456,0.068,0.028,1
1700007K13Rik,0.44746426,0.001217563,0.004,0.009,1
1700007L15Rik,0.744315587,-0.019855932,0.015,0.019,1
1700007P06Rik,0.267811061,-0.01128672,0,0.005,1
1700008J07Rik,0.06415136,0.060843327,0.026,0.005,1
1700008O03Rik,0.955831132,-0.018063264,0.154,0.158,1
1700010G06Rik,0.267811061,-0.00372536,0,0.005,1
1700010I02Rik,0.370863441,0.002507498,0.004,0,1
1700010I14Rik,0.378250875,0.010309885,0.094,0.07,1
1700010J16Rik,0.119231641,0.014700984,0.011,0,1
1700010K23Rik,0.370863441,0.00721541,0.004,0,1
1700010K24Rik,0.818616962,-0.047409988,0.117,0.107,1
1700010L04Rik,0.880011338,-0.002347037,0.004,0.005,1
1700011C11Rik,0.267811061,-0.012439623,0,0.005,1
1700011D18Rik,0.267811061,-0.004502818,0,0.005,1
1700011L22Rik,0.689761495,0.00368276,0.008,0.005,1
1700012A03Rik,0.579386916,0.008571453,0.015,0.009,1
1700012B09Rik,0.234550053,-0.021045902,0.023,0.042,1
1700012D14Rik,0.533860233,-0.136478617,0.286,0.298,1
1700012I11Rik,0.370863441,0.002663125,0.004,0,1
1700012J15Rik,0.267811061,-0.006465031,0,0.005,1
1700012P22Rik,0.267811061,-0.002407833,0,0.005,1
1700013D24Rik,0.370863441,0.010040524,0.004,0,1
1700013F07Rik,0.432420765,0.073366498,0.132,0.112,1
1700013M08Rik,0.033532914,0.015253972,0.041,0.009,1
1700015C15Rik,0.119231641,0.025277181,0.011,0,1
1700015F17Rik,0.78760799,-0.009240371,0.011,0.014,1
1700015H07Rik,0.31478244,-0.008418952,0.011,0.023,1
1700015O11Rik,0.267811061,-0.006400894,0,0.005,1
1700016C15Rik,0.370863441,0.003223807,0.004,0,1
1700016D06Rik,0.83223945,-0.015643791,0.008,0.009,1
1700016J18Rik,0.49207168,-0.026634626,0.023,0.033,1
1700016K05Rik,0.403374974,-0.047770945,0.132,0.158,1
1700016P03Rik,0.656581064,0.041037604,0.177,0.163,1
1700017B05Rik,0.167513064,0.037111692,0.026,0.009,1
1700017D01Rik,0.370863441,0.003225916,0.004,0,1
1700017G19Rik,0.370863441,0.004714678,0.004,0,1
1700017M07Rik,0.267811061,-0.004502818,0,0.005,1
1700018A23Rik,0.429123046,0.036814353,0.011,0.005,1
1700018B08Rik,0.370863441,0.019796177,0.004,0,1
1700018G05Rik,0.370863441,0.003301318,0.004,0,1
1700018L02Rik,0.425245838,0.017137125,0.03,0.019,1
1700019A02Rik,0.495968079,0.018821155,0.034,0.023,1
1700019C18Rik,0.204157086,0.011833443,0.008,0,1
1700019D03Rik,0.089129507,0.085873115,0.241,0.177,1
1700019G24Rik,0.109059114,0.045423949,0.045,0.019,1
1700019J19Rik,0.119231641,0.02024579,0.011,0,1
1700019L13Rik,0.89907178,-0.01418646,0.026,0.028,1
1700020D05Rik,0.370863441,0.005825769,0.004,0,1
1700020D12Rik,0.880011338,-0.015332328,0.004,0.005,1
1700020G17Rik,0.119231641,0.022592056,0.011,0,1
1700021F05Rik,0.334101128,-0.075960822,0.173,0.2,1
1700021N21Rik,0.05383593,-0.019430372,0,0.014,1
1700022A22Rik,0.693329869,0.00427364,0.008,0.005,1
1700022H01Rik,0.233570981,0.055340038,0.03,0.014,1
1700022I11Rik,0.44752557,0.070321543,0.079,0.06,1
1700022N22Rik,0.56419464,0.016108072,0.038,0.028,1
1700023F02Rik,0.997757088,-0.03713525,0.019,0.019,1
1700023F06Rik,0.848369198,-0.049552605,0.075,0.07,1
1700023H06Rik,0.071607418,0.026364631,0.015,0,1
1700024B18Rik,0.190956678,0.081995255,0.605,0.558,1
1700025C18Rik,0.119231641,0.012956996,0.011,0,1
1700025F24Rik,0.880011338,-0.004201221,0.004,0.005,1
1700025G04Rik,0.589881746,0.036624207,0.643,0.595,1
1700025N21Rik,0.11601868,-0.0111127,0,0.009,1
1700026D11Rik,0.267811061,-0.00787192,0,0.005,1
1700026F02Rik,0.081066976,0.09205976,0.105,0.06,1
1700026J12Rik,0.204157086,0.024667198,0.008,0,1
1700026J14Rik,0.267811061,-0.011984178,0,0.005,1
1700026N04Rik,0.267811061,-0.031935586,0,0.005,1
1700027A07Rik,0.693329869,0.004957761,0.008,0.005,1
1700027A15Rik,0.370863441,0.004927117,0.004,0,1
1700027H10Rik,0.126734218,0.134699615,0.165,0.121,1
1700027I24Rik,0.370863441,0.006596703,0.004,0,1
1700027J07Rik,0.431575474,-0.002303665,0.011,0.005,1
1700028E10Rik,0.551351044,0.02335219,0.038,0.028,1
1700028I16Rik,0.267811061,-0.006577194,0,0.005,1
1700028J19Rik,0.760141947,-0.018826382,0.015,0.019,1
1700028K03Rik,0.154082516,0.043776214,0.098,0.06,1
1700028P14Rik,0.493078333,-0.007769313,0.008,0.014,1
1700029H14Rik,0.11601868,-0.018645353,0,0.009,1
1700029I15Rik,0.043713503,0.030689853,0.019,0,1
1700029J03Rik,0.370863441,0.00663463,0.004,0,1
1700029J07Rik,0.537695368,-0.030039996,0.06,0.074,1
1700030F04Rik,0.267811061,-0.016627081,0,0.005,1
1700030J22Rik,0.765011415,0.006531556,0.045,0.051,1
1700030K09Rik,0.265103915,-0.098709386,0.113,0.144,1
1700030L22Rik,0.267811061,-0.007808712,0,0.005,1
1700030M09Rik,0.884683203,0.010887154,0.004,0.005,1
1700030N03Rik,0.836349429,-0.000726394,0.011,0.009,1
1700031P21Rik,0.880011338,-0.002612319,0.004,0.005,1
1700034H15Rik,0.595199605,-0.046041854,0.041,0.051,1
1700034I23Rik,0.048329809,0.054027906,0.038,0.009,1
1700034P13Rik,0.004950324,-0.332865347,0.041,0.107,1
1700036A12Rik,0.110095503,0.042095116,0.03,0.009,1
1700037C18Rik,0.011454309,0.120316855,0.188,0.102,1
1700037F03Rik,0.309081337,-0.010354135,0.011,0.023,1
1700037H04Rik,0.042381936,0.095117709,0.113,0.06,1
1700039M10Rik,0.880011338,-0.001979734,0.004,0.005,1
1700040D17Rik,0.839283945,-0.009156733,0.011,0.009,1
1700040L08Rik,0.267811061,-0.012861654,0,0.005,1
1700041B01Rik,0.50212498,-0.022654019,0.011,0.019,1
1700041G16Rik,0.066323046,0.023069222,0.026,0.005,1
1700041M19Rik,0.880011338,-0.002739903,0.004,0.005,1
1700042O10Rik,0.981430848,-0.016103864,0.079,0.079,1
1700045H11Rik,0.370863441,0.003782513,0.004,0,1
1700047A11Rik,0.512566113,-0.012189945,0.019,0.028,1
1700047F07Rik,0.280414674,-0.017797446,0.008,0.019,1
1700047G03Rik,0.370863441,0.013139462,0.004,0,1
1700047K16Rik,0.002559894,0.092083989,0.053,0.005,1
1700048M11Rik,0.280414674,-0.003333917,0.008,0.019,1
1700048O20Rik,0.298103668,0.037201193,0.034,0.019,1
1700049E15Rik,0.370863441,0.004630551,0.004,0,1
1700052H01Rik,0.26225136,0.023543341,0.015,0.005,1
1700052K11Rik,0.348757761,-0.0179928,0.045,0.065,1
1700054A03Rik,0.95444184,0.045928766,0.079,0.079,1
1700055D18Rik,0.696905057,-0.003800665,0.008,0.005,1
1700056E22Rik,0.444576605,-0.004150498,0.004,0.009,1
1700056N10Rik,0.82570014,-0.006629603,0.008,0.009,1
1700057H15Rik,0.103143901,-0.043736838,0.011,0.033,1
1700057H21Rik,0.693329869,0.003283632,0.008,0.005,1
1700058P15Rik,0.44169961,-0.033045779,0.004,0.009,1
1700060C16Rik,0.11601868,-0.018333811,0,0.009,1
1700060J05Rik,0.370863441,0.004927117,0.004,0,1
1700060O08Rik,0.267811061,-0.010129798,0,0.005,1
1700061G19Rik,0.385904408,0.004456035,0.06,0.042,1
1700061H18Rik,0.204157086,0.00686119,0.008,0,1
1700061I17Rik,0.581737609,0.000185244,0.015,0.009,1
1700063D05Rik,0.44169961,-0.009498948,0.004,0.009,1
1700063J08Rik,0.575090967,0.011782971,0.026,0.019,1
1700064H15Rik,0.486286966,0.052713641,0.06,0.047,1
1700064J06Rik,0.370863441,0.009912076,0.004,0,1
1700064M15Rik,0.267811061,-0.011303832,0,0.005,1
1700065D16Rik,0.267811061,-0.005205651,0,0.005,1
1700065J18Rik,0.267811061,-0.004380534,0,0.005,1
1700065O20Rik,0.682142497,0.012224712,0.019,0.014,1
1700066B19Rik,0.887010305,0.024649503,0.075,0.079,1
1700066J03Rik,0.370863441,0.001672381,0.004,0,1
1700066M21Rik,0.300658428,-0.026778529,0.011,0.023,1
1700066N21Rik,0.267811061,-0.012444237,0,0.005,1
1700067K01Rik,0.267811061,-0.003078325,0,0.005,1
1700069L16Rik,0.880011338,-0.011906496,0.004,0.005,1
1700074H08Rik,0.388688433,0.015326363,0.019,0.009,1
1700080N15Rik,1.39876695855605e-06,0.335701071,0.365,0.172,0.037187618
1700081N11Rik,0.279209887,0.016131292,0.041,0.023,1
1700082M22Rik,0.392198749,0.019270853,0.019,0.009,1
1700084C06Rik,0.967315945,-0.007213111,0.432,0.423,1
1700084E18Rik,0.49782909,0.003373544,0.008,0.014,1
1700084F23Rik,0.838790391,0.003939612,0.008,0.009,1
1700085C21Rik,0.168024662,0.017917886,0.034,0.014,1
1700085D07Rik,0.001716766,0.214886871,0.297,0.177,1
1700086O06Rik,0.618770575,-0.011040241,0.102,0.116,1
1700086P04Rik,0.995514193,-0.014744997,0.019,0.019,1
1700087I21Rik,0.421613102,0.048021297,0.124,0.102,1
1700087M22Rik,0.405495485,0.037602632,0.102,0.079,1
1700088E04Rik,0.113163112,0.104733733,0.188,0.135,1
1700092E19Rik,0.267811061,-0.006592702,0,0.005,1
1700092K14Rik,0.204157086,0.008673114,0.008,0,1
1700093J21Rik,0.118985487,0.049405886,0.064,0.033,1
1700093K21Rik,0.508222749,-0.007152055,0.011,0.019,1
1700094D03Rik,0.026303917,-0.27307301,0.034,0.079,1
1700094J05Rik,0.495450671,-0.004839937,0.008,0.014,1
1700094M23Rik,0.711051394,0.013447689,0.026,0.033,1
1700095A13Rik,0.370863441,0.009180552,0.004,0,1
1700095A21Rik,0.267811061,-0.034232901,0,0.005,1
1700095J03Rik,0.333176681,-0.007294654,0.015,0.028,1
