,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,0.225573241,0.019614838,0.897,0.853,1
Marchf2,0.742910877,-0.11313248,0.296,0.301,1
Marchf2,0.785276308,-0.020999198,0.106,0.099,1
Marchf3,0.042306791,0.239743014,0.37,0.287,1
Marchf4,0.014334258,0.325482505,0.54,0.449,1
Marchf5,0.184748494,0.163777886,0.235,0.188,1
Marchf6,0.068096073,0.101035038,0.633,0.544,1
Marchf7,0.711681772,-0.057659194,0.498,0.474,1
Marchf8,0.688440558,-0.124756713,0.524,0.489,1
Marchf9,0.578787848,-0.465871015,0.01,0.015,1
Marchf10,0.218084711,-0.249815629,0.051,0.077,1
Marchf11,0.290023607,-0.180766502,0.322,0.36,1
Septin1,0.889979581,-0.43268083,0.232,0.213,1
Septin2,0.922136275,-0.168892457,0.141,0.143,1
Septin3,0.313920654,0.017854249,0.428,0.375,1
Septin4,0.468100342,-0.228205811,0.209,0.235,1
Septin5,0.492771482,0.549027776,0.048,0.037,1
Septin6,0.026575105,0.443671225,0.418,0.327,1
Septin7,0.440663018,-0.172509832,0.559,0.577,1
Septin8,0.083702922,-0.292368327,0.203,0.272,1
Septin9,0.784237302,0.283423977,0.045,0.04,1
Septin10,0.930532412,-0.070112504,0.183,0.176,1
Septin11,0.240774817,0.19102975,0.383,0.346,1
0610005C13Rik,0.277539572,-1.016296567,0.016,0.029,1
0610009B22Rik,0.392067764,0.067625181,0.077,0.099,1
0610009E02Rik,0.761836553,0.036598065,0.219,0.206,1
0610009L18Rik,0.361356359,0.003837335,0.048,0.033,1
0610010F05Rik,0.792849335,-0.118623488,0.611,0.596,1
0610010K14Rik,0.44142064,-0.688052279,0.029,0.04,1
0610012G03Rik,0.242485037,-0.434586342,0.116,0.147,1
0610030E20Rik,0.438443297,0.220945145,0.273,0.25,1
0610040B10Rik,0.005548489,-1.329557611,0.084,0.154,1
0610040F04Rik,0.000871651,-1.900740147,0.042,0.114,1
0610040J01Rik,0.76809856,0.564512066,0.045,0.04,1
0610043K17Rik,0.22434807,-0.53772991,0.299,0.331,1
0710001A04Rik,0.384085298,0.950227657,0.01,0.004,1
1010001N08Rik,0.331775601,1.224400866,0.016,0.007,1
1110002J07Rik,0.285374701,0.894919557,0.023,0.011,1
1110002L01Rik,0.099142535,0.239949702,0.257,0.195,1
1110004F10Rik,0.544360477,0.063944013,0.299,0.276,1
1110006O24Rik,0.840085029,-0.863653023,0.013,0.015,1
1110008P14Rik,0.078782574,-0.419309698,0.193,0.254,1
1110012L19Rik,0.083258031,1.96936522,0.019,0.004,1
1110013H19Rik,0.763514423,0.748973751,0.01,0.007,1
1110015O18Rik,0.500038688,-0.256854496,0.023,0.015,1
1110017D15Rik,0.550363105,0.165845212,0.103,0.088,1
1110018N20Rik,0.634674927,0.481164143,0.032,0.026,1
1110019D14Rik,0.953948373,-0.156211889,0.167,0.165,1
1110020A21Rik,0.132492613,-2.265563569,0.003,0.015,1
1110032A03Rik,0.223571527,-0.240846949,0.325,0.368,1
1110032F04Rik,0.36353876,-1.066567917,0.01,0.018,1
1110035H17Rik,0.225460189,-0.59537222,0.026,0.044,1
1110038B12Rik,0.106977889,-1.062843928,0.061,0.096,1
1110038F14Rik,0.056362605,-1.136011262,0.119,0.169,1
1110046J04Rik,0.429871335,-0.234356051,0.309,0.338,1
1110051M20Rik,0.042475088,0.233901045,0.72,0.632,1
1110059E24Rik,0.055180682,0.507253683,0.248,0.184,1
1110059G10Rik,0.562220272,-0.518824327,0.045,0.055,1
1110065P20Rik,0.385902587,-0.2858914,0.116,0.14,1
1190005I06Rik,0.01666308,1.665653686,0.084,0.037,1
1190007I07Rik,0.385685065,0.022734109,0.087,0.066,1
1300002E11Rik,0.208946071,1.081989949,0.045,0.026,1
1300014J16Rik,0.321677275,-1.28205926,0.006,0.015,1
1300017J02Rik,0.935276743,-0.111834512,0.064,0.066,1
1500002C15Rik,0.390446493,0.322480679,0.039,0.026,1
1500002F19Rik,0.105101624,1.6151207,0.01,0,1
1500004A13Rik,0.142411255,0.143206349,0.762,0.691,1
1500009C09Rik,0.458560755,-0.496309056,0.032,0.044,1
1500009L16Rik,0.2696079,0.288293457,0.193,0.158,1
1500011B03Rik,0.102010865,-0.434772554,0.277,0.335,1
1500012K07Rik,0.032163322,-2.659986086,0,0.015,1
1500015A07Rik,0.529320335,0.350462123,0.151,0.132,1
1500026H17Rik,0.198482025,0.73442212,0.145,0.114,1
1500032F14Rik,0.875657544,0.68735195,0.01,0.011,1
1500035N22Rik,0.078382671,0.450504175,0.164,0.11,1
1520401A03Rik,0.547348608,-1.25104688,0.006,0.011,1
1600002D24Rik,0.87788021,1.047878742,0.01,0.011,1
1600002K03Rik,0.605346895,-0.17578581,0.029,0.037,1
1600010M07Rik,0.917807989,-0.324829646,0.614,0.581,1
1600012H06Rik,0.02759706,0.561196724,0.125,0.07,1
1600014C10Rik,0.97161173,-0.151073517,0.055,0.055,1
1600019K03Rik,0.582366586,-0.018609507,0.01,0.015,1
1600020E01Rik,0.744004175,0.006409476,0.27,0.25,1
1700001D01Rik,0.512140019,0.384215021,0.013,0.007,1
1700001G11Rik,0.583112844,0.218932541,0.058,0.048,1
1700001K19Rik,0.462927096,0.234960049,0.032,0.022,1
1700001L05Rik,0.515775986,0.531709687,0.013,0.007,1
1700001L19Rik,0.806081708,-0.6064209,0.019,0.022,1
1700001O22Rik,0.397001461,-0.873162738,0.013,0.022,1
1700003E16Rik,0.486904998,0.020536205,0.055,0.07,1
1700003F12Rik,0.567977418,-0.295293021,0.051,0.062,1
1700003L19Rik,0.11276448,2.05173061,0.035,0.015,1
1700003P14Rik,0.75191368,0.131285489,0.061,0.055,1
1700007F19Rik,0.256031626,-1.087463775,0.003,0.011,1
1700007J10Rik,0.020949673,1.83832435,0.071,0.029,1
1700007L15Rik,0.817162445,-0.889335312,0.016,0.018,1
1700008J07Rik,0.136276277,2.3396846,0.023,0.007,1
1700008O03Rik,0.982496419,-0.068778897,0.161,0.162,1
1700010I14Rik,0.098237486,0.300799974,0.093,0.055,1
1700010J16Rik,0.105101624,1.703693356,0.01,0,1
1700010K24Rik,0.543268665,-0.235830195,0.122,0.103,1
1700011L22Rik,0.382204966,0.788307823,0.01,0.004,1
1700012A03Rik,0.515775986,0.602499552,0.013,0.007,1
1700012B09Rik,0.612949908,-0.055954021,0.023,0.029,1
1700012D14Rik,0.415634855,-0.438077144,0.293,0.309,1
1700013F07Rik,0.240665961,0.465566691,0.132,0.103,1
1700013M08Rik,0.006643251,0.672865535,0.051,0.011,1
1700015C15Rik,0.105101624,2.318059479,0.01,0,1
1700015F17Rik,0.502700746,-0.763710145,0.023,0.015,1
1700015H07Rik,0.372649425,-0.40556617,0.01,0.018,1
1700016J18Rik,0.771849067,-0.519237237,0.026,0.029,1
1700016K05Rik,0.629030522,-0.319399737,0.135,0.147,1
1700016P03Rik,0.72499544,0.071565048,0.167,0.158,1
1700017B05Rik,0.279487256,1.57507888,0.023,0.011,1
1700018A23Rik,0.385971281,2.042316614,0.01,0.004,1
1700018L02Rik,0.551547909,0.361560299,0.026,0.018,1
1700019A02Rik,0.656522049,0.028399647,0.032,0.026,1
1700019D03Rik,0.028943424,0.536542585,0.235,0.165,1
1700019G24Rik,0.111848297,1.165336967,0.051,0.026,1
1700019J19Rik,0.231188025,1.409526247,0.013,0.004,1
1700019L13Rik,0.782557088,-0.641389144,0.023,0.026,1
1700020G17Rik,0.105101624,2.184716598,0.01,0,1
1700021F05Rik,0.147658613,-0.661225148,0.161,0.199,1
1700021N21Rik,0.032163322,-2.823494631,0,0.015,1
1700022H01Rik,0.344728904,1.026213224,0.026,0.015,1
1700022I11Rik,0.333106491,0.408966634,0.08,0.059,1
1700022N22Rik,0.460807111,0.617492733,0.032,0.022,1
1700023F02Rik,0.588791088,-1.080358724,0.016,0.022,1
1700023F06Rik,0.752453792,-0.323085704,0.077,0.07,1
1700023H06Rik,0.060999255,2.368806012,0.013,0,1
1700024B18Rik,0.012287055,0.241044038,0.64,0.548,1
1700025C18Rik,0.105101624,1.572113904,0.01,0,1
1700025G04Rik,0.672936664,0.051318282,0.637,0.599,1
