,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,5.61809109023811e-17,0.283664166,0.631,0.514,1.4936256972507e-12
Marc1,0.428432966,-0.001231767,0.006,0.008,1
Marc2,0.324499797,0.017922152,0.12,0.111,1
Marchf2,0.474280105,-0.014946781,0.457,0.47,1
Marchf3,0.689413152,0.016636374,0.446,0.45,1
Marchf4,0.025560461,0.043457279,0.409,0.385,1
Marchf5,0.3068984,0.011286285,0.23,0.25,1
Marchf6,0.000360819,-0.093131841,0.582,0.638,1
Marchf7,0.154055226,-0.044095368,0.52,0.541,1
Marchf8,0.009657842,-0.076125886,0.473,0.507,1
Marchf9,0.01284109,-0.022782265,0.017,0.028,1
Marchf10,0.352956606,0.007557353,0.085,0.078,1
Marchf11,0.140033129,0.066863979,0.532,0.53,1
Septin1,5.56451019734066e-05,-0.064565865,0.228,0.282,1
Septin2,0.192002142,-0.001779492,0.137,0.152,1
Septin3,0.43750689,0.010450467,0.482,0.482,1
Septin4,0.20073686,1.00150359130247e-05,0.288,0.313,1
Septin5,0.078240153,-0.018785602,0.037,0.048,1
Septin6,0.171590774,0.063273538,0.38,0.372,1
Septin7,0.811738542,0.017095738,0.601,0.607,1
Septin8,0.0109644,-0.036253703,0.252,0.288,1
Septin9,0.395862525,0.003014461,0.055,0.049,1
Septin10,0.039468418,-0.029673436,0.181,0.207,1
Septin11,0.012964875,-0.035677654,0.362,0.399,1
Septin14,0.254134903,0.002156,0.004,0.002,1
0610005C13Rik,0.558462088,-0.008187123,0.031,0.034,1
0610006L08Rik,0.935435422,0.000499317,0.002,0.002,1
0610009B22Rik,4.34941969075326e-07,-0.056948741,0.079,0.125,0.011563367
0610009E02Rik,0.945318441,0.028433923,0.16,0.165,1
0610009L18Rik,0.000901727,-0.026172746,0.021,0.037,1
0610010F05Rik,6.56163768329092e-06,-0.121380857,0.671,0.712,0.174447699
0610010K14Rik,0.083928617,-0.0098456,0.039,0.049,1
0610012G03Rik,1.16246687767955e-08,-0.104067499,0.151,0.218,0.000309053
0610025J13Rik,0.546432358,0.001609128,0.002,0.001,1
0610030E20Rik,0.036054738,0.07649496,0.377,0.361,1
0610038B21Rik,0.550620124,0.001691416,0.004,0.003,1
0610039K10Rik,0.193690409,-0.000698663,0,0.001,1
0610040B10Rik,6.84016981870506e-06,-0.087615906,0.111,0.156,0.181852755
0610040F04Rik,0.275543376,-0.017914709,0.194,0.208,1
0610040J01Rik,0.905912727,-0.009737809,0.078,0.079,1
0610043K17Rik,0.211155165,-0.00485369,0.363,0.387,1
0710001A04Rik,0.310466428,0.005265792,0.01,0.008,1
1010001B22Rik,0.540204065,-0.000758807,0.001,0.002,1
1010001N08Rik,0.529724696,-0.001282258,0.002,0.003,1
1100001I12Rik,0.452882196,-0.00139139,0.001,0.002,1
1110002E22Rik,0.288765819,-0.001279852,0.003,0.005,1
1110002J07Rik,0.303434921,0.019261736,0.036,0.03,1
1110002L01Rik,0.94036892,0.002793561,0.197,0.196,1
1110002O04Rik,0.173334462,0.001098711,0.002,0.001,1
1110004F10Rik,0.690602454,0.02791512,0.311,0.308,1
1110006O24Rik,0.020204152,-0.00918051,0.008,0.015,1
1110008E08Rik,0.193690409,-0.000580656,0,0.001,1
1110008P14Rik,3.78843315894159e-13,-0.152998611,0.201,0.292,1.00719283963621e-08
1110012L19Rik,0.176598882,-0.006015014,0.009,0.013,1
1110013H19Rik,0.04964312,-0.002841764,0.005,0.01,1
1110015O18Rik,0.989257452,0.002997937,0.03,0.03,1
1110017D15Rik,0.194149528,0.027329142,0.158,0.145,1
1110018N20Rik,0.753298731,-0.003438031,0.028,0.027,1
1110019D14Rik,0.655768004,-0.015499564,0.201,0.208,1
1110020A21Rik,0.419305228,-0.007190436,0.022,0.026,1
1110032A03Rik,0.402247619,0.011731946,0.375,0.4,1
1110032F04Rik,0.006744743,-0.015460149,0.009,0.018,1
1110035H17Rik,0.048694481,-0.020792316,0.068,0.084,1
1110038B12Rik,0.073443014,-0.02056396,0.06,0.074,1
1110038F14Rik,7.47015119809661e-08,-0.076607574,0.139,0.199,0.001986014
1110046J04Rik,0.37545998,0.005678249,0.286,0.307,1
1110051M20Rik,0.005571619,0.058405541,0.74,0.734,1
1110059E24Rik,0.608964575,0.016374459,0.248,0.259,1
1110059G10Rik,0.296153023,0.002156642,0.052,0.06,1
1110065P20Rik,0.000167833,-0.056629692,0.116,0.156,1
1190005I06Rik,0.673723382,-0.000808711,0.085,0.089,1
1190007I07Rik,0.287717635,-0.01533897,0.087,0.096,1
1200007C13Rik,0.795430341,6.51964707159038e-05,0.001,0.001,1
1300002E11Rik,0.830970218,0.012365839,0.053,0.052,1
1300014J16Rik,0.797551001,-0.00286474,0.01,0.011,1
1300017J02Rik,0.142148858,-0.013635063,0.059,0.07,1
1500002C15Rik,0.711319693,-0.005401109,0.021,0.022,1
1500002F19Rik,0.384050602,-0.003659471,0.003,0.004,1
1500004A13Rik,0.012398466,0.064396027,0.789,0.767,1
1500009C09Rik,0.000394133,-0.031419393,0.038,0.061,1
1500009L16Rik,0.609002407,0.037016969,0.171,0.167,1
1500011B03Rik,6.55569232047326e-08,-0.107638903,0.295,0.374,0.001742896
1500012K07Rik,0.057797724,-0.009026177,0.011,0.017,1
1500015A07Rik,0.1205083,-0.012276775,0.153,0.172,1
1500015L24Rik,0.399572132,0.003445004,0.004,0.003,1
1500026H17Rik,0.77997604,0.027027903,0.165,0.166,1
1500032F14Rik,0.009209662,-0.012188527,0.009,0.018,1
1500035N22Rik,1.63126183206667e-07,0.08354031,0.147,0.098,0.004336873
1520401A03Rik,0.397004284,-0.004956812,0.018,0.022,1
1600002D24Rik,0.00309717,-0.046256501,0.008,0.019,1
1600002K03Rik,0.062404075,-0.013972807,0.045,0.058,1
1600010M07Rik,0.671160538,-0.029950491,0.642,0.649,1
1600012H06Rik,0.001394035,0.036914885,0.131,0.101,1
1600014C10Rik,0.685249174,0.003852889,0.082,0.086,1
1600019K03Rik,0.053734321,0.004797932,0.003,0.001,1
1600020E01Rik,0.147798943,-0.054195089,0.217,0.238,1
1700001C19Rik,0.191788221,-0.010591948,0.005,0.008,1
1700001D01Rik,0.405435072,-0.000633863,0.007,0.009,1
1700001G01Rik,0.5584625,0.002288155,0.003,0.002,1
1700001G11Rik,0.103241982,0.007079774,0.069,0.083,1
1700001J03Rik,0.645796936,-0.000956698,0.004,0.005,1
1700001K19Rik,0.382048411,-0.000588392,0.046,0.052,1
1700001K23Rik,0.177097442,0.005502594,0.009,0.006,1
1700001L05Rik,0.706352853,0.004084748,0.003,0.004,1
1700001L19Rik,0.415684221,0.004368325,0.026,0.03,1
1700001O22Rik,0.013692791,-0.017029506,0.02,0.031,1
1700001P01Rik,0.106152124,0.005407133,0.007,0.004,1
1700003D09Rik,0.876041549,-0.000229397,0.001,0.002,1
1700003E16Rik,0.945735852,0.008761873,0.059,0.059,1
1700003F12Rik,0.05228991,-0.015866344,0.116,0.136,1
1700003G18Rik,0.359348743,-0.007804203,0.005,0.007,1
1700003I16Rik,0.246538663,-0.002414433,0,0.002,1
1700003L19Rik,0.917857608,-0.000994607,0.004,0.004,1
1700003M07Rik,0.044588361,-0.003966844,0.002,0.006,1
1700003P14Rik,0.065956619,-0.004146521,0,0.002,1
1700006F04Rik,0.309919877,-0.003575144,0.011,0.015,1
1700006J14Rik,0.874758244,-0.001991819,0.001,0.002,1
1700007F19Rik,0.477225289,-0.001592953,0.03,0.033,1
1700007J10Rik,0.000957159,0.030378377,0.052,0.032,1
1700007K13Rik,0.070028164,-0.003594195,0.006,0.011,1
1700007L15Rik,0.203930848,-0.009490963,0.012,0.017,1
1700007P06Rik,0.403928251,-0.00074769,0,0.001,1
1700008C04Rik,0.029528452,0.00233168,0.002,0,1
1700008J07Rik,0.60817216,-0.000315966,0.019,0.021,1
1700008K24Rik,0.123847506,0.002478942,0.003,0.001,1
1700008O03Rik,0.046039279,-0.034626981,0.228,0.254,1
1700009C05Rik,0.66494868,-0.000792072,0,0.001,1
1700010B13Rik,0.064771254,0.003810854,0.002,0,1
1700010H22Rik,0.403685738,-0.000716257,0,0.001,1
1700010I02Rik,0.865768737,0.000642864,0.001,0.001,1
1700010I14Rik,0.374200098,-0.006356046,0.042,0.047,1
1700010J16Rik,0.833727045,0.005455804,0.012,0.011,1
1700010K23Rik,0.112828252,0.00278905,0.008,0.004,1
1700010K24Rik,0.451971737,-0.00848203,0.113,0.121,1
1700010L04Rik,0.097237888,0.003229357,0.003,0.001,1
1700011C11Rik,0.283083262,-0.004033452,0.005,0.007,1
1700011D18Rik,0.124551561,0.002266464,0.002,0,1
1700011L22Rik,0.237603281,-0.001717677,0.001,0.002,1
1700012B07Rik,0.304339706,0.001535003,0.002,0.001,1
1700012B09Rik,0.404208384,0.002615854,0.005,0.003,1
1700012C14Rik,0.246538663,-0.001205057,0,0.002,1
1700012D14Rik,0.03367404,0.068729283,0.363,0.342,1
1700012E03Rik,0.111352385,-0.000948023,0,0.001,1
1700012I11Rik,0.519473004,-0.002459621,0.007,0.009,1
1700012J15Rik,0.63677216,-0.002321414,0.001,0.002,1
1700012P22Rik,0.703401008,0.002271605,0.003,0.004,1
1700013D24Rik,0.058461968,-0.003585874,0,0.003,1
1700013F07Rik,0.091806065,0.024918257,0.09,0.077,1
1700013M08Rik,0.000347175,0.017908885,0.025,0.011,1
1700013N06Rik,0.123942142,0.001875974,0.001,0,1
1700014D04Rik,0.811812387,-0.000759978,0.002,0.002,1
1700015C15Rik,0.685099596,-0.000424098,0.005,0.006,1
1700015F17Rik,0.106427912,-0.011969409,0.019,0.026,1
1700015H07Rik,0.001052862,0.014552187,0.019,0.008,1
1700015I17Rik,0.453228133,-0.001786316,0.001,0.002,1
1700015O11Rik,0.247167488,-0.000936446,0,0.002,1
1700016B01Rik,0.6645875,-0.001308232,0,0.001,1
1700016C15Rik,0.401745495,0.00100992,0.009,0.007,1
1700016D06Rik,0.004491543,0.01924336,0.022,0.011,1
1700016G22Rik,0.111352385,-0.002794639,0,0.001,1
1700016H03Rik,0.193690409,-0.001806873,0,0.001,1
1700016J18Rik,0.050321747,-0.01725321,0.021,0.03,1
1700016K05Rik,0.482824666,0.024636962,0.128,0.122,1
1700016L21Rik,0.865430004,0.000907119,0.001,0.001,1
1700016P03Rik,0.243255633,-0.009708357,0.099,0.111,1
1700017B05Rik,0.132197671,-0.007658471,0.016,0.023,1
1700017D01Rik,0.276280225,-0.002760324,0.002,0.004,1
1700017M07Rik,0.467862123,0.00263605,0.001,0,1
1700017N19Rik,0.111352385,-0.000773122,0,0.001,1
1700018A04Rik,0.034004361,0.002756936,0.003,0,1
1700018A23Rik,0.104079048,0.004446203,0.005,0.002,1
1700018B08Rik,0.523753716,-0.00053383,0.001,0.001,1
1700018L02Rik,1.69113313620931e-05,0.029498633,0.039,0.018,0.449604656
1700019A02Rik,0.015423098,-0.010336949,0.039,0.054,1
1700019D03Rik,0.644277581,0.024555541,0.301,0.321,1
1700019F05Rik,0.027593837,-0.003845093,0.001,0.004,1
1700019G24Rik,0.001689942,0.024692089,0.069,0.047,1
1700019J19Rik,0.008548533,0.011029197,0.021,0.011,1
1700019L13Rik,0.580436552,0.003938432,0.01,0.008,1
1700019N19Rik,0.123942142,0.003319182,0.001,0,1
1700020D05Rik,0.628350699,0.003650592,0.007,0.006,1
1700020D12Rik,0.835612054,0.001764332,0.001,0.001,1
1700020G17Rik,0.700918704,-0.000992762,0.003,0.004,1
1700020L24Rik,0.713016706,-0.000257368,0.002,0.002,1
1700020N01Rik,0.193690409,-0.000403205,0,0.001,1
1700021F05Rik,0.07642808,-0.016863714,0.211,0.235,1
1700021F07Rik,0.523252155,0.001391444,0.001,0.001,1
1700021J08Rik,0.304339706,0.002385583,0.002,0.001,1
1700021L23Rik,0.123942142,0.003179052,0.001,0,1
1700021N21Rik,0.061581665,-0.004117391,0.002,0.006,1
1700022A22Rik,0.554509309,0.0045552,0.011,0.009,1
1700022H01Rik,0.4791128,-0.001297841,0.016,0.014,1
1700022I11Rik,0.053143737,-0.013568583,0.059,0.074,1
1700022N22Rik,0.860799953,-0.005906694,0.025,0.026,1
1700023F02Rik,0.115394201,-0.007477605,0.005,0.009,1
1700023F06Rik,0.297529726,-0.01370649,0.081,0.09,1
1700023H06Rik,0.209745669,0.004425023,0.006,0.004,1
1700024B05Rik,0.058543165,-0.0027801,0,0.003,1
1700024B18Rik,6.61559644082803e-22,0.249628814,0.736,0.656,1.75882246975854e-17
1700024I08Rik,0.002447481,0.006576472,0.007,0.001,1
1700025C18Rik,0.453228133,-0.000500406,0.001,0.002,1
1700025D23Rik,0.539273957,-0.001793698,0.001,0.002,1
1700025F24Rik,0.075414759,0.006254668,0.012,0.007,1
1700025G04Rik,0.268011259,0.027949628,0.749,0.75,1
1700025K24Rik,0.665309939,0.000493894,0,0.001,1
1700025L06Rik,0.039780747,-0.001752007,0,0.002,1
1700025M24Rik,0.66494868,-0.000313617,0,0.001,1
1700025N21Rik,0.072928784,0.001246571,0.004,0.001,1
1700025O08Rik,0.246695764,-0.001380913,0,0.002,1
1700026D11Rik,0.794835967,-0.000376704,0.001,0.001,1
1700026F02Rik,0.001702663,0.07648576,0.181,0.15,1
1700026J12Rik,0.042553851,-0.002527891,0.001,0.004,1
1700026J14Rik,0.001207775,-0.007413438,0.002,0.009,1
1700026N04Rik,0.06163041,0.002446835,0.007,0.003,1
1700027A07Rik,0.664539598,0.00616239,0.018,0.016,1
1700027A15Rik,0.547946998,-0.003243934,0.007,0.009,1
1700027H10Rik,0.01519416,0.038293968,0.068,0.052,1
1700027I24Rik,0.935206972,0.000175257,0.002,0.002,1
1700027J07Rik,0.546865697,0.001151045,0.002,0.001,1
1700028E10Rik,0.542758284,0.019872067,0.053,0.049,1
1700028J19Rik,0.385486723,-0.004437526,0.018,0.021,1
1700028K03Rik,0.000877842,0.057310569,0.13,0.101,1
1700028M03Rik,0.90878438,0.001792094,0.004,0.004,1
1700028P14Rik,0.054906005,-0.006591002,0.005,0.009,1
1700029F12Rik,0.123942142,0.001529661,0.001,0,1
1700029H14Rik,0.206620572,0.00808059,0.006,0.004,1
1700029I15Rik,0.307983329,-0.003715993,0.01,0.013,1
1700029J03Rik,0.529249425,0.004850372,0.006,0.005,1
1700029J07Rik,0.181675693,-0.013837409,0.068,0.078,1
1700030C12Rik,0.386818562,-0.000575607,0.002,0.003,1
1700030E10Rik,0.560980793,-0.000261329,0.003,0.002,1
1700030F04Rik,0.555910715,0.004871701,0.004,0.003,1
1700030J22Rik,0.865046049,0.004500302,0.043,0.044,1
1700030K09Rik,0.186066537,-0.024089885,0.126,0.14,1
1700030L22Rik,0.073246833,0.010325144,0.039,0.03,1
1700030M09Rik,0.07262043,-0.004580726,0.012,0.018,1
1700030N03Rik,0.357869822,-0.004643206,0.005,0.007,1
1700031A10Rik,0.78876271,0.000493767,0.002,0.002,1
1700031P21Rik,0.00362186,-0.006335632,0,0.004,1
1700034G24Rik,0.637207091,-0.00493226,0.001,0.002,1
1700034H15Rik,0.293079325,0.004573501,0.045,0.052,1
1700034I23Rik,1.76901076875686e-06,0.022910316,0.03,0.01,0.04703092
1700034P13Rik,3.86339971558611e-12,-0.189980704,0.039,0.09,1.02712344838572e-07
1700036A12Rik,0.263535823,-0.007273992,0.015,0.02,1
1700036G14Rik,0.111352385,-0.000774376,0,0.001,1
