,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ucn,9.80E-08,2.910548799,0.016,0.002,0.00260443
Cartpt,1.39E-49,2.527741089,0.167,0.039,3.69E-45
Gm14225,0.000314223,2.514977524,0.01,0.002,1
4932702P03Rik,3.54E-05,2.3642083,0.014,0.003,0.942115493
Creb5,4.90E-16,2.322089771,0.081,0.028,1.30E-11
Gm47958,0.000492569,2.301755561,0.012,0.003,1
Pitpnm2os1,1.13E-09,2.269412571,0.037,0.01,3.00E-05
Sp9,1.43E-05,2.206538803,0.021,0.006,0.38017177
Vmn1r209,0.02023489,2.133480167,0.012,0.006,1
Tcaf3,0.005413742,2.072403516,0.011,0.004,1
Gm43221,7.84E-11,2.011681088,0.041,0.011,2.08E-06
Gm49002,0.004637207,1.903999029,0.012,0.005,1
Uckl1os,0.006270588,1.889190304,0.011,0.004,1
Gm16252,0.013138459,1.882371701,0.01,0.004,1
Gm15722,0.001922458,1.843371238,0.015,0.006,1
Cybb,0.002509471,1.821232686,0.014,0.006,1
5430427M07Rik,0.003998773,1.82090423,0.012,0.004,1
Gm47047,0.014840701,1.809774266,0.01,0.004,1
Gm30873,8.96E-05,1.80048189,0.024,0.01,1
Gm42962,0.00454,1.792783766,0.01,0.004,1
Ssxb5,0.001401168,1.780110958,0.011,0.003,1
Gm10687,0.000767576,1.746539091,0.014,0.005,1
Gm35520,5.94E-05,1.742660555,0.011,0.002,1
Tmem88,0.036373618,1.694167733,0.013,0.007,1
Gm45237,0.004384994,1.659077556,0.014,0.006,1
Clec3b,0.008085331,1.643360547,0.012,0.005,1
1700034I23Rik,1.33E-06,1.632386356,0.029,0.01,0.035379542
Gm36328,0.002413756,1.627428581,0.016,0.007,1
Tcf24,0.003462715,1.619987007,0.013,0.005,1
Ccl5,7.90E-05,1.614179452,0.024,0.009,1
4933433N18Rik,0.009834475,1.602645346,0.011,0.004,1
A930041C12Rik,6.77E-05,1.600224711,0.018,0.006,1
Hsd3b5,0.005308681,1.562075371,0.013,0.005,1
