,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,2.99208879797242e-11,0.351209437,0.982,0.931,7.95476727828946e-07
Marc1,0.662168374,0.005873293,0.004,0.003,1
Marchf2,0.486066313,0.039626795,0.562,0.529,1
Marc2,0.853045885,0.026674618,0.18,0.18,1
Marchf3,0.246295966,0.026636018,0.265,0.23,1
Marchf4,0.011616135,0.09242955,0.445,0.352,1
Marchf5,0.714531788,0.036574255,0.281,0.278,1
Marchf6,0.646275809,-0.012607124,0.663,0.696,1
Marchf7,0.113105405,0.067999076,0.557,0.519,1
Marchf8,0.062496817,0.08616258,0.501,0.447,1
Marchf9,0.377132933,0.010625178,0.025,0.016,1
Marchf10,0.404560391,0.0019438,0.043,0.056,1
Marchf11,2.57062247403101e-07,0.301301281,0.903,0.839,0.006834257
Septin1,0.025028901,-0.093586357,0.209,0.275,1
Septin2,0.730632217,0.016151421,0.128,0.14,1
Septin3,0.848922519,-0.038413482,0.479,0.484,1
Septin4,0.927366982,-0.00940277,0.4,0.402,1
Septin5,0.667415603,-0.009668602,0.029,0.034,1
Septin6,0.477735936,0.046454677,0.497,0.463,1
Septin7,0.718514914,-0.06684534,0.618,0.619,1
Septin8,0.008959385,-0.163881987,0.191,0.259,1
Septin9,0.656042896,0.018765582,0.043,0.037,1
Septin10,0.530130913,-0.04502735,0.198,0.214,1
Septin11,0.312824638,-0.027442901,0.371,0.413,1
0610005C13Rik,0.69927827,0.00359522,0.045,0.04,1
0610006L08Rik,0.907982204,-0.000762184,0.002,0.003,1
0610009B22Rik,0.04137719,-0.071559271,0.11,0.156,1
0610009E02Rik,0.776315299,0.028990166,0.157,0.156,1
0610009L18Rik,0.095406177,-0.026422443,0.018,0.037,1
0610010F05Rik,0.00279052,-0.203316516,0.64,0.709,1
0610010K14Rik,0.178751162,0.017940701,0.047,0.029,1
0610012G03Rik,0.021883342,-0.13914486,0.175,0.235,1
0610025J13Rik,0.278998137,-0.005761666,0,0.003,1
0610030E20Rik,0.062712448,0.111739193,0.362,0.312,1
0610038B21Rik,0.799871122,0.00199605,0.011,0.013,1
0610040B10Rik,0.503495298,-0.040186353,0.097,0.108,1
0610040F04Rik,0.200782148,-0.096484854,0.182,0.209,1
0610040J01Rik,0.430623388,-0.01229018,0.263,0.235,1
0610043K17Rik,0.013230848,-0.151054222,0.254,0.331,1
0710001A04Rik,0.14797211,0.008935616,0.011,0.003,1
1010001B22Rik,0.907982204,-0.001013718,0.002,0.003,1
1010001N08Rik,0.907982204,-0.00196147,0.002,0.003,1
1100001I12Rik,0.357984962,0.001530317,0.002,0,1
1110002E22Rik,0.907982204,-0.002646834,0.002,0.003,1
1110002J07Rik,0.41769372,0.004643171,0.043,0.032,1
1110002L01Rik,0.12580403,0.057490528,0.207,0.169,1
1110004F10Rik,0.214574227,-0.050519827,0.294,0.339,1
1110006O24Rik,0.771071169,0.005283503,0.016,0.019,1
1110008P14Rik,0.001393603,-0.146494171,0.238,0.341,1
1110012L19Rik,0.346683398,-0.013727216,0.007,0.013,1
1110013H19Rik,0.237225196,-0.016701682,0.009,0.019,1
1110015O18Rik,0.051922406,-0.039645849,0.027,0.053,1
1110017D15Rik,0.297093733,-0.015233031,0.173,0.14,1
1110018N20Rik,0.231866472,0.013539763,0.013,0.005,1
1110019D14Rik,0.584914086,0.030285456,0.231,0.22,1
1110020A21Rik,0.244788293,-0.008508529,0.067,0.048,1
1110032A03Rik,0.290128365,-0.071858443,0.366,0.394,1
1110032F04Rik,0.23546882,-0.0125693,0.009,0.019,1
1110035H17Rik,0.204209331,-0.036547388,0.072,0.098,1
1110038B12Rik,0.754657308,0.003368735,0.045,0.05,1
1110038F14Rik,0.001608632,-0.139701497,0.155,0.241,1
1110046J04Rik,0.590343711,0.012563197,0.292,0.272,1
1110051M20Rik,0.81033402,-0.026942093,0.791,0.757,1
1110059E24Rik,0.366903665,0.03303369,0.261,0.235,1
1110059G10Rik,0.408010853,0.001697649,0.04,0.053,1
1110065P20Rik,0.016872529,-0.154986484,0.124,0.177,1
1190005I06Rik,0.463664665,-0.028638996,0.072,0.085,1
1190007I07Rik,0.518710802,-0.036449544,0.081,0.093,1
1190028D05Rik,0.278998137,-0.003341428,0,0.003,1
1200007C13Rik,0.278998137,-0.008248274,0,0.003,1
1300002E11Rik,0.519007038,0.010303253,0.061,0.05,1
