,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,2.16E-11,0.40400805,0.982,0.931,5.73E-07
Marchf2,0.489470153,0.090654145,0.562,0.53,1
Marchf2,0.815808701,0.195542026,0.181,0.179,1
Marchf3,0.27980806,0.113603527,0.264,0.232,1
Marchf4,0.013467557,0.267734939,0.445,0.354,1
Marchf5,0.751497597,0.163586351,0.28,0.28,1
Marchf6,0.568990681,-0.037599558,0.661,0.697,1
Marchf7,0.115376994,0.165142825,0.555,0.517,1
Marchf8,0.057960463,0.241695355,0.503,0.449,1
Marchf9,0.369307022,0.409038803,0.025,0.016,1
Marchf10,0.33385953,0.020255037,0.043,0.058,1
Marchf11,2.48E-07,0.416428114,0.903,0.839,0.006586459
Septin1,0.024499173,-0.464814479,0.21,0.277,1
Septin2,0.549348952,0.106489817,0.124,0.142,1
Septin3,0.784123122,-0.110280395,0.476,0.485,1
Septin4,0.988062531,-0.038976465,0.4,0.404,1
Septin5,0.547631433,-0.380816066,0.027,0.034,1
Septin6,0.455381521,0.123961921,0.499,0.464,1
Septin7,0.662766848,-0.145113608,0.616,0.62,1
Septin8,0.010480724,-0.85417671,0.192,0.259,1
Septin9,0.641092902,0.567736593,0.043,0.037,1
Septin10,0.474954504,-0.2649674,0.196,0.216,1
Septin11,0.287345943,-0.095125418,0.37,0.414,1
0610005C13Rik,0.683475699,0.093076322,0.045,0.04,1
0610009B22Rik,0.045512786,-0.663108883,0.111,0.156,1
0610009E02Rik,0.742780427,0.254246299,0.158,0.156,1
0610009L18Rik,0.065881415,-1.119473088,0.018,0.04,1
0610010F05Rik,0.002644705,-0.377892952,0.639,0.71,1
0610010K14Rik,0.245250798,0.615884942,0.047,0.032,1
0610012G03Rik,0.020763124,-0.690817822,0.176,0.237,1
0610030E20Rik,0.053270665,0.406128504,0.363,0.311,1
0610038B21Rik,0.808693536,0.12092595,0.011,0.013,1
0610040B10Rik,0.525671694,-0.434433438,0.097,0.108,1
0610040F04Rik,0.16784056,-0.562057029,0.181,0.211,1
0610040J01Rik,0.473157752,-0.061399595,0.262,0.237,1
0610043K17Rik,0.011135545,-0.560689731,0.253,0.332,1
0710001A04Rik,0.145646992,1.372328833,0.011,0.003,1
1110002J07Rik,0.406312901,0.126450901,0.043,0.032,1
1110002L01Rik,0.136192308,0.389383317,0.208,0.172,1
1110004F10Rik,0.194244005,-0.209640479,0.293,0.34,1
1110006O24Rik,0.781441027,0.277393534,0.016,0.018,1
1110008P14Rik,0.001734468,-0.610605689,0.239,0.34,1
1110012L19Rik,0.215842751,-1.493253387,0.007,0.016,1
1110013H19Rik,0.242107722,-1.061260077,0.009,0.018,1
1110015O18Rik,0.054509098,-1.276748112,0.027,0.053,1
1110017D15Rik,0.355218307,-0.111753268,0.172,0.142,1
1110018N20Rik,0.228068154,1.257220511,0.014,0.005,1
1110019D14Rik,0.58887164,0.155392443,0.23,0.219,1
1110020A21Rik,0.234771807,-0.146240423,0.068,0.047,1
