,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,1.81E-30,0.803940574,0.538,0.416,4.21E-26
Marchf2,0.101173785,0.123416996,0.569,0.565,1
Marchf2,0.401015792,-0.106655272,0.107,0.114,1
Marchf3,0.006143398,-0.129486429,0.351,0.39,1
Marchf4,0.045761773,0.156314866,0.392,0.375,1
Marchf5,0.012891672,-0.087258281,0.369,0.405,1
Marchf6,0.197742699,-0.016623239,0.715,0.736,1
Marchf7,0.001125577,-0.119817424,0.497,0.55,1
Marchf8,0.004178208,0.393362461,0.245,0.218,1
Marchf9,0.568107766,0.086344349,0.029,0.027,1
Marchf10,0.014324177,-0.157509428,0.113,0.135,1
Marchf11,5.74E-06,0.159145967,0.91,0.901,0.133847783
Septin1,0.018918441,-0.082599272,0.185,0.214,1
Septin2,0.23648569,-0.192303069,0.169,0.18,1
Septin3,0.998081801,0.032869599,0.666,0.679,1
Septin4,0.053041537,0.078878702,0.812,0.815,1
Septin5,0.506062482,0.016202375,0.076,0.081,1
Septin6,0.006146273,-0.089038435,0.524,0.564,1
Septin7,1.19E-25,-0.312149651,0.811,0.871,2.77E-21
Septin8,0.09823466,0.114712155,0.643,0.649,1
Septin9,0.868753115,-0.05146812,0.013,0.013,1
Septin10,0.355627826,-0.123752583,0.129,0.137,1
Septin11,7.74E-07,-0.118777833,0.882,0.906,0.018054652
0610005C13Rik,0.047536932,0.894922966,0.024,0.016,1
0610009B22Rik,0.236132472,-0.056868495,0.079,0.088,1
0610009E02Rik,0.388406416,0.00113121,0.177,0.187,1
0610009L18Rik,0.031356733,-0.19324459,0.022,0.032,1
0610010F05Rik,0.932643872,0.021168726,0.733,0.752,1
0610010K14Rik,0.973340814,0.066484091,0.037,0.037,1
0610012G03Rik,0.046266634,-0.008692221,0.108,0.127,1
0610030E20Rik,0.489605952,0.079453648,0.386,0.384,1
0610038B21Rik,0.748122264,0.090798348,0.016,0.015,1
0610040B10Rik,0.000131333,0.762789413,0.077,0.051,1
0610040F04Rik,0.000283873,-0.221588011,0.188,0.23,1
0610040J01Rik,0.095914505,0.370681148,0.097,0.085,1
0610043K17Rik,0.287671722,0.132707997,0.66,0.664,1
0710001A04Rik,0.207226307,0.276923199,0.019,0.014,1
1110002J07Rik,0.825621317,0.009037246,0.039,0.038,1
1110002L01Rik,0.80460412,0.064479058,0.16,0.163,1
1110002O04Rik,0.576779119,-0.252127319,0.016,0.018,1
1110004F10Rik,0.759045857,0.048634775,0.369,0.379,1
1110008P14Rik,1.94E-06,-0.189822882,0.389,0.451,0.045141378
1110013H19Rik,0.061557087,0.70390613,0.021,0.014,1
1110017D15Rik,0.756203707,0.160605701,0.161,0.16,1
1110018N20Rik,0.033023765,-0.178654124,0.067,0.082,1
1110019D14Rik,0.010263088,-0.117950823,0.332,0.367,1
1110020A21Rik,0.595399555,0.052706858,0.03,0.032,1
1110032A03Rik,0.012538867,0.216608118,0.289,0.259,1
1110032F04Rik,0.003368662,-0.356509514,0.052,0.071,1
1110035H17Rik,0.780156616,0.153479833,0.081,0.079,1
1110038B12Rik,0.123290084,-0.317954668,0.062,0.071,1
1110038F14Rik,0.004491528,-0.158310151,0.331,0.371,1
1110046J04Rik,0.028935307,0.246150163,0.337,0.319,1
1110051M20Rik,1.14E-06,0.132949574,0.872,0.863,0.026687368
1110059E24Rik,0.159681014,0.183097729,0.233,0.218,1
1110059G10Rik,0.00136046,-0.323977662,0.067,0.09,1
1110065P20Rik,0.053668825,-0.171304337,0.107,0.123,1
1190005I06Rik,0.1015245,0.408696415,0.106,0.094,1
1190007I07Rik,0.492095315,0.190533783,0.08,0.075,1
1300002E11Rik,0.44840608,0.173703594,0.053,0.049,1
1300014J16Rik,0.370602287,0.425001801,0.014,0.011,1
1300017J02Rik,0.932963813,0.063974769,0.138,0.139,1
1500002C15Rik,0.65968928,0.008063429,0.012,0.011,1
1500004A13Rik,4.73E-10,0.165167949,0.917,0.918,1.10E-05
1500009C09Rik,0.11424882,0.389738744,0.035,0.027,1
1500009L16Rik,0.000147533,-0.227684769,0.214,0.259,1
1500011B03Rik,0.92119645,0.056861795,0.27,0.271,1
1500012K07Rik,0.387678282,-0.10896603,0.032,0.036,1
1500015A07Rik,0.203158173,-0.13809944,0.112,0.123,1
1500015L24Rik,8.83E-07,-0.688619196,0.036,0.063,0.020594822
1500026H17Rik,0.000197289,-0.254839592,0.172,0.212,1
1500032F14Rik,0.397310891,0.086676528,0.018,0.015,1
1500035N22Rik,1.17E-05,0.26362215,0.538,0.503,0.273602626
1520401A03Rik,0.699590989,-0.198233614,0.009,0.01,1
1600002D24Rik,0.535674036,-0.411297037,0.027,0.024,1
1600002K03Rik,0.05444272,-0.201553465,0.055,0.068,1
1600010M07Rik,0.115107636,0.100682205,0.714,0.718,1
1600012H06Rik,0.081412554,-0.148454024,0.123,0.139,1
1600014C10Rik,0.156199567,-0.07859851,0.112,0.125,1
1600020E01Rik,0.592213543,0.067229789,0.267,0.28,1
1700001D01Rik,4.93E-07,-0.97663024,0.031,0.057,0.011490569
1700001G11Rik,0.135981095,-0.223617564,0.066,0.076,1
1700001K19Rik,0.42525394,0.149842432,0.036,0.032,1
1700001K23Rik,0.892701556,0.348946765,0.011,0.011,1
1700001L19Rik,0.013391918,-0.350234312,0.059,0.076,1
1700001O22Rik,0.003729068,0.354147432,0.108,0.085,1
1700003D09Rik,0.041115627,0.662587318,0.015,0.009,1
1700003E16Rik,0.346730978,0.130106477,0.101,0.094,1
1700003F12Rik,0.003237244,0.323151489,0.301,0.272,1
1700003L19Rik,0.182888449,-0.03006914,0.035,0.042,1
1700003M07Rik,0.911081125,0.001122687,0.01,0.01,1
1700006F04Rik,0.073165588,0.608980896,0.016,0.011,1
1700007F19Rik,0.064828435,-0.109168126,0.074,0.088,1
1700007J10Rik,0.066889579,-0.225877118,0.086,0.1,1
1700007K13Rik,0.002759741,-0.832143091,0.015,0.026,1
1700007L15Rik,0.209032298,-0.346024742,0.01,0.014,1
1700007P06Rik,0.029650309,-0.344136179,0.019,0.027,1
1700008J07Rik,0.195241229,-0.379641805,0.014,0.018,1
1700008O03Rik,0.82993218,0.062163761,0.182,0.185,1
1700010I14Rik,0.265650751,0.474846655,0.012,0.009,1
1700010K23Rik,0.015208449,-0.949206151,0.005,0.01,1
1700010K24Rik,0.505444752,0.199322297,0.121,0.116,1
1700011C11Rik,0.833668069,-0.105375113,0.01,0.011,1
1700012D14Rik,0.611997947,0.106302685,0.266,0.279,1
1700012I11Rik,0.151198433,-0.915024159,0.01,0.014,1
1700013F07Rik,0.04911575,0.166699564,0.136,0.117,1
1700015F17Rik,0.358895353,0.571942789,0.015,0.012,1
1700015H07Rik,0.768151061,0.096419396,0.033,0.032,1
1700016C15Rik,0.229939915,-0.702806101,0.007,0.01,1
1700016D06Rik,0.08387522,-0.446009669,0.009,0.014,1
1700016J18Rik,0.150915707,-0.278248564,0.016,0.022,1
1700016K05Rik,0.997428374,-0.018884642,0.023,0.023,1
1700016P03Rik,1.34E-41,-0.949546941,0.366,0.525,3.12E-37
1700017B05Rik,0.312164136,0.301490297,0.032,0.028,1
1700017D01Rik,0.079485701,-0.708420012,0.01,0.015,1
1700018L02Rik,0.029314482,-0.32479719,0.026,0.036,1
1700019A02Rik,0.020788007,-0.374952291,0.041,0.054,1
1700019D03Rik,0.006639757,-0.079203015,0.641,0.692,1
1700019G24Rik,0.074484414,-0.148181415,0.047,0.058,1
1700019J19Rik,0.304377903,-0.792926067,0.01,0.013,1
1700019L13Rik,0.265708624,-0.155312029,0.02,0.024,1
1700020D05Rik,0.815994673,0.01845142,0.011,0.01,1
1700021F05Rik,0.003425693,-0.217323892,0.237,0.27,1
1700022A22Rik,0.035063328,0.603437177,0.026,0.017,1
1700022H01Rik,0.03465678,-0.288224787,0.029,0.039,1
1700022I11Rik,0.622601589,0.260479725,0.09,0.094,1
1700022N22Rik,0.36167118,0.267568135,0.024,0.02,1
1700023F06Rik,0.00243024,-0.294206713,0.118,0.145,1
1700024B18Rik,6.24E-19,-0.364972062,0.626,0.73,1.46E-14
1700024I08Rik,0.168935697,0.573315473,0.013,0.009,1
1700025G04Rik,0.24223983,-0.015756627,0.834,0.856,1
1700026D11Rik,0.02581391,-1.047684599,0.005,0.01,1
1700026F02Rik,0.195312741,0.252705122,0.115,0.104,1
1700026J12Rik,0.076767465,-0.644153044,0.013,0.019,1
1700027A07Rik,0.004528131,-0.493178679,0.022,0.034,1
1700027A15Rik,0.254020764,-0.18375444,0.011,0.014,1
1700027H10Rik,0.075576091,-0.115267569,0.081,0.096,1
1700028E10Rik,0.415509271,0.446265154,0.03,0.026,1
1700028J19Rik,0.707692009,0.076323407,0.025,0.023,1
1700028K03Rik,0.47713405,-0.010435043,0.095,0.101,1
1700028P14Rik,5.36E-06,-0.804545688,0.028,0.051,0.125028172
1700029I15Rik,0.275415063,0.444278028,0.016,0.013,1
1700029J03Rik,0.063875311,0.584171791,0.018,0.012,1
1700029J07Rik,0.378061464,0.028893869,0.129,0.139,1
1700030F04Rik,0.121476428,-0.268313511,0.036,0.044,1
1700030J22Rik,0.470992538,-0.088940713,0.088,0.094,1
1700030K09Rik,0.160721883,0.303196894,0.101,0.09,1
1700030M09Rik,0.001413282,-0.323211981,0.01,0.02,1
1700034H15Rik,0.323221958,-0.140278369,0.061,0.067,1
1700034I23Rik,0.115691418,-0.269282246,0.028,0.035,1
1700034P13Rik,0.284635432,0.098462734,0.051,0.057,1
1700036A12Rik,0.575292272,0.108923897,0.012,0.01,1
1700037C18Rik,0.000115487,-0.258087872,0.194,0.238,1
1700037F03Rik,0.675366391,0.08209898,0.039,0.042,1
1700037H04Rik,0.1849012,0.268100675,0.117,0.106,1
1700040D17Rik,0.230214137,-0.417630526,0.012,0.016,1
1700041B01Rik,0.376769099,0.192853108,0.03,0.026,1
1700041G16Rik,0.792082403,-0.403712155,0.014,0.015,1
1700041M19Rik,0.096697965,-0.497594467,0.009,0.013,1
1700047A11Rik,0.001918294,-0.56956652,0.044,0.063,1
1700047K16Rik,0.000201106,-0.715348285,0.038,0.059,1
1700048O20Rik,0.041043449,-0.332360181,0.034,0.045,1
