,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,2.55E-106,1.842511866,0.801,0.416,5.94E-102
Marchf2,0.329103859,-0.025771211,0.099,0.114,1
Marchf2,0.651404845,0.086381289,0.512,0.565,1
Marchf3,9.16E-09,-0.574013594,0.255,0.39,0.000213655
Marchf4,8.17E-09,0.579190671,0.475,0.375,0.000190604
Marchf5,0.000273162,-0.255914607,0.307,0.405,1
Marchf6,0.77861722,0.02727775,0.7,0.736,1
Marchf7,0.02155893,-0.085988104,0.466,0.55,1
Marchf8,8.04E-05,0.769465536,0.278,0.218,1
Marchf9,0.235277288,-0.359194528,0.018,0.027,1
Marchf10,0.000153397,-0.4843072,0.076,0.135,1
Marchf11,3.27E-42,0.690493772,0.943,0.901,7.64E-38
Septin1,0.028268314,-0.145659778,0.167,0.214,1
Septin2,0.236039915,-0.165036514,0.158,0.18,1
Septin3,0.003424807,-0.135051204,0.589,0.679,1
Septin4,0.656287425,0.024132746,0.782,0.815,1
Septin5,0.09348917,-0.12023146,0.059,0.081,1
Septin6,0.003861485,-0.169788144,0.478,0.564,1
Septin7,1.26E-22,-0.51914993,0.749,0.871,2.93E-18
Septin8,0.944189827,0.064612014,0.599,0.649,1
Septin9,0.592269729,0.098297772,0.01,0.013,1
Septin10,0.220395222,-0.094351277,0.117,0.137,1
Septin11,3.52E-06,-0.18058772,0.844,0.906,0.082051871
0610005C13Rik,0.017671088,1.487776828,0.031,0.016,1
0610009B22Rik,0.506591014,0.319608416,0.077,0.088,1
0610009E02Rik,0.168757706,-0.006386282,0.159,0.187,1
0610009L18Rik,0.521181711,0.351480181,0.026,0.032,1
0610010F05Rik,0.321249108,-0.018043221,0.688,0.752,1
0610010K14Rik,0.798931729,0.347665622,0.039,0.037,1
0610012G03Rik,0.381906206,0.30909005,0.11,0.127,1
0610030E20Rik,0.914893879,0.149333044,0.368,0.384,1
0610038B21Rik,0.606702607,0.403131101,0.018,0.015,1
0610040B10Rik,1.34E-06,1.353304835,0.105,0.051,0.031361665
0610040F04Rik,8.73E-07,-0.585155167,0.133,0.23,0.020368471
0610040J01Rik,0.550092605,0.453071967,0.09,0.085,1
0610043K17Rik,0.012670046,0.266201155,0.67,0.664,1
0710001A04Rik,0.681169542,0.363381901,0.016,0.014,1
1110002J07Rik,0.499975028,0.229349207,0.044,0.038,1
1110002L01Rik,0.641667821,0.323705579,0.167,0.163,1
1110002O04Rik,0.269685715,0.527263938,0.025,0.018,1
1110004F10Rik,0.581408981,0.108527803,0.343,0.379,1
1110008P14Rik,4.67E-07,-0.303537538,0.322,0.451,0.010887098
1110013H19Rik,0.126163257,0.875594043,0.023,0.014,1
1110017D15Rik,0.028138689,-0.136337524,0.122,0.16,1
1110018N20Rik,0.608159779,0.290046706,0.074,0.082,1
1110019D14Rik,8.49E-05,-0.404094451,0.276,0.367,1
1110020A21Rik,0.911952308,0.134517613,0.031,0.032,1
1110032A03Rik,0.135928335,0.3646992,0.278,0.259,1
1110032F04Rik,0.001386332,-0.603389452,0.034,0.071,1
1110035H17Rik,0.648675384,0.203999163,0.072,0.079,1
1110038B12Rik,0.071967184,-0.4792307,0.051,0.071,1
1110038F14Rik,6.19E-05,-0.337590395,0.268,0.371,1
1110046J04Rik,0.205962724,0.430196888,0.327,0.319,1
1110051M20Rik,0.17568701,0.089119527,0.842,0.863,1
1110059E24Rik,0.305987544,0.013668877,0.195,0.218,1
1110059G10Rik,0.019158995,-0.347736716,0.059,0.09,1
1110065P20Rik,0.007398646,-0.284183496,0.082,0.123,1
1190005I06Rik,0.876048671,0.297164138,0.09,0.094,1
1190007I07Rik,0.324700219,0.349229787,0.087,0.075,1
1300002E11Rik,0.271020483,0.775695058,0.059,0.049,1
1300014J16Rik,0.927668484,0.588876562,0.011,0.011,1
1300017J02Rik,0.783725066,0.242032009,0.13,0.139,1
1500002C15Rik,0.46232335,0.504238745,0.015,0.011,1
1500004A13Rik,1.66E-17,0.398081125,0.931,0.918,3.87E-13
1500009C09Rik,0.587514997,0.520222801,0.031,0.027,1
1500009L16Rik,4.78E-09,-0.779224471,0.14,0.259,0.000111579
1500011B03Rik,0.161222622,0.377309001,0.287,0.271,1
1500012K07Rik,0.074565222,-0.348585952,0.021,0.036,1
1500015A07Rik,0.669382341,0.248024686,0.113,0.123,1
1500015L24Rik,2.84E-06,-1.532948781,0.015,0.063,0.066167557
1500026H17Rik,0.015850594,-0.127717188,0.163,0.212,1
1500032F14Rik,0.283423558,0.77491718,0.021,0.015,1
1500035N22Rik,0.038480111,0.381981572,0.507,0.503,1
1520401A03Rik,0.767443925,0.393073546,0.008,0.01,1
1600002D24Rik,0.258291997,-0.856683319,0.016,0.024,1
1600002K03Rik,0.739598221,0.500332758,0.062,0.068,1
1600010M07Rik,0.959239555,0.036965184,0.673,0.718,1
1600012H06Rik,0.733388055,0.170857432,0.131,0.139,1
1600014C10Rik,0.205884485,-0.028044733,0.103,0.125,1
1600020E01Rik,0.468485881,0.383058004,0.282,0.28,1
1700001D01Rik,0.000158756,-1.559589475,0.02,0.057,1
1700001G11Rik,0.003000499,-0.728440846,0.041,0.076,1
1700001K19Rik,0.048566916,-0.237065421,0.016,0.032,1
1700001K23Rik,0.664528759,0.816454117,0.013,0.011,1
1700001L19Rik,0.227249627,-0.230457485,0.061,0.076,1
1700001O22Rik,0.291868516,0.406061435,0.097,0.085,1
1700003D09Rik,0.849695653,0.593176148,0.01,0.009,1
1700003E16Rik,0.808276167,0.326999764,0.095,0.094,1
1700003F12Rik,0.018225843,-0.08234516,0.217,0.272,1
1700003L19Rik,0.245592702,-0.240170201,0.031,0.042,1
1700003M07Rik,0.963002312,0.333616251,0.01,0.01,1
1700006F04Rik,0.142799722,0.839706453,0.018,0.011,1
1700007F19Rik,0.000112533,-0.800588157,0.039,0.088,1
1700007J10Rik,0.380301771,-0.013874415,0.087,0.1,1
1700007K13Rik,0.009637394,-1.033765967,0.008,0.026,1
1700007L15Rik,0.819420681,0.615114509,0.015,0.014,1
1700007P06Rik,0.140445464,0.03117143,0.016,0.027,1
1700008J07Rik,0.268884474,-0.060386769,0.011,0.018,1
1700008O03Rik,0.074990688,-0.170250967,0.153,0.185,1
1700010I14Rik,0.178212599,0.96357981,0.015,0.009,1
1700010K23Rik,0.434176497,-0.015048498,0.007,0.01,1
1700010K24Rik,0.025180977,0.605373446,0.148,0.116,1
1700011C11Rik,0.848699549,0.175317469,0.011,0.011,1
1700012D14Rik,0.928966728,0.29534903,0.266,0.279,1
1700012I11Rik,0.01070597,-1.755952602,0.002,0.014,1
1700013F07Rik,0.853802888,0.221922207,0.118,0.117,1
1700015F17Rik,0.833202528,0.394112511,0.013,0.012,1
1700015H07Rik,0.037924793,0.970549789,0.049,0.032,1
1700016C15Rik,0.111210114,-0.613027602,0.003,0.01,1
1700016D06Rik,0.297266653,0.017324291,0.008,0.014,1
1700016J18Rik,0.588400743,-0.1880648,0.018,0.022,1
1700016K05Rik,0.011256931,-0.687447009,0.007,0.023,1
1700016P03Rik,1.32E-33,-1.607027692,0.255,0.525,3.08E-29
1700017B05Rik,0.954365315,0.443105476,0.028,0.028,1
1700017D01Rik,0.020545559,-1.854896663,0.003,0.015,1
1700018L02Rik,0.08176062,-0.480044193,0.021,0.036,1
1700019A02Rik,0.790508345,0.182237288,0.051,0.054,1
1700019D03Rik,1.84E-15,-0.527126497,0.504,0.692,4.29E-11
1700019G24Rik,0.016614277,-0.569522086,0.033,0.058,1
1700019J19Rik,0.578722848,-0.62835859,0.01,0.013,1
1700019L13Rik,0.873522502,0.170726173,0.023,0.024,1
1700020D05Rik,0.966428542,0.435691871,0.01,0.01,1
1700021F05Rik,2.37E-06,-0.518739021,0.171,0.27,0.055381652
1700022A22Rik,0.350217326,0.511673566,0.023,0.017,1
1700022H01Rik,0.159372214,0.042757162,0.026,0.039,1
1700022I11Rik,0.010368989,-0.667915788,0.061,0.094,1
1700022N22Rik,0.000946675,1.258617269,0.044,0.02,1
1700023F06Rik,0.006500187,-0.40021222,0.1,0.145,1
1700024B18Rik,0.112413776,-0.057237372,0.665,0.73,1
1700024I08Rik,0.374461977,0.880617699,0.013,0.009,1
1700025G04Rik,0.043078869,-0.059765944,0.788,0.856,1
1700026D11Rik,0.130765864,-0.862701899,0.003,0.01,1
1700026F02Rik,0.033092013,0.730336408,0.131,0.104,1
1700026J12Rik,0.006533361,-1.413491999,0.003,0.019,1
1700027A07Rik,0.014107188,-0.785090389,0.015,0.034,1
1700027A15Rik,0.258849891,-0.399255964,0.008,0.014,1
1700027H10Rik,9.95E-13,-2.960163056,0.008,0.096,2.32E-08
1700028E10Rik,0.622116836,0.688023354,0.03,0.026,1
1700028J19Rik,0.048576748,0.875213959,0.038,0.023,1
1700028K03Rik,0.058425654,0.475236232,0.126,0.101,1
1700028P14Rik,0.000226013,-1.089319541,0.016,0.051,1
1700029I15Rik,0.11253604,1.280852708,0.021,0.013,1
1700029J03Rik,0.287239959,-0.486001852,0.007,0.012,1
1700029J07Rik,0.003324888,0.760018902,0.181,0.139,1
1700030F04Rik,0.020143412,-0.824664329,0.023,0.044,1
1700030J22Rik,0.378060289,0.102668801,0.08,0.094,1
1700030K09Rik,0.027224021,0.735199666,0.118,0.09,1
1700030M09Rik,0.18985519,0.116817448,0.011,0.02,1
1700034H15Rik,0.333437308,-0.028675489,0.056,0.067,1
1700034I23Rik,0.033323911,-0.868997036,0.018,0.035,1
1700034P13Rik,0.16945771,-0.080263453,0.043,0.057,1
1700036A12Rik,0.750223483,0.670705144,0.011,0.01,1
1700037C18Rik,0.004949034,-0.160558297,0.176,0.238,1
1700037F03Rik,0.463417164,0.366126698,0.034,0.042,1
1700037H04Rik,0.133246005,0.515014734,0.126,0.106,1
1700039M10Rik,0.7662648,0.122044485,0.01,0.009,1
1700040D17Rik,0.45898926,-0.260036519,0.011,0.016,1
1700041B01Rik,0.13132242,0.829992545,0.038,0.026,1
1700041G16Rik,0.562770327,-0.41059432,0.011,0.015,1
1700041M19Rik,0.757093016,0.219048217,0.011,0.013,1
1700047A11Rik,0.22739313,-0.161560284,0.049,0.063,1
1700047K16Rik,0.246850226,-0.095152904,0.046,0.059,1
1700048O20Rik,0.004814991,-0.615181736,0.02,0.045,1
1700052K11Rik,0.637339899,0.17790547,0.089,0.082,1
1700054A03Rik,0.045587651,-0.178964025,0.136,0.174,1
1700055D18Rik,0.851740592,0.663651408,0.01,0.009,1
1700056N10Rik,0.435585069,0.824634069,0.023,0.018,1
1700057H15Rik,0.019216191,1.187580463,0.03,0.015,1
1700060C16Rik,0.178180156,-0.12106226,0.005,0.011,1
1700061G19Rik,0.836189159,0.102618443,0.059,0.062,1
1700063J08Rik,0.940094555,0.220769874,0.013,0.014,1
1700064H15Rik,0.067098844,-0.063942528,0.039,0.059,1
1700066B19Rik,0.943674783,0.677390958,0.034,0.034,1
1700066M21Rik,0.020772497,-0.405243709,0.059,0.089,1
1700074H08Rik,0.282783514,1.105046552,0.011,0.007,1
1700080N15Rik,7.55E-06,-0.310800006,0.279,0.394,0.176105404
1700081B01Rik,0.224044086,0.555414486,0.011,0.007,1
1700081N11Rik,0.927238628,0.887422624,0.016,0.017,1
1700082M22Rik,0.085988128,1.068225856,0.01,0.004,1
1700084C06Rik,0.380948801,0.13541473,0.629,0.662,1
1700084F23Rik,0.003948209,-2.069336656,0.003,0.02,1
1700085C21Rik,0.580215208,0.34015327,0.01,0.008,1
1700085D07Rik,0.002590386,0.218206409,0.688,0.677,1
1700086D15Rik,0.28755854,-0.238019817,0.007,0.012,1
1700086O06Rik,0.747281007,0.240665733,0.097,0.094,1
1700086P04Rik,0.550348087,0.28084096,0.02,0.016,1
1700087I21Rik,0.093644324,0.429097139,0.245,0.223,1
1700087M22Rik,0.440077088,0.350644821,0.161,0.152,1
1700088E04Rik,0.173119397,0.37988788,0.243,0.224,1
1700092K14Rik,0.002199417,1.309299647,0.046,0.023,1
1700093J21Rik,0.081854223,-0.507210763,0.028,0.044,1
1700093K21Rik,0.523593658,0.021331077,0.028,0.033,1
1700094D03Rik,0.192073744,-0.138577334,0.033,0.045,1
1700094J05Rik,0.390516948,0.220165188,0.025,0.032,1
1700094M23Rik,0.000126594,-0.433028387,0.095,0.159,1
1700095A21Rik,0.374435508,-0.612391474,0.008,0.013,1
1700095J12Rik,0.205851436,-0.033148149,0.005,0.011,1
1700096K18Rik,0.668840239,0.024348546,0.026,0.03,1
1700101I11Rik,0.109292761,-0.225204178,0.01,0.02,1
1700101O22Rik,0.582431132,0.827726975,0.011,0.009,1
1700102H20Rik,0.101089012,1.324684644,0.015,0.008,1
1700102P08Rik,0.360700901,-0.300892703,0.021,0.028,1
1700105P06Rik,0.772967145,0.160033172,0.059,0.056,1
1700108J01Rik,0.083745226,0.154763636,0.066,0.09,1
1700109H08Rik,0.087869339,0.634651282,0.151,0.129,1
1700109K24Rik,8.89E-12,-0.384943494,0.631,0.786,2.07E-07
1700110K17Rik,0.010201629,-0.117921192,0.259,0.327,1
1700111E14Rik,8.69E-11,-0.334417519,0.724,0.861,2.03E-06
1700111N16Rik,0.042743839,-0.539274942,0.023,0.041,1
1700112D23Rik,0.009187835,-0.208119117,0.094,0.135,1
1700112J05Rik,0.122637787,-0.948905168,0.007,0.015,1
1700112J16Rik,0.448444111,1.250653462,0.015,0.011,1
