,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,2.51E-12,0.520512165,0.493,0.416,5.86E-08
Marchf2,0.046646227,0.130276245,0.578,0.565,1
Marchf2,0.497859384,-0.114884797,0.108,0.114,1
Marchf3,0.133569561,-0.064872211,0.368,0.39,1
Marchf4,0.517543283,0.071772397,0.378,0.375,1
Marchf5,0.07213647,-0.059193759,0.38,0.405,1
Marchf6,0.165297758,-0.023739362,0.718,0.736,1
Marchf7,0.00226016,-0.124780467,0.502,0.55,1
Marchf8,0.029406646,0.320872797,0.239,0.218,1
Marchf9,0.345674594,0.16881916,0.031,0.027,1
Marchf10,0.090393889,-0.103745686,0.12,0.135,1
Marchf11,0.179448066,0.046154466,0.904,0.901,1
Septin1,0.041928161,-0.069184884,0.188,0.214,1
Septin2,0.312602107,-0.193595421,0.171,0.18,1
Septin3,0.41129951,0.059996186,0.679,0.679,1
Septin4,0.037716949,0.088274105,0.817,0.815,1
Septin5,0.773951991,0.046268137,0.078,0.081,1
Septin6,0.021347021,-0.075015556,0.532,0.564,1
Septin7,4.72E-20,-0.279547614,0.822,0.871,1.10E-15
Septin8,0.057317972,0.123586332,0.65,0.649,1
Septin9,0.742406694,-0.025503972,0.014,0.013,1
Septin10,0.481761534,-0.124368015,0.132,0.137,1
Septin11,1.52E-05,-0.108332044,0.888,0.906,0.355396603
0610005C13Rik,0.09726005,0.793123645,0.023,0.016,1
0610009B22Rik,0.247726126,-0.124045114,0.079,0.088,1
0610009E02Rik,0.553589611,0.005919036,0.18,0.187,1
0610009L18Rik,0.023888027,-0.284214884,0.022,0.032,1
0610010F05Rik,0.855497174,0.028103272,0.74,0.752,1
0610010K14Rik,0.972930086,0.02922678,0.037,0.037,1
0610012G03Rik,0.04418869,-0.065788031,0.108,0.127,1
0610030E20Rik,0.449710362,0.068522251,0.39,0.384,1
0610038B21Rik,0.823537276,0.070065365,0.016,0.015,1
0610040B10Rik,0.001750147,0.641646325,0.073,0.051,1
0610040F04Rik,0.006958888,-0.165255713,0.198,0.23,1
0610040J01Rik,0.083297148,0.361441246,0.098,0.085,1
0610043K17Rik,0.609790622,0.109315619,0.658,0.664,1
0710001A04Rik,0.184630812,0.296631593,0.019,0.014,1
1110002J07Rik,0.951693444,-0.01464833,0.039,0.038,1
1110002L01Rik,0.678639182,0.019321365,0.159,0.163,1
1110002O04Rik,0.317502974,-0.396963884,0.014,0.018,1
1110004F10Rik,0.845992513,0.039569897,0.373,0.379,1
1110008P14Rik,7.16E-05,-0.170260411,0.401,0.451,1
1110013H19Rik,0.079957149,0.700146271,0.021,0.014,1
1110017D15Rik,0.34528364,0.208651256,0.168,0.16,1
1110018N20Rik,0.022612233,-0.265275568,0.065,0.082,1
1110019D14Rik,0.070997555,-0.073308001,0.342,0.367,1
1110020A21Rik,0.566198435,0.058461804,0.029,0.032,1
1110032A03Rik,0.014994391,0.191701332,0.29,0.259,1
1110032F04Rik,0.01815753,-0.306538612,0.055,0.071,1
1110035H17Rik,0.658759193,0.151437612,0.082,0.079,1
1110038B12Rik,0.218750823,-0.282821513,0.063,0.071,1
1110038F14Rik,0.036349502,-0.128523837,0.342,0.371,1
1110046J04Rik,0.032747091,0.213862909,0.339,0.319,1
1110051M20Rik,2.47E-07,0.140482168,0.878,0.863,0.005756014
1110059E24Rik,0.061432815,0.212135792,0.239,0.218,1
1110059G10Rik,0.00342879,-0.310522336,0.068,0.09,1
1110065P20Rik,0.154808501,-0.147870602,0.111,0.123,1
1190005I06Rik,0.057936639,0.432014324,0.109,0.094,1
1190007I07Rik,0.610515501,0.169811801,0.079,0.075,1
1300002E11Rik,0.575402772,0.054581532,0.052,0.049,1
1300014J16Rik,0.322152218,0.442035032,0.014,0.011,1
1300017J02Rik,0.863463779,0.035915436,0.14,0.139,1
1500002C15Rik,0.764927321,-0.042940259,0.012,0.011,1
1500004A13Rik,2.58E-06,0.121886243,0.915,0.918,0.060203829
