812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Fgf1,8.15E-125,-4.512223778,0.056,0.534,1.77E-120,-2.123406623
BC0,1.13E-264,-3.862841254,0.983,0.998,2.46E-260,0
Lrrc75aos1,2.83E-12,-3.617216097,0.009,0.072,6.15E-08,-0.815340271
8030451O07Rik,7.77E-26,-3.492983664,0.018,0.152,1.69E-21,-2.772040167
A930009A15Rik,4.27E-10,-3.426180002,0.01,0.064,9.28E-06,-2.682950494
5530401A14Rik,6.21E-103,-3.281289028,0.101,0.527,1.35E-98,-0.671099704
Agtr1a,1.68E-09,-3.236088878,0.01,0.061,3.65E-05,-0.743094997
D030068K23Rik,5.93E-88,-3.12691615,0.104,0.491,1.29E-83,0
Npy5r,1.97E-15,-3.125435075,0.018,0.104,4.29E-11,-0.98355932
BB365896,6.46E-12,-3.118543715,0.009,0.071,1.40E-07,-0.378424664
P2ry12,2.07E-70,-3.001556352,0.084,0.417,4.50E-66,-0.51068469
2610203C22Rik,3.18E-54,-2.856209534,0.08,0.357,6.89E-50,-0.717681279
Neurod6,1.11E-24,-2.783061102,0.031,0.17,2.41E-20,-1.238183247
1700019G24Rik,1.80E-09,-2.752734336,0.012,0.065,3.90E-05,-0.569522086
Abra,2.78E-13,-2.710883983,0.018,0.094,6.04E-09,-1.563736639
Hcrtr2,4.18E-34,-2.705559391,0.041,0.228,9.07E-30,-0.931054505
P2ry14,7.12E-156,-2.701491754,0.274,0.782,1.54E-151,0
Usp46os2,7.71E-07,-2.656629172,0.017,0.059,0.016734431,-1.592594845
Klhl25,2.47E-13,-2.642818502,0.025,0.105,5.35E-09,-1.539692732
Nell1os,1.75E-118,-2.628669479,0.204,0.665,3.80E-114,-0.376459367
Lgr5,7.32E-38,-2.603644274,0.064,0.275,1.59E-33,-3.005996204
Gpr150,2.50E-09,-2.594753417,0.013,0.066,5.43E-05,0
1700027H10Rik,1.89E-08,-2.593432055,0.011,0.058,0.000409749,-2.960163056
Adamts2,5.07E-66,-2.591597103,0.125,0.456,1.10E-61,0
Nkain3,2.89E-132,-2.558433501,0.327,0.751,6.28E-128,-0.583579283
Aldh1a1,3.03E-18,-2.508814811,0.036,0.148,6.57E-14,-1.070435712
A330015K06Rik,4.90E-152,-2.498524608,0.361,0.815,1.06E-147,0
1700080N15Rik,2.84E-51,-2.48895139,0.107,0.383,6.17E-47,0
Lsamp,6.32E-31,-2.465961804,0.642,0.724,1.37E-26,-3.755428498
Hs3st4,3.64E-94,-2.456392183,0.293,0.655,7.91E-90,-1.585007347
C030047K22Rik,1.88E-17,-2.451521639,0.046,0.159,4.08E-13,-0.749679759
Muc3a,6.26E-18,-2.449322573,0.038,0.15,1.36E-13,-0.498882023
4930470H14Rik,3.43E-07,-2.440824587,0.01,0.05,0.007453054,-0.606660784
9630014M24Rik,1.18E-58,-2.440501669,0.118,0.422,2.56E-54,-0.582114157
4930547E14Rik,1.32E-28,-2.401054503,0.087,0.265,2.87E-24,-1.104169642
Platr31,2.53E-53,-2.380520351,0.117,0.403,5.50E-49,-0.638927945
Lamb1,1.33E-07,-2.370482649,0.015,0.059,0.002891585,-0.375663428
4933402D24Rik,1.47E-11,-2.35619554,0.017,0.084,3.20E-07,0.512226254
4930563F08Rik,2.11E-12,-2.314332956,0.031,0.112,4.59E-08,0
Etv1,6.37E-110,-2.31001407,0.273,0.684,1.38E-105,-1.197291259
Kcnip1,1.10E-26,-2.307382586,0.07,0.236,2.39E-22,-1.437769338
4930527B05Rik,2.52E-23,-2.30185042,0.05,0.196,5.46E-19,0
Samd5,4.85E-16,-2.29246535,0.067,0.18,1.05E-11,-2.330935834
B230217C12Rik,5.88E-46,-2.291320163,0.132,0.39,1.28E-41,-0.527846178
Dchs2,6.44E-09,-2.284095438,0.025,0.083,0.000139899,0
4930567K20Rik,1.91E-22,-2.275148078,0.064,0.21,4.14E-18,0
4930509J09Rik,1.83E-81,-2.264978113,0.225,0.59,3.98E-77,-0.45430413
1810021B22Rik,6.41E-08,-2.260807237,0.019,0.069,0.001391943,0.66622197
1500035N22Rik,2.99E-97,-2.259798032,0.232,0.647,6.48E-93,0.381981572
1110032F04Rik,3.16E-06,-2.254742222,0.013,0.05,0.068574709,-0.603389452
4930471G03Rik,8.81E-07,-2.243986185,0.019,0.062,0.019123079,-0.60557828
Pitpnm2os1,1.26E-05,-2.240366635,0.018,0.054,0.274179303,0.802749871
Abcd2,1.88E-31,-2.222480544,0.084,0.277,4.09E-27,0
1700003F12Rik,7.81E-22,-2.218723622,0.055,0.195,1.70E-17,0
Hs3st1,1.42E-06,-2.209500412,0.02,0.063,0.030753888,-1.523900563
4930595D18Rik,3.99E-32,-2.20760988,0.102,0.301,8.66E-28,-0.704792189
Arl13a,1.49E-11,-2.192108609,0.018,0.086,3.24E-07,0
Trib2,1.53E-08,-2.176294548,0.016,0.066,0.000331985,-0.64807261
Tmc2,9.56E-07,-2.173165117,0.026,0.072,0.020758774,-0.508233226
Lrrn1,1.22E-38,-2.172296732,0.125,0.354,2.64E-34,-0.618802678
Whrn,0.000257785,-2.161363255,0.021,0.051,1,-1.367269616
Galnt12,1.78E-16,-2.160352458,0.047,0.157,3.85E-12,0
A730090N16Rik,2.78E-17,-2.142381178,0.048,0.163,6.03E-13,0
Fbxl12os,1.31E-24,-2.134235338,0.094,0.259,2.84E-20,0.433865368
Vangl2,9.86E-15,-2.132025853,0.058,0.162,2.14E-10,1.183324349
Xirp2,6.12E-05,-2.125602127,0.019,0.052,1,-1.067331582
Wnt9a,5.82E-11,-2.117852763,0.035,0.11,1.26E-06,-0.612575447
Vxn,9.91E-121,-2.115085139,0.347,0.757,2.15E-116,-0.481408145
4930473D10Rik,1.67E-11,-2.108981749,0.038,0.117,3.62E-07,-3.062083205
St6gal2,2.16E-13,-2.105996968,0.045,0.137,4.70E-09,0
Kmo,7.91E-13,-2.086683591,0.04,0.128,1.72E-08,-0.875890824
Tmprss7,2.47E-08,-2.085516677,0.039,0.1,0.000535665,-2.928763275
Kcnv1,2.87E-05,-2.073329504,0.017,0.05,0.622078084,0
Hes1,3.32E-26,-2.072964424,0.095,0.268,7.20E-22,0
Rab42,1.88E-10,-2.061531121,0.029,0.098,4.08E-06,0
Serpinc1,4.61E-10,-2.055069525,0.05,0.127,1.00E-05,1.044493151
Tmprss4,6.99E-09,-2.039422449,0.025,0.083,0.000151783,0
C730002L08Rik,7.49E-43,-2.036454636,0.165,0.414,1.63E-38,-1.318057972
Macrod2os2,2.56E-18,-2.030483442,0.079,0.209,5.57E-14,0
4930533B01Rik,6.53E-21,-2.01795925,0.114,0.262,1.42E-16,-0.329802649
Krt20,1.20E-10,-2.016663461,0.034,0.106,2.61E-06,-0.35374959
Cr2,9.42E-07,-2.015785587,0.025,0.071,0.020437951,-0.541456788
4930556N13Rik,1.76E-34,-2.013311504,0.139,0.351,3.81E-30,0
Dtnbos,3.14E-61,-2.004806456,0.189,0.51,6.81E-57,0
Camk1g,8.89E-23,-1.998552268,0.074,0.228,1.93E-18,-0.874502798
Lrrn3,1.77E-35,-1.996472936,0.105,0.322,3.84E-31,0
B3galt2,7.34E-40,-1.996298247,0.137,0.378,1.59E-35,-0.665215145
9630028H03Rik,9.10E-197,-1.988418101,0.619,0.943,1.98E-192,-0.541801816
4933411O13Rik,5.71E-28,-1.980886516,0.113,0.297,1.24E-23,-0.533468715
Pla2g4e,3.77E-38,-1.976015832,0.113,0.345,8.18E-34,-1.013038417
Taf7l,1.85E-08,-1.96934279,0.041,0.105,0.000400701,-0.416376485
BC048559,1.40E-07,-1.967346651,0.028,0.081,0.003031115,0.466091476
3200001D21Rik,6.49E-16,-1.961244621,0.07,0.186,1.41E-11,0
S1pr3,7.32E-05,-1.959176614,0.021,0.054,1,0
Shisa6,2.91E-26,-1.958964143,0.126,0.304,6.31E-22,-0.49022441
1700019D03Rik,7.17E-72,-1.958364363,0.258,0.593,1.56E-67,-0.527126497
Otx1,0.000104672,-1.953214871,0.023,0.057,1,-0.519153334
Ggact,7.66E-98,-1.947861534,0.39,0.735,1.66E-93,0
4930452B06Rik,1.30E-27,-1.942683221,0.097,0.278,2.83E-23,-0.968834857
2810454H06Rik,0.000153753,-1.933402777,0.027,0.06,1,0.742807047
Prkd1,4.94E-17,-1.9320446,0.091,0.219,1.07E-12,-1.237094977
Mgat4c,1.10E-192,-1.927705499,0.734,0.954,2.40E-188,-1.375184363
Slc1a6,1.31E-06,-1.923926922,0.031,0.08,0.028506272,0
