,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Creb5,5.87472558259952e-198,5.52481462720718,0.593,0.03,1.24902540611648e-193
Htr2c,1.80408643959063e-152,5.62279708439256,0.662,0.122,3.83566817921363e-148
Klhl1,3.79436877269845e-140,3.04657446069037,0.853,0.382,8.06720744763417e-136
Cntnap2,1.03271893565082e-130,1.42966706276573,0.988,0.998,2.1956637290872e-126
BC0F70,8.89699984707473e-130,-2.8118709530641,0.971,0.999,1.89159113748656e-125
AAV-CAG-Sox11,1.77365468436187e-117,-2.63600438741327,0.998,1,3.77096722442177e-113
Asic2,6.60884964005029e-115,-1.07533353541685,0.966,0.998,1.40510752197109e-110
Cntnap5c,6.66056811364619e-115,2.46529126413999,0.907,0.668,1.41610338664232e-110
Hdac9,8.75326166465187e-109,-1.83459546842884,0.483,0.932,1.86103096252163e-104
BC1F70,2.12289848799459e-105,4.62975571078254,0.449,0.056,4.5134944753253e-101
Fgf1,4.01019739006171e-103,-5.94926156460131,0.015,0.665,8.52608067101019e-99
Grm8,1.06024149205602e-97,-1.29955464096946,0.745,0.973,2.2541794362603e-93
Gm49678,2.39763860327757e-97,-1.34254367230997,0.691,0.969,5.09761943442845e-93
Rph3a,1.39688893454234e-96,-3.70533271872921,0.066,0.693,2.96992556373046e-92
Mgat4c,4.68981933260369e-96,-2.05148434025183,0.407,0.882,9.9710248830487e-92
Arpp21,8.64054645825492e-95,-0.83682879794552,0.971,0.998,1.83706658248958e-90
Grid2,9.37895003658643e-94,-0.978254605490971,0.914,0.996,1.99405856727864e-89
Hrk,4.05824822942595e-92,3.71344188678743,0.446,0.07,8.62824156058252e-88
Sh2d6,4.46699042825181e-92,5.53040826911049,0.304,0.016,9.49726834950617e-88
Pex5l,2.14767118641171e-90,-0.759021234712344,0.98,0.999,4.56616370942993e-86
Etv1,3.80548000483011e-90,-3.15078765302947,0.11,0.708,8.09083103826931e-86
March1,9.23555468023081e-89,2.52002720601541,0.73,0.322,1.96357128056387e-84
Abca1,3.88269047015919e-86,4.21007597310022,0.36,0.039,8.25498820860546e-82
Pde4b,2.40335513202768e-85,-1.31366253657959,0.743,0.966,5.10977334620406e-81
Kcnn2,1.99126755959947e-80,-1.19350829853964,0.765,0.981,4.23363395846443e-76
Frmd4a,2.98401322787433e-80,-0.872548853265461,0.912,0.997,6.34431052378362e-76
Lingo2,3.58530125179561e-80,-1.09432757679559,0.828,0.983,7.62270899144264e-76
Magi2,1.1791632141194e-79,-0.671192768932989,0.99,1,2.50701890953925e-75
4930419G24Rik,1.62995121864852e-78,-0.858957780848705,0.941,0.998,3.46543928596862e-74
Cadm1,2.54785041750071e-73,-1.61757755105569,0.422,0.86,5.41698477264826e-69
Cttnbp2,1.32204974269845e-70,-0.805609876119997,0.89,0.989,2.81080995795117e-66
Hs6st3,3.49796812962895e-69,0.79446123083463,0.988,0.991,7.43703004040411e-65
Kcnip4,5.55967948941243e-67,-0.601464243617974,0.99,1,1.18204345624398e-62
Aff3,1.40792488910413e-66,-1.0670922650427,0.696,0.939,2.9933891067243e-62
Dgkb,6.57946914800014e-66,1.3788213352491,0.89,0.792,1.39886093555631e-61
Rgs6,7.90911331739283e-66,1.24678549283887,0.939,0.882,1.68155658241089e-61
Vxn,3.5066282232867e-65,-1.704606255024,0.304,0.801,7.45544226552984e-61
Ccdc171,1.11412277917597e-64,2.09556603963468,0.718,0.453,2.36873644080603e-60
Mdga2,1.2046925848257e-64,-0.776585234839926,0.904,0.992,2.56129690459792e-60
F13a1,4.13597388247595e-64,4.61413957721877,0.25,0.022,8.79349407153212e-60
Slc9a9,1.01226794889542e-63,1.27309993012538,0.885,0.819,2.15218288614656e-59
Gria3,1.19918956184242e-62,-0.702580429362639,0.919,0.995,2.54959692743318e-58
Stat1,2.29290510087153e-62,3.46839517231321,0.404,0.095,4.87494553496296e-58
Thrb,3.17727433050373e-62,-0.878287620794871,0.836,0.976,6.75520295408397e-58
Hs3st5,9.93333630083816e-62,2.62909561243618,0.735,0.537,2.1119266309212e-57
Ube2e2,9.70782248763957e-61,0.725576880941444,0.983,0.987,2.06398013909705e-56
Rasal2,1.26302219217554e-60,-0.834934555555007,0.85,0.979,2.68531148278442e-56
Csmd2,3.14494765651882e-60,-0.686668597660208,0.926,0.992,6.68647321252465e-56
Ahi1,4.8855036508607e-60,-0.708599530943047,0.958,0.999,1.03870693120949e-55
Gm15680,5.94184942620007e-60,-1.79015759757491,0.262,0.743,1.2632966065044e-55
Ccser1,1.23225131690507e-59,-0.764528017313986,0.892,0.989,2.61988952487188e-55
Etv5,1.53975558788296e-59,-1.855272211103,0.208,0.681,3.27367435539797e-55
Itga9,1.61523161438015e-59,3.64659147551668,0.301,0.045,3.43414393533365e-55
Pde10a,2.07640628459996e-59,-0.984857582285673,0.777,0.975,4.41464740168798e-55
Pcsk2,2.38439065996594e-59,-0.746158194462707,0.904,0.994,5.06945298215359e-55
Car10,3.08226635539528e-59,-1.56677303611558,0.49,0.82,6.55320649820591e-55
Cdh8,4.2910021344039e-59,-1.19346018280727,0.598,0.91,9.12309963795613e-55
Ntrk3,8.82950801162051e-59,-0.852181265959921,0.799,0.972,1.87724169835064e-54
Elmo1,9.39600080320668e-59,-1.2158983518955,0.387,0.804,1.99768373076977e-54
Bcl2l11,6.43451010570683e-58,5.96031506635248,0.174,0.005,1.36804119357433e-53
Kcnh7,6.83288568728953e-58,-0.605142064074724,0.975,0.998,1.45273982597463e-53
