,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,5.46E-156,2.02298209,0.832,0.414,1.35E-151
Marchf2,1.58E-15,0.929777689,0.182,0.085,3.89E-11
Marchf2,0.000303837,0.084682261,0.573,0.447,1
Marchf3,0.686285097,0.106185711,0.348,0.328,1
Marchf4,0.38387491,-0.216630267,0.326,0.323,1
Marchf5,4.12E-13,0.376473804,0.404,0.254,1.02E-08
Marchf6,1.86E-18,0.393488173,0.799,0.6,4.58E-14
Marchf7,1.39E-32,0.626164544,0.683,0.423,3.43E-28
Marchf8,0.47294456,-0.244334802,0.194,0.174,1
Marchf9,0.008117411,-1.74966489,0.003,0.014,1
Marchf10,1.27E-06,-0.996974865,0.123,0.187,0.031385263
Marchf11,5.64E-164,1.154387284,0.981,0.861,1.39E-159
Septin1,0.022792894,-0.817452187,0.097,0.121,1
Septin2,0.083196416,-0.071492553,0.121,0.096,1
Septin3,3.45E-22,-0.880182412,0.484,0.576,8.52E-18
Septin4,1.33E-96,-1.474530823,0.465,0.752,3.29E-92
Septin5,0.21711642,-0.686590431,0.049,0.059,1
Septin6,0.450429391,-0.028943961,0.581,0.514,1
Septin7,0.338391899,0.048611337,0.823,0.747,1
Septin8,7.66E-36,0.685070936,0.756,0.52,1.89E-31
Septin9,5.01E-09,1.299971124,0.047,0.014,0.000123533
Septin10,0.000590331,-1.1235822,0.082,0.119,1
Septin11,1.17E-34,0.491642308,0.943,0.843,2.90E-30
0610005C13Rik,0.055588966,-1.361475501,0.011,0.021,1
0610009B22Rik,0.022119472,-1.353365874,0.019,0.034,1
0610009E02Rik,0.570252903,-0.32432759,0.114,0.103,1
0610009L18Rik,0.047401201,0.360032821,0.027,0.016,1
0610010F05Rik,0.132773685,-0.125590773,0.726,0.665,1
0610010K14Rik,0.04366653,0.252732428,0.026,0.015,1
0610012G03Rik,0.755943408,-0.604290307,0.105,0.104,1
0610030E20Rik,4.10E-07,-0.840632231,0.291,0.344,0.010114273
0610038B21Rik,0.634198491,0.221076272,0.015,0.012,1
0610040B10Rik,0.266772967,-1.037086105,0.045,0.053,1
0610040F04Rik,0.207183657,-0.494891309,0.217,0.223,1
0610040J01Rik,1.60E-06,0.346926728,0.148,0.087,0.03953946
0610043K17Rik,0.31506393,-0.235248951,0.538,0.496,1
0710001A04Rik,0.774278804,-0.259254156,0.018,0.016,1
1110002J07Rik,5.51E-30,1.396089408,0.157,0.043,1.36E-25
1110002L01Rik,0.007970682,-0.01853977,0.207,0.158,1
1110004F10Rik,0.005381153,-0.038017331,0.396,0.31,1
1110008P14Rik,5.84E-09,-1.039075086,0.227,0.302,0.000144167
1110013H19Rik,0.50227685,-0.781751526,0.008,0.01,1
1110017D15Rik,3.77E-51,1.251363206,0.375,0.138,9.29E-47
1110018N20Rik,0.097507827,0.208518924,0.054,0.04,1
1110019D14Rik,0.089829379,-0.065813665,0.371,0.313,1
1110020A21Rik,2.87E-07,0.759396198,0.077,0.035,0.007083879
1110032A03Rik,1.82E-14,-1.466750441,0.125,0.234,4.48E-10
1110032F04Rik,9.68E-05,-2.011719731,0.013,0.04,1
1110035H17Rik,1.43E-05,-1.50603014,0.031,0.071,0.353189503
1110038B12Rik,5.26E-05,0.393269069,0.056,0.027,1
1110038F14Rik,0.828899179,-0.416623508,0.282,0.261,1
1110046J04Rik,3.24E-17,-1.366540636,0.194,0.318,8.00E-13
1110051M20Rik,0.207686241,-0.05923141,0.905,0.844,1
1110059E24Rik,0.000356721,0.093749724,0.284,0.21,1
1110059G10Rik,0.688567471,-0.415652791,0.05,0.053,1
1110065P20Rik,0.005422172,-1.233591103,0.034,0.056,1
1190005I06Rik,0.547872268,-0.125087275,0.094,0.099,1
1190007I07Rik,0.41200614,-0.632215064,0.041,0.047,1
1300002E11Rik,0.000135057,0.504305882,0.077,0.044,1
1300017J02Rik,0.000399511,0.25359983,0.149,0.101,1
1500002C15Rik,0.411934383,0.129516961,0.011,0.008,1
1500004A13Rik,0.071424384,0.137590157,0.884,0.808,1
1500009C09Rik,0.002317583,-1.559547172,0.009,0.026,1
1500009L16Rik,0.0311071,-0.040439479,0.24,0.196,1
1500011B03Rik,0.128756693,-0.708150531,0.126,0.139,1
1500012K07Rik,0.007478716,-1.654572679,0.015,0.031,1
1500015A07Rik,0.052176127,-0.781298569,0.083,0.102,1
1500015L24Rik,5.62E-06,-2.089750491,0.021,0.058,0.138578966
1500026H17Rik,0.343545184,-0.587122174,0.116,0.123,1
1500032F14Rik,0.048711778,-1.260057103,0.004,0.012,1
1500035N22Rik,5.12E-87,-2.084303945,0.232,0.582,1.26E-82
1520401A03Rik,0.564131032,0.273723099,0.013,0.011,1
1600002D24Rik,2.14E-24,2.012452419,0.103,0.023,5.27E-20
1600002K03Rik,1.93E-06,0.672174736,0.075,0.036,0.047699747
1600010M07Rik,1.82E-76,-1.449347722,0.404,0.678,4.48E-72
1600012H06Rik,0.052488061,0.058887478,0.144,0.115,1
1600014C10Rik,1.37E-05,-1.600459545,0.059,0.105,0.338006584
1600020E01Rik,1.18E-33,0.947261775,0.441,0.219,2.90E-29
1700001D01Rik,0.001409934,-1.406936564,0.019,0.042,1
1700001G11Rik,5.86E-05,-1.446163278,0.03,0.066,1
1700001J03Rik,3.69E-05,2.086416145,0.016,0.003,0.911261606
1700001K19Rik,0.010337099,-1.045367754,0.013,0.029,1
1700001K23Rik,0.000538842,-3.017487203,0.001,0.016,1
1700001L05Rik,0.003080572,1.07895244,0.013,0.004,1
1700001L19Rik,7.82E-05,-1.557581778,0.032,0.067,1
1700001O22Rik,0.039335669,-0.020406764,0.101,0.076,1
1700001P01Rik,0.017907262,1.176716847,0.01,0.004,1
1700003D09Rik,0.00370637,-2.40482764,0.001,0.012,1
1700003E16Rik,0.156046622,-0.726012703,0.064,0.076,1
1700003F12Rik,2.61E-24,-2.274315291,0.055,0.196,6.44E-20
1700003L19Rik,0.004876298,-1.621986034,0.013,0.031,1
1700006F04Rik,0.634041714,-0.052585938,0.013,0.011,1
1700007F19Rik,3.57E-11,-2.230401818,0.038,0.11,8.81E-07
1700007J10Rik,2.71E-06,-1.379825847,0.067,0.119,0.06678343
1700007K13Rik,0.616142953,-0.424546095,0.01,0.012,1
1700007P06Rik,0.001200808,-2.453361414,0.006,0.022,1
1700008J07Rik,0.785703461,-0.008145262,0.009,0.01,1
1700008O03Rik,5.23E-10,-1.62365665,0.075,0.151,1.29E-05
1700010I14Rik,0.442008286,-0.286238824,0.017,0.013,1
1700010K24Rik,0.113582469,-0.6354091,0.067,0.082,1
1700012D14Rik,0.071423445,-0.503646155,0.229,0.243,1
1700013F07Rik,0.004691562,-0.971300291,0.049,0.075,1
1700015F17Rik,0.213432477,0.093222577,0.019,0.013,1
1700015H07Rik,0.000204573,-1.741591891,0.019,0.047,1
1700016D06Rik,0.025775754,-1.587465656,0.003,0.012,1
1700016J18Rik,0.560950031,-0.513531463,0.008,0.01,1
1700016K05Rik,0.000717658,-2.161575738,0.011,0.032,1
1700016K19Rik,0.099819119,-1.21805676,0.007,0.014,1
1700016P03Rik,3.99E-10,0.606500288,0.333,0.221,9.83E-06
1700017B05Rik,0.169392981,-1.00495686,0.01,0.016,1
1700017D01Rik,0.681665122,-0.235954697,0.01,0.009,1
1700018L02Rik,0.010873609,-2.12015385,0.007,0.019,1
1700019A02Rik,0.109338081,-0.032079476,0.055,0.041,1
1700019D03Rik,3.91E-86,-2.032227882,0.258,0.591,9.64E-82
1700019G24Rik,2.22E-13,-3.096121383,0.012,0.081,5.47E-09
1700019J19Rik,0.385727777,0.070792453,0.021,0.017,1
1700019L13Rik,0.000169438,0.970418696,0.037,0.016,1
1700020D05Rik,2.71E-05,1.161328992,0.023,0.007,0.66964112
1700021F05Rik,0.010067371,-0.746554565,0.171,0.199,1
1700022A22Rik,0.738682723,0.075816055,0.013,0.015,1
1700022H01Rik,0.000307849,-1.851000125,0.011,0.034,1
1700022I11Rik,0.000379343,-1.575728757,0.017,0.042,1
1700022N22Rik,0.816112948,-0.141877285,0.022,0.021,1
1700023F06Rik,0.871046168,-0.249496275,0.131,0.125,1
1700024B05Rik,0.001153467,2.086314051,0.01,0.002,1
1700024B18Rik,5.66E-60,-1.849192335,0.28,0.541,1.40E-55
1700024I08Rik,0.003838069,-1.732290472,0.007,0.021,1
1700025G04Rik,7.82E-09,0.301996794,0.868,0.779,0.000192811
1700026F02Rik,7.55E-15,-2.168055254,0.063,0.16,1.86E-10
1700026J12Rik,0.163611264,-1.13352973,0.012,0.019,1
1700027A07Rik,0.693858009,-0.377329398,0.03,0.027,1
1700027A15Rik,3.09E-05,1.362799642,0.019,0.005,0.76135844
1700027H10Rik,5.51E-09,-2.673029735,0.011,0.058,0.000136057
1700027I24Rik,0.0011495,2.22673854,0.01,0.002,1
1700028E10Rik,0.066190113,0.092462408,0.048,0.034,1
1700028J19Rik,0.00344573,0.659686999,0.04,0.022,1
1700028K03Rik,2.40E-05,-1.364783164,0.068,0.114,0.592892057
1700028P14Rik,0.037361906,-0.812189163,0.018,0.031,1
1700029I15Rik,0.985942994,-0.343928943,0.016,0.016,1
1700029J03Rik,0.376438667,-0.029747012,0.018,0.023,1
1700029J07Rik,0.091710406,-0.005992921,0.107,0.086,1
1700030F04Rik,0.174201343,-0.481066571,0.045,0.056,1
1700030J22Rik,0.273540282,-0.600497018,0.078,0.088,1
1700030K09Rik,0.229550689,-0.212389866,0.121,0.102,1
1700030M09Rik,0.099819119,-1.638595036,0.007,0.014,1
1700034G24Rik,0.115496033,0.70020041,0.011,0.006,1
1700034H15Rik,0.512848294,-0.165456857,0.06,0.054,1
1700034I23Rik,2.31E-08,-2.793524074,0.015,0.061,0.000570906
1700034P13Rik,0.09954188,0.130104774,0.045,0.033,1
1700036A12Rik,0.825850716,-0.122716074,0.016,0.015,1
1700037C18Rik,3.43E-19,-1.794364983,0.105,0.234,8.46E-15
1700037F03Rik,3.85E-05,0.491942099,0.063,0.031,0.948776194
1700037H04Rik,0.002019052,-0.028034964,0.085,0.054,1
1700040D17Rik,0.035644149,-1.486864599,0.003,0.011,1
1700041B01Rik,0.044784469,-1.343188442,0.013,0.025,1
1700041G16Rik,0.047992986,-1.369925308,0.01,0.02,1
1700041M19Rik,0.126029405,-1.623364199,0.006,0.011,1
1700047A11Rik,1.12E-10,-2.293533643,0.029,0.095,2.76E-06
