,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,4.51E-126,2.193488697,0.806,0.414,1.11E-121
Marchf2,4.29E-08,0.417949665,0.567,0.447,0.00105843
Marchf2,2.87E-06,0.741083344,0.145,0.085,0.070769163
Marchf3,1.37E-09,0.81255527,0.441,0.328,3.37E-05
Marchf4,5.85E-17,0.963623656,0.467,0.323,1.44E-12
Marchf5,1.31E-07,0.490208019,0.363,0.254,0.0032438
Marchf6,2.17E-11,0.442087554,0.704,0.6,5.35E-07
Marchf7,2.38E-37,0.922353969,0.658,0.423,5.87E-33
Marchf8,9.85E-38,1.48333642,0.398,0.174,2.43E-33
Marchf9,0.843027712,0.407751718,0.015,0.014,1
Marchf10,4.78E-11,-1.468801503,0.084,0.187,1.18E-06
Marchf11,8.79E-05,0.25057607,0.845,0.861,1
Septin1,0.4973897,0.081859642,0.133,0.121,1
Septin2,0.066838581,0.328305544,0.123,0.096,1
Septin3,0.003627263,-0.199927957,0.528,0.576,1
Septin4,5.55E-50,-1.064506406,0.518,0.752,1.37E-45
Septin5,0.049146732,-0.528075846,0.04,0.059,1
Septin6,0.000367356,-0.25105077,0.443,0.514,1
Septin7,5.57E-27,-0.751101576,0.6,0.747,1.37E-22
Septin8,2.32E-25,-1.018040991,0.315,0.52,5.73E-21
Septin9,1.07E-74,3.499269204,0.179,0.014,2.64E-70
Septin10,0.058234211,0.140547035,0.149,0.119,1
Septin11,0.756540314,0.018168061,0.839,0.843,1
0610005C13Rik,0.091236317,0.487052582,0.032,0.021,1
0610009B22Rik,0.56289196,0.004130546,0.029,0.034,1
0610009E02Rik,0.000227037,0.582404403,0.155,0.103,1
0610009L18Rik,0.057459438,0.68857581,0.028,0.016,1
0610010F05Rik,3.99E-08,0.374175864,0.752,0.665,0.000985027
0610010K14Rik,0.103862359,0.54044774,0.025,0.015,1
0610012G03Rik,4.27E-08,-1.992737889,0.037,0.104,0.001053264
0610030E20Rik,1.15E-08,-0.696310609,0.24,0.344,0.000282632
0610038B21Rik,0.141993504,0.922255471,0.02,0.012,1
0610040B10Rik,0.004530271,0.427728815,0.083,0.053,1
0610040F04Rik,2.31E-08,-0.978259493,0.13,0.223,0.000569305
0610040J01Rik,5.14E-06,0.455383184,0.15,0.087,0.126689364
0610043K17Rik,4.68E-27,-1.210572997,0.288,0.496,1.15E-22
0710001A04Rik,0.166834201,0.294192828,0.025,0.016,1
1110002J07Rik,0.206779431,-0.63558005,0.032,0.043,1
1110002L01Rik,1.65E-06,0.433157577,0.243,0.158,0.040770052
1110004F10Rik,0.110421493,0.147479263,0.348,0.31,1
1110008P14Rik,2.87E-24,-1.736169135,0.109,0.302,7.09E-20
1110013H19Rik,0.446909986,0.415617882,0.014,0.01,1
1110017D15Rik,3.88E-06,0.5708148,0.213,0.138,0.09577119
1110018N20Rik,0.437125877,-0.208690649,0.034,0.04,1
1110019D14Rik,0.023395632,0.281584425,0.364,0.313,1
1110020A21Rik,0.142137249,0.479932202,0.047,0.035,1
1110032A03Rik,0.003014026,-0.518894757,0.184,0.234,1
1110032F04Rik,1.49E-05,-1.857969891,0.006,0.04,0.36751083
1110035H17Rik,1.48E-07,-2.532909108,0.017,0.071,0.003657918
1110038B12Rik,2.82E-08,1.335074382,0.072,0.027,0.000694815
1110038F14Rik,6.28E-15,-1.403843638,0.124,0.261,1.55E-10
1110046J04Rik,4.31E-08,-0.719444438,0.222,0.318,0.001062305
1110051M20Rik,7.49E-06,0.218186925,0.871,0.844,0.184827155
1110059E24Rik,1.20E-22,1.094235386,0.387,0.21,2.96E-18
1110059G10Rik,0.513548721,0.115834278,0.06,0.053,1
1110065P20Rik,0.387265366,-0.05309772,0.066,0.056,1
1190005I06Rik,0.938670446,-0.007704809,0.1,0.099,1
1190007I07Rik,0.99528927,0.226123289,0.047,0.047,1
1300002E11Rik,3.46E-08,1.181466289,0.098,0.044,0.000854049
1300017J02Rik,0.959780928,0.002101884,0.103,0.101,1
1500002C15Rik,0.182744278,0.392747302,0.014,0.008,1
1500004A13Rik,1.25E-55,0.809925564,0.907,0.808,3.10E-51
1500009C09Rik,0.009948043,-0.803814737,0.009,0.026,1
1500009L16Rik,1.88E-06,-0.867845629,0.119,0.196,0.046442512
1500011B03Rik,0.485125919,-0.334922792,0.133,0.139,1
1500012K07Rik,0.046706507,-1.273593295,0.017,0.031,1
1500015A07Rik,6.10E-05,-1.10496658,0.052,0.102,1
1500015L24Rik,0.003866975,-0.859554418,0.031,0.058,1
1500026H17Rik,0.949285717,-0.161656127,0.124,0.123,1
1500032F14Rik,0.066960075,0.913055746,0.021,0.012,1
1500035N22Rik,1.92E-83,-2.541040258,0.175,0.582,4.74E-79
1520401A03Rik,0.442585942,-0.302292699,0.008,0.011,1
1600002D24Rik,8.39E-08,1.158518816,0.064,0.023,0.002070793
1600002K03Rik,0.741486359,-0.480679909,0.034,0.036,1
1600010M07Rik,1.90E-59,-1.350335494,0.381,0.678,4.69E-55
1600012H06Rik,0.014051738,-0.833193664,0.084,0.115,1
1600014C10Rik,0.49698513,-0.135078371,0.116,0.105,1
1600020E01Rik,5.38E-60,1.630758315,0.522,0.219,1.33E-55
