,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Creb5,5.87382155885235e-220,4.93025662587472,0.598,0.061,1.44913051678446e-215
Htr2c,5.77700735247464e-184,5.73521440864586,0.665,0.129,1.42524548392902e-179
Hdac9,5.95495050966083e-142,-2.03535371481763,0.486,0.968,1.46914584023842e-137
Asic2,7.6200400610933e-141,-1.14069707227409,0.97,0.999,1.87994008347233e-136
Klhl1,5.85520226538e-140,2.87001283803451,0.859,0.482,1.4445369508919e-135
Grm8,3.5183396911238e-137,-1.54486797226077,0.749,0.987,8.68009585197153e-133
Grid2,1.17741011914639e-135,-1.16397842228465,0.916,0.999,2.90478850494606e-131
Magi2,3.92559262836293e-132,-0.84254538319172,0.993,1,9.68482957343419e-128
Pex5l,1.28237351981121e-131,-0.913139969550867,0.983,1,3.16374371072623e-127
Mgat4c,3.4188339577267e-129,-2.27380201899963,0.409,0.932,8.43460525710753e-125
Cntnap2,7.41637791152856e-126,1.22260300864384,0.99,1,1.82969459455321e-121
Mdga2,2.9101019810506e-118,-1.02573783313291,0.906,0.999,7.17951259744993e-114
Arpp21,3.1017502894413e-118,-0.88481190541154,0.973,1,7.65232813908064e-114
Gm42418,5.84833383647332e-112,1.28495380266512,1,0.995,1.44284244079633e-107
Gm49678,6.29102274893616e-111,-1.3432804851668,0.697,0.985,1.55205822239004e-106
Pde4b,1.46383909117473e-109,-1.36776486720583,0.749,0.987,3.61143742183719e-105
Rph3a,4.69131523652087e-109,-3.57036622697102,0.067,0.728,1.15739438200206e-104
Kcnh7,5.82719302534375e-109,-0.824694295944617,0.978,1,1.43762679128256e-104
Kcnip4,1.3423114013883e-106,-0.742711347414998,0.993,1,3.31161645836508e-102
Lingo2,3.81601507695346e-102,-1.19056731817448,0.831,0.991,9.41449079635188e-98
Cntnap5c,9.74533420929011e-102,2.04402945617894,0.911,0.791,2.40427140277396e-97
Aff3,3.20598459056037e-99,-1.24162086264034,0.7,0.976,7.90948458337149e-95
Gria3,8.97903392378514e-98,-0.892317032203776,0.921,0.998,2.21521745933703e-93
Ccser1,2.31389483831033e-97,-0.938369701882436,0.893,0.996,5.70860995559541e-93
Plcb1,6.37922585661897e-95,-0.720367199857451,0.978,0.999,1.57381881108647e-90
Kcnn2,2.65086592816931e-94,-1.17188773975081,0.772,0.99,6.5399513313865e-90
