,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Vxn,0,-0.942295086259387,0.267,0.788,0
Gm28376,0,-0.989313330743358,0.663,0.957,0
Agap1,0,1.17865224003525,0.944,0.826,0
Chn1,0,-0.899161187441892,0.847,0.987,0
9630028H03Rik,0,-1.31192147308972,0.576,0.954,0
Slc7a14,0,1.39317992955415,0.886,0.534,0
Gm37459,0,-1.30853020313379,0.657,0.968,0
4930419G24Rik,0,-1.62542733669947,0.826,0.998,0
Azin2,0,1.13940965520387,0.843,0.464,0
Magi2,0,-0.72759757395622,0.998,1,0
Kcnip4,0,-0.831218150761092,0.998,1,0
Gm42439,0,-1.04592532022236,0.36,0.846,0
Cntnap2,0,1.26818358458434,0.998,1,0
Creb5,0,1.25147287908901,0.677,0.061,0
Ccser1,0,-0.809314365432703,0.965,0.996,0
Grid2,0,-0.907740405649362,0.976,0.999,0
Aak1,0,1.007896341401,0.968,0.949,0
Tenm4,0,1.03348840480435,0.988,0.985,0
Ntm,0,-0.685479354665304,0.998,1,0
Arpp21,0,-0.865003568328573,0.986,1,0
Nkain2,0,-0.750798950231459,0.996,1,0
Ctnna3,0,-1.03507013126964,0.884,0.996,0
Mgat4c,0,-1.263240199616,0.641,0.931,0
Hdac9,0,-1.17949916768107,0.753,0.969,0
Etv1,0,-1.06731748207243,0.167,0.706,0
Klhl1,0,1.64738459236779,0.87,0.481,0
Csmd3,0,-1.00829516244517,0.779,0.98,0
Pde10a,0,-1.12245672258015,0.887,0.99,0
Rhoq,0,1.45121878602917,0.824,0.357,0
Fgf1,0,-1.21953484797408,0.035,0.607,0
Kcnn2,0,-0.990895104036059,0.87,0.992,0
Gria3,0,-0.973213565468179,0.932,0.997,0
Gm49678,2.42795537909714e-303,-0.871155095678975,0.857,0.986,5.99000871577057e-299
Nrg3os,3.98692569972008e-302,-0.91860632292201,0.879,0.997,9.83614439377942e-298
Stat3,5.06580608800218e-302,1.13203441285672,0.695,0.242,1.24978501997102e-297
Tet3,1.94391683505507e-294,1.21053073570693,0.895,0.719,4.79583722376437e-290
Gm15563,3.88793140047788e-292,-0.922706064408542,0.271,0.769,9.59191555811897e-288
Gm48321,2.6937867189305e-291,-0.954704897629404,0.436,0.864,6.64584121427343e-287
Jmjd1c,5.99397024965763e-284,0.873466897432611,0.968,0.954,1.47877240029303e-279
A330015K06Rik,1.74677785838504e-282,-1.23696471253052,0.338,0.793,4.30947565442173e-278
Gm20642,2.76745864087991e-280,-0.848107797005871,0.886,0.997,6.82759721291483e-276
Hs3st5,5.20220526584209e-276,1.92161153340815,0.875,0.678,1.2834360611359e-271
P2ry14,7.04431418955192e-276,-0.935302287843403,0.336,0.819,1.73790275370435e-271
Lrtm1,6.12287632585864e-275,-0.927174832842048,0.642,0.935,1.51057481835259e-270
Gm43507,1.16429937750576e-273,-0.941874099524667,0.399,0.854,2.87244299424445e-269
Ahi1,1.37362766478128e-271,-0.725509083559848,0.976,0.999,3.38887681178188e-267
Kcnj3,4.57672769930472e-270,-0.894351151287418,0.689,0.956,1.12912449069547e-265
Gm15680,2.92396163562203e-267,-1.06247236906342,0.161,0.653,7.2137057512431e-263
Foxp1,1.09246701264798e-261,0.713982561724294,0.991,0.99,2.69522536690382e-257
Tanc1,5.06615451212582e-260,1.01773567344065,0.877,0.668,1.24987097968656e-255
Gm32250,1.00334201351403e-258,-0.852074146471049,0.618,0.92,2.47534508154047e-254
Mrtfa,6.24501873500057e-257,0.858167425699895,0.912,0.772,1.54070857211199e-252
Nell1os,2.46468038131894e-255,-0.881800683556878,0.19,0.679,6.08061296875195e-251
Gria2,1.1584348985729e-254,-0.664203291572544,0.983,1,2.85797473826921e-250
Blnk,1.49671884281958e-252,1.13700861393091,0.704,0.282,3.69255505712018e-248
Gm48091,2.43508331622387e-252,-0.846225927046328,0.516,0.892,6.00759404945592e-248
Gm15738,2.34428327522717e-249,-0.821382332502245,0.696,0.939,5.78358126831294e-245
March1,3.50055347827488e-248,1.22554391894674,0.802,0.417,8.63621548625194e-244
Ube3a,4.78917743916343e-247,-0.710952119407588,0.973,0.997,1.18153796601601e-242
Stxbp5l,1.10919129005904e-246,0.683119500611275,0.987,0.984,2.73648583170465e-242
Btbd9,2.42056744776339e-245,0.878143535387852,0.925,0.838,5.97178195037705e-241
Rph3a,4.29540338846174e-245,-0.747259270245941,0.228,0.732,1.05971896996739e-240
Dtna,8.22704332152453e-245,0.802351732887638,0.955,0.911,2.02969385785332e-240
Vsnl1,1.15263583289793e-243,-0.786646594251381,0.733,0.964,2.84366786334248e-239
5330438D12Rik,7.63349396164257e-243,-0.787213550571265,0.698,0.949,1.88325929527684e-238
Pcsk2,3.51056688810098e-241,-0.703876730441213,0.949,0.997,8.66091956963393e-237
Gm20275,7.15578052419986e-240,-0.794928728437516,0.658,0.943,1.76540261312535e-235
Slc9a9,1.23628913674259e-238,0.843816732146574,0.963,0.886,3.05004892925763e-234
Igsf9b,3.3079845239533e-238,1.01130589800992,0.917,0.839,8.16112861904519e-234
Sbno2,5.04997981007097e-238,1.08538251613973,0.658,0.251,1.24588051894261e-233
Opcml,6.40403058995091e-238,-0.597948570994007,0.998,1,1.57993838684679e-233
Psd3,1.49821093397078e-237,-0.738011569691353,0.828,0.97,3.69623619519932e-233
Cpne8,4.28944718590945e-237,1.01226869938121,0.821,0.52,1.05824951523572e-232
Mef2c,2.82009179381114e-236,-0.705290100732716,0.948,0.997,6.95744846451147e-232
Taf15,2.27030639939531e-235,0.963818313363018,0.884,0.708,5.60107291794816e-231
4930545L23Rik,3.73568658433598e-235,-0.876263156779405,0.387,0.802,9.21631237221529e-231
Lims1,2.58527245616621e-233,1.1444108676474,0.815,0.569,6.37812567660766e-229
Syne2,4.33600754879561e-233,0.734638077021805,0.599,0.171,1.06973642236336e-228
Asic2,5.28560677647802e-233,-0.529287194708829,0.993,0.999,1.30401204782489e-228
Pcnx,2.63512219637635e-232,1.0401832512109,0.881,0.734,6.50110997068009e-228
Tafa1,2.21148204903335e-231,-0.659568842678139,0.994,1,5.45594736317018e-227
Atf3,1.66728939500978e-229,0.729114430932958,0.378,0.023,4.11336966642863e-225
Stmn4,3.29192707748281e-228,0.756647454781918,0.73,0.311,8.12151329285783e-224
Gm36975,2.24169324537398e-227,-0.794685480491824,0.736,0.958,5.53048140566214e-223
Dscaml1,1.19677768294547e-226,-0.718785866861423,0.918,0.992,2.95257022159477e-222
Gm15520,2.69728148468902e-226,-0.801684533316747,0.53,0.892,6.65446315087628e-222
Pigk,3.31962921171065e-226,-1.08009961078879,0.818,0.947,8.18985722821134e-222
5530401A14Rik,9.79700993416913e-226,-0.664004757360356,0.134,0.587,2.41702032085887e-221
Far1os,5.51541570580116e-224,-0.786507253617959,0.346,0.757,1.36070820877821e-219
Gm43376,6.28647787254891e-224,-0.750467844071862,0.443,0.832,1.55093695593654e-219
Nav3,6.14089930571621e-223,-0.536214873340436,0.988,1,1.51502126771324e-218
Cmip,8.72638550520645e-223,0.846397888152637,0.93,0.892,2.15288656798948e-218
Nebl,7.86594751571279e-222,0.587414948928103,0.99,0.995,1.9406079116015e-217
Arhgef12,4.33552792088793e-219,0.798343205794559,0.938,0.878,1.06961809336226e-214
Snrnp70,6.81575343665985e-219,0.677869823639551,0.976,0.967,1.68151453035835e-214
Gm48678,7.7705366928211e-219,-0.773651912448488,0.577,0.901,1.91706910748589e-214
Nkain3,5.07118961790993e-216,-0.952480938581451,0.341,0.735,1.25111319063456e-211
Gsdme,7.46939523938678e-216,-0.75741356804614,0.724,0.951,1.84277449950911e-211
Igf2bp2,2.03015733483578e-215,1.03496851839708,0.663,0.292,5.00860116077335e-211
Grm5,7.49846873653778e-215,-0.59956065943534,0.98,1,1.84994722199123e-210
Lingo2,1.36357445650363e-214,-0.752876577647989,0.94,0.992,3.36407454164011e-210
Nyap2,7.66692160999722e-212,-0.739594660337488,0.644,0.909,1.89150623040241e-207
CAG-Sox11,9.13886384485211e-212,1.98457943088581,0.304,0,2.25464909916346e-207
Gpr158,9.99608301080732e-212,0.976417023040993,0.957,0.919,2.46613363959627e-207
Fgfr2,2.25323182388476e-210,-0.645029652656484,0.873,0.984,5.55894823270609e-206
Tenm2,9.83547647594274e-210,-0.689180175498547,0.987,1,2.42651040137983e-205
Gm16183,1.31314860276196e-209,-0.747496452329678,0.532,0.871,3.23966891787403e-205
Thsd7a,6.40204489169665e-209,0.845761781324942,0.468,0.091,1.57944849523048e-204
Eif2ak3,9.28442719524137e-208,0.779449998634124,0.734,0.361,2.290561033338e-203
Gm26936,3.85948359443556e-207,-0.665115196210382,0.161,0.589,9.52173197583197e-203
Ubr5,8.07537820216006e-207,0.796461155542184,0.892,0.788,1.99227655625491e-202
Hecw1,1.74443146448329e-206,0.839654948188298,0.969,0.966,4.30368686602672e-202
Ano4,3.1892752186691e-206,0.879610834260906,0.981,0.978,7.86826089197853e-202
Gm35188,4.305204995551e-206,-0.750135371842413,0.53,0.858,1.06213712445239e-201
Stk40,1.18896633518069e-205,0.877521508264663,0.728,0.405,2.93329884552427e-201
Chrm3,2.67979528363264e-205,-0.646208073892065,0.941,0.995,6.61132294425008e-201
Rgs7,5.87629866914193e-205,0.629475493142872,0.98,0.992,1.44974164466401e-200
Pfkp,1.88015471015007e-203,0.790192013747049,0.918,0.831,4.63852968541123e-199
Pde4b,6.1896526548047e-203,-0.707430276354577,0.902,0.988,1.52704920646687e-198
1700111E14Rik,1.09521741656454e-200,-0.722622177573478,0.525,0.852,2.70201088840637e-196
Cntnap5c,5.50431070453365e-200,1.36505386533907,0.906,0.793,1.3579684939155e-195
Clvs1,1.94098102796626e-199,0.876658368818632,0.879,0.747,4.78859429409556e-195
Nell1,2.88324619674633e-198,-0.813004123048167,0.783,0.953,7.11325669199287e-194
Ncam1,5.41460733392552e-197,0.76728728032809,0.972,0.957,1.33583777535276e-192
Tox,1.14236880441484e-196,-0.724132484752456,0.899,0.989,2.81833807737185e-192
Kcnd2,2.72332246160937e-196,-0.659167520226296,0.974,0.999,6.71870884503648e-192
Pdlim1,3.54250872131305e-195,1.01590138081505,0.717,0.392,8.73972326635142e-191
D030068K23Rik,4.12137609820034e-195,-0.622643453934772,0.094,0.509,1.01678469718701e-190
Cntn5,6.28199218607137e-194,-0.779701799673782,0.778,0.964,1.54983029222567e-189
Abca1,3.134240461745e-193,0.720696614588183,0.358,0.035,7.73248464317109e-189
