,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Creb5,0,4.79039880693076,0.681,0.061,0
Fgf1,0,-5.47661684673252,0.033,0.611,0
Etv1,0,-3.02818158544538,0.169,0.705,0
Vxn,0,-2.37812260982827,0.27,0.786,0
Gm42439,0,-2.0501017439898,0.362,0.845,0
Rhoq,0,2.93072443508563,0.829,0.357,0
Klhl1,0,2.54364270499058,0.871,0.482,0
Azin2,0,2.18044769720981,0.844,0.465,0
9630028H03Rik,0,-1.9168393337341,0.577,0.953,0
Slc7a14,0,2.3678771075385,0.886,0.535,0
Gm37459,0,-1.74531195875408,0.661,0.968,0
Mgat4c,0,-1.82268296857595,0.642,0.932,0
Hdac9,0,-1.5886798597181,0.753,0.968,0
Csmd3,0,-1.26565914836506,0.781,0.98,0
4930419G24Rik,0,-1.84235599825861,0.83,0.998,0
Chn1,0,-1.16817768550764,0.848,0.984,0
Agap1,0,1.59588915184462,0.942,0.824,0
Kcnn2,0,-1.19059983572284,0.872,0.99,0
Ctnna3,0,-1.16087420002629,0.888,0.996,0
Pde10a,0,-1.32811574654023,0.888,0.991,0
Gria3,0,-1.09253302922828,0.934,0.998,0
Ccser1,0,-0.909406331630601,0.965,0.996,0
Aak1,0,1.23639162811221,0.969,0.944,0
Grid2,0,-0.970395274063864,0.976,0.999,0
Arpp21,0,-0.917951710973602,0.989,1,0
Nkain2,0,-0.768898038018798,0.996,1,0
Ntm,0,-0.712376329302573,0.997,1,0
Magi2,0,-0.744587849591008,0.998,1,0
Kcnip4,0,-0.851523687223765,0.998,1,0
Cntnap2,0,1.30480166111886,0.998,1,0
Tenm4,0,1.15675186340101,0.987,0.985,0
Stat3,8.72554934633235e-304,2.9610454227758,0.695,0.24,2.15268027923365e-299
Gm28376,2.16567848209605e-302,-1.36741295482505,0.67,0.956,5.34294538317916e-298
Gm49678,1.99304477146258e-298,-1.06884975497834,0.861,0.985,4.91704075567532e-294
Nrg3os,7.64048469323022e-297,-1.04921978351171,0.882,0.997,1.88498397866683e-292
Tet3,1.60766837187324e-295,1.79317162543725,0.894,0.718,3.96627864024847e-291
Jmjd1c,1.67654207154576e-289,1.06344022417033,0.968,0.955,4.13619694471054e-285
Gm15563,1.11848321522665e-288,-2.28942743067379,0.272,0.766,2.75940994028567e-284
Gm48321,3.82829529704675e-287,-1.78658606518147,0.438,0.862,9.44478732734404e-283
Hs3st5,6.56162704122652e-285,2.62789562399542,0.879,0.677,1.618819007341e-280
A330015K06Rik,1.25324235044782e-276,-2.26323007337498,0.34,0.79,3.09187420278982e-272
Kcnj3,2.19012267350421e-274,-1.27455227314235,0.687,0.956,5.40325164780223e-270
Gm20642,1.72820476247305e-273,-0.967949919474492,0.89,0.997,4.26365396949725e-269
Lrtm1,2.2290675748694e-272,-1.40752437066101,0.647,0.935,5.4993326139603e-268
Gm43507,9.11359790623994e-270,-1.71419417569447,0.403,0.853,2.24841573944846e-265
Ahi1,2.00222043038973e-268,-0.801428300237992,0.977,0.999,4.9396780238145e-264
P2ry14,3.56168825181021e-268,-1.82402990016898,0.338,0.815,8.78704108604097e-264
Foxp1,1.69446705645673e-266,0.823913549822381,0.991,0.988,4.1804196749844e-262
Gm15680,1.24816959951954e-265,-2.89522815684006,0.162,0.653,3.07935921897467e-261
Tanc1,1.26168170626035e-265,1.61387368465867,0.88,0.664,3.11269493751491e-261
Blnk,4.04311183182355e-261,2.55974838421257,0.71,0.279,9.97476120029188e-257
Mrtfa,4.37395729464359e-260,1.26887769335025,0.914,0.77,1.07909900416152e-255
Gm32250,1.08725871244559e-253,-1.3228264937349,0.623,0.918,2.68237596947452e-249
Stxbp5l,1.83342098820798e-253,0.782483694524512,0.987,0.982,4.5232329200079e-249
Nell1os,1.23393972324571e-250,-2.34497271277271,0.19,0.676,3.04425269121948e-246
Gria2,4.66887862802119e-250,-0.705500163159103,0.983,0.999,1.15185904631911e-245
Dtna,7.68238145347562e-250,1.0151051748379,0.956,0.909,1.89532032838697e-245
March1,1.38206147598273e-249,2.14511472903086,0.803,0.414,3.409683867397e-245
Gm15738,1.82214875613814e-249,-1.21935991918125,0.696,0.939,4.4954231962684e-245
Btbd9,6.64668859515314e-248,1.21902191857516,0.925,0.831,1.63980454331023e-243
Gm48091,2.31841250565544e-246,-1.35175976413124,0.521,0.891,5.71975549270254e-242
Taf15,1.61789557733228e-241,1.53127566930667,0.887,0.706,3.99151017883647e-237
Cpne8,3.14090327485017e-241,1.81888521692675,0.822,0.513,7.74892246938285e-237
5330438D12Rik,1.29082357466707e-240,-1.09268816669101,0.699,0.948,3.18459084106112e-236
Igsf9b,2.41984253897005e-240,1.37887004632823,0.918,0.837,5.969993527893e-236
Ube3a,8.2210039777876e-240,-0.761523040734271,0.974,0.997,2.02820389135998e-235
Vsnl1,3.88221574465087e-239,-1.06842883512376,0.736,0.962,9.57781446362817e-235
Sbno2,5.18635971834362e-239,2.80665219756971,0.661,0.252,1.27952680611255e-234
Pcsk2,7.84028976708911e-239,-0.788611669773235,0.949,0.997,1.93427788843855e-234
Rph3a,1.0026305543344e-238,-1.79970306687266,0.23,0.728,2.47358984059839e-234
Mef2c,1.18038301448356e-238,-0.80916983803521,0.948,0.996,2.91212293503238e-234
Psd3,9.01138045907507e-237,-0.987918130494873,0.829,0.97,2.22319767305841e-232
Slc9a9,1.84028910758401e-236,1.07221297842347,0.963,0.885,4.54017725732052e-232
Gm20275,1.94927447498668e-235,-1.14793390171566,0.664,0.942,4.80905505723964e-231
Syne2,4.87997932403717e-235,2.6166151491818,0.6,0.169,1.20393969903321e-230
Lims1,7.12957163947571e-235,1.94963019787716,0.816,0.567,1.75893661917505e-230
Pcnx,2.48337053957154e-232,1.56802667970198,0.881,0.734,6.12672345817695e-228
Asic2,4.41447299132098e-232,-0.558940163766287,0.993,0.999,1.0890946316888e-227
Atf3,4.6576683589667e-232,5.47192029561755,0.379,0.022,1.14909336084067e-227
4930545L23Rik,1.35847943151649e-231,-1.69832256637265,0.392,0.801,3.35150460549434e-227
