,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Xkr4,4.300587364105,4.37675209669755,8.546084975546,7.2328922619871,4.31284626608922,6.95616253504127,7.1333905037734
Gm1992,0.556551214055874,0.524756921705079,0.390312614672157,0.206281345416881,0.434120609788525,0.587254396817328,0.371362189728466
Gm19938,0.173244859445145,0.1858193239659,0.305888569824224,0.219467239300641,0.191830990676074,0.265631339220968,0.242307772047524
Rp1,0.00103313426902238,0.00548851184454457,0.00255851300823907,0.00748069651798381,0.00244567451033957,0.0055019391584564,0.00328191556222003
Mrpl15,0.177809160075563,0.140209279256135,0.0881537721078547,0.105169310683885,0.155848656650345,0.141977958869288,0.0915976048525037
Lypla1,0.21754392645372,0.195624922980041,0.0884449865788307,0.169040047384202,0.213097049886779,0.240518388593708,0.173531698367509
Tcea1,0.650585184530173,0.599368050022922,0.886824210663085,0.681613820633636,0.697701561579071,0.819521305601255,1.03540407150722
Rgs20,0.864545318892151,0.534879869248128,1.20126025982847,1.32866853681139,0.747176450566953,0.33831962728682,1.92289332505112
Gm16041,0.00502297759015514,0.00222539091755156,0.00221029158817947,0.012589731529072,0.00206550799929938,0,0.00412720031366722
Atp6v1h,1.10821883179455,1.17163864094796,2.22601333738758,2.2997187573862,1.21175684996913,1.63751855753756,3.50631424676443
Rb1cc1,1.28313338913596,1.41798926120091,1.90304891975534,2.08013389162921,1.38346601335573,1.69592358720543,2.511721818061
4732440D04Rik,0.183683348646075,0.146678271997803,0.0902473751408619,0.0557893700471948,0.140548799153588,0.196716079390022,0.137970606092351
Alkal1,0.00506209766924261,0.00375441142054162,0.00290470453565997,0.00175119939646664,0,0,0
St18,0.00752600170354467,0.00381365488058385,0.0017808181359083,0.00782230162636443,0.00823688512937728,0.0103012610434895,0
Pcmtd1,1.1456785363001,1.04253665953943,0.939134404438661,0.673820057980918,1.25425845691851,1.09928134370052,0.818379995180211
Gm26901,0.185177661238921,0.21603610195162,0.171533643933818,0.144058435712849,0.23427197290081,0.173926780666202,0.192446485567002
Gm30414,0,0,0.00137710328915293,0.00202413087868331,0,0,0.00907130682153202
Sntg1,7.21245739281468,10.7775675432369,5.7541822964401,6.13601133696625,8.68780095047581,5.64531976619545,7.81453574416817
Rrs1,0.0134053971287397,0.0185301351963372,0.00929365375566147,0.0100928313130615,0.0163778140826593,0.0054471808660146,0.00322148342868924
Adhfe1,0.0160411949608032,0.0184161015302474,0.0102550160904797,0.00760784779528335,0.0197214482095303,0.0259584445020599,0.00563830710956697
2610203C22Rik,0.311115480219108,0.370794864327502,0.0211326405537654,0.0321934754366963,0.227614864449085,0.147719109619298,0.0269118523623042
Vxn,1.16446622675491,1.37538152195065,0.21876651127987,0.288551612199272,0.955366385773411,0.556311288368825,0.0839175353198361
