,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Xkr4,8.164786032,5.523073876,4.538118562,7.056664528,5.450190279,8.936820477,6.150557311,9.08845701
Gm1992,0.359364415,0.242663499,0.17623251,0.293318925,0.262700299,0.422987464,0.238655955,0.296887999
Gm19938,0.35527687,0.237788792,0.194280611,0.30825035,0.289951061,0.44541319,0.224103682,0.419897578
Gm37381,0.002458177,0,0,0.000786757,0,0,0.004461766,0
Rp1,0.020956123,0.02113781,0.008483574,0.016841264,0.010424053,0.048979216,0.018722874,0.001328228
Sox17,0,0,0,0,0.00208806,0,0,0
Gm37323,0,0,0,0,0,0,0.005573872,0
Mrpl15,0.221484749,0.178485234,0.172112006,0.151774435,0.157822473,0.177356436,0.233272661,0.164992421
Lypla1,0.262505738,0.281936425,0.254042166,0.350492171,0.2604439,0.399316076,0.238272041,0.26152555
Tcea1,0.875116329,1.037662819,0.683607749,0.906524348,0.677030014,0.895553481,0.717983406,0.670295665
Rgs20,0.382766518,0.87195355,1.438416713,0.978670883,1.717334689,1.219950917,0.706953457,1.404303773
Gm16041,0.001004661,0.001783667,0.001091872,0.001625191,0.002048204,0,0,0.00278666
Atp6v1h,2.418875121,3.856271935,3.554564351,3.137630135,3.36417627,2.418545309,3.095300411,3.002262182
Oprk1,0.000273259,0,0,0,0,0.011851676,0,0
Rb1cc1,2.19806552,2.780717754,2.934025078,3.097794186,2.75085723,2.11979317,2.851897499,2.370603784
4732440D04Rik,0.068997469,0.123873625,0.066138663,0.169928344,0.097432865,0.067969014,0.050142567,0.06156043
Alkal1,0.006679046,0.000779905,0.002023313,0.004157379,0.013868804,0.003628118,0.013746366,0.011391544
St18,0.00948856,0.005924317,0.011831173,0.021826874,0.004925781,0.98529703,0.020973725,0.012092125
Pcmtd1,1.072601699,0.928552549,1.070965481,0.912767662,0.961659262,1.367936447,0.914896106,0.987732632
Gm26901,0.228576176,0.202769295,0.24501199,0.281519425,0.208722432,0.227770224,0.207995803,0.198298083
Gm30414,0,0,0.000531022,0.000763988,0,0,0.005872904,0
Sntg1,7.509389269,6.666336975,4.737443884,7.174149859,4.799539808,7.491187488,7.202940139,5.278764553
Rrs1,0.003937299,0.013692007,0.023694024,0.009875351,0.008173272,0.008976082,0.001954805,0.011024727
Adhfe1,0.021477299,0.032308918,0.030966978,0.021262615,0.025228875,0.076061432,0.020153406,0.03114534
2610203C22Rik,0.033230503,0.01495243,0.010237788,0.001431548,0.003672319,0.04020482,0.023342617,0.013606711
