,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4
Xkr4,3.88052967789171,3.74027276591022,2.44585772170597,6.28316372835446,2.33439654538738
Gm1992,0.810605399525361,0.913630185888149,0.84006230167787,1.41103487170083,0.597398177182827
Gm19938,0.169582714052349,0.159070486428163,0.149741094370855,0.263144580018969,0.0815517727869939
Gm37381,0.00181134444763043,0.000920165096021528,0,0,0
Rp1,0.00265521038276783,0.00882805713863389,0.0123873564418122,0.0215920760351492,0.0453578939582235
Mrpl15,0.191715443794872,0.18418227781891,0.211675921250906,0.198775724732804,0.177494125132784
Lypla1,0.179941465608803,0.264250024609172,0.225315904215044,0.300729511964002,0.220255194799749
Tcea1,0.537152230443436,0.613047022265901,0.701689270475786,1.30788094923992,1.22593160473087
Rgs20,0.629289875599493,0.799725089507938,0.540895357617161,0.66985701548678,1.45586447561558
Gm16041,0.00428978323327769,0.00740741249248358,0.00281983085526598,0,0.0253528151348874
Atp6v1h,0.976443580696972,0.956129494514797,0.857889622830492,1.73452103351554,2.69431113944791
Rb1cc1,1.24808748399728,1.13518428738063,1.1439185584295,1.53553460281389,1.90525081145462
4732440D04Rik,0.193493637634829,0.259236787159823,0.342485473106482,0.209174128679193,0.523499898227217
Alkal1,0,0.00135984579348702,0,0.00481403124278929,0
St18,0.0144501196898818,0.0197877399965781,0.0125242590968052,0.012374363900634,0.00921623310434066
Pcmtd1,1.00545126494113,1.09824100558265,1.09252988188851,1.1009814300103,1.09567990844694
Gm26901,0.192523514088414,0.210736248754283,0.202349899897387,0.263964894721904,0.162771020362759
Sntg1,6.53341071332643,7.66648983747761,4.71356086291847,3.79948197649689,3.49980892554465
Rrs1,0.0149019674243815,0.0260052433554828,0.0436273972120604,0.0555571005636431,0.0369385342789598
Adhfe1,0.00682944931560114,0.0235480108884089,0.0347532712594535,0.0276280915590254,0
2610203C22Rik,0.799881847339158,0.638835304882105,0.666711686057528,0.20174304767786,0.00657090665370008
Vxn,1.7015033446937,1.46212706942831,2.67059455354332,0.633043602043178,0.125018491191882
Mybl1,0.0123833870956301,0.0145755180662349,0.00960464331356553,0.00691465775999869,0.028099043508559
Vcpip1,0.212266877854484,0.200720797180482,0.145790275392292,0.290812989364624,0.336836810248845
1700034P13Rik,0.0169871768508911,0.0602812216981244,0.0151060572809111,0.0258169272093915,0.0184149175564141
Sgk3,0.453574998531309,0.45335115560407,0.475383327047146,0.293090558850798,0.268083794810434
Mcmdc2,0.219012410455616,0.221276343356018,0.208164257113265,0.169793588276274,0.122690872888465
Snhg6,0.0319475909623666,0.0301998457230819,0.0326992851825084,0.0645991515336168,0
Tcf24,0.00372072008408032,0.00293188239502041,0.00813360367324706,0.0106394625322671,0
Ppp1r42,0.0268353714009933,0.0135128641144186,0.00974111343724917,0.0273566873182437,0.00921623310434066
Gm15818,0.00556001313531491,0.00862679470431689,0.00683441475712419,0.00692347688701094,0
Cops5,0.542122086395761,0.574749626668139,0.701757436707501,0.562418629193662,0.537582951405412
Cspp1,1.85025562508026,1.82451311394741,2.1449642260866,2.13298159705956,1.03751336917136
Arfgef1,1.0879359721178,1.0007222927358,0.923461995829867,1.29705143138101,1.29485568045338
Cpa6,0.107607195774322,0.272760772781095,0.157137126066116,0.363159214000935,0.0744876386334212
Prex2,0.263092554094036,0.289768493922784,0.18101726613136,0.388642832530392,0.262820930308751
A830018L16Rik,4.42573843584204,4.63218941535086,3.93588205785928,8.25835592163922,4.7272619211402
Sulf1,0.00605501456589823,0.0174808631061697,0.00970761508168665,0.026289810846656,0.0473378292044391
Slco5a1,0.0741476132482497,0.116553748772911,0.103597051255956,0.109795371917461,0.170218174366551
Prdm14,0.00116945523266897,0.000778601235095139,0,0,0.0263454627843993
Ncoa2,1.87762398809393,1.75022611222732,1.29857171014929,1.78913156606989,1.44323334969208
Gm29570,0.0226501512132458,0.0239161890403051,0.0094569953390129,0.0156125851457555,0.0263454627843993
Tram1,0.0999599253021935,0.0861760976150557,0.0828437050337361,0.13761745172975,0.0959303525585953
Lactb2,0.499789672295083,0.469642785654012,0.359107927086135,0.638969900429851,0.788082415657873
Xkr9,0.000950337726269473,0.000949665361668182,0,0.00594693667345014,0
Eya1,0.00103105007294679,0.00842418202391566,0,0.0520647641948888,0
Gm9947,0.08082542740706,0.0756355481353549,0.0686654303125835,0.0337551461362566,0.100276215182704
Msc,0.00332771941157525,0.00102327280504146,0,0,0
Trpa1,0.0123965861174316,0.0232049222379115,0.0137503049165788,0.0182056069882715,0.0207354017587768
Kcnb2,5.90820774881504,5.78251113625646,4.54428374563728,3.56656969397309,3.26662579992941
Terf1,0.30024801936244,0.308501557867351,0.356738492265967,0.424181397403825,0.25723054542813
Sbspon,0.0320832633380828,0.0341742605224165,0.029418401423708,0.084620687408735,0.0361887221273009
4930444P10Rik,0.0554912987919501,0.044517895283304,0.0466639640573623,0.111090608385457,0.0729677003177589
Rpl7,0.0731968625276735,0.0702293325111567,0.135844612637746,0.191422186195853,0.196860425149781
Rdh10,0.13404564710345,0.139849701084132,0.106837378907757,0.135614751079349,0.112524360699067
Gm28095,0.0436388542974458,0.0792981388716207,0.0333875418478009,0.0290375090905713,0.223393208606926
Stau2,2.6583837010647,2.43959515332582,1.91384477674215,2.05593387950589,1.90248819183327
Gm7568,0.0527190537121419,0.0599576165412752,0.0533427158312914,0.0321371677660899,0.0548936049949723
Ube2w,1.41452205862648,1.36393578819214,1.51822519916412,1.51964329242752,1.71437024488912
Eloc,0.174071482448243,0.124038235342343,0.167018715453468,0.155881270138402,0.126237459313768
Tmem70,0.0902497956374312,0.0860283649802482,0.0732783035348186,0.0947329597405924,0.0980271530700403
Ly96,0.04745401036147,0.0447975429308094,0.0457678070798092,0.0887322847895661,0.303269489161333
Gm28376,5.07820761397161,4.46138209975065,6.52609550966135,4.51837067727636,3.27306252999635
Jph1,1.47961776724785,1.19992621549285,1.23747814168384,1.12070682721326,1.03668153197393
Gm28783,0.00661131740595511,0,0,0.0236659038702443,0
Gdap1,0.53758026804311,0.536364825994039,0.589361181366791,0.662701725570351,0.410366879114459
Gm28784,0.005644630505337,0.00161636276352774,0.00310813062105423,0,0
Pi15,0.00732443993574089,0.0113579014097121,0.0121200511035236,0.0054930067438307,0.107738811122322
Gm28154,0.00347744311862592,0.00412227906195915,0,0.0337554446812948,0.0662655866562865
Gm16070,0.0332157074474879,0.0383572301684028,0.0241488660428811,0.0820584094521342,0.0267321594603799
Crispld1,0.0240595256089183,0.0480372818027564,0.022192008101899,0.0721732441314192,0.0689558700289694
Gm28153,0.0398172434729319,0.0879500707206418,0.0330846633244093,0.0844336982669743,0.0472718026618823
Gm28756,0.134965950526247,0.155040279416229,0.13797121656651,0.180736151559845,0.251079984229261
Gm15825,0,0,0,0,0.152180951366931
Tfap2d,0.01372858829112,0.0159767476829808,0.00715182288565318,0.00404746216027626,0
Tfap2b,0.00293735729127112,0.00401929822581211,0.00457611451268957,0.00408205585395384,0
Pkhd1,0.0381817000698782,0.0498754274740994,0.0508823431625334,0.10258530789141,0.0307249471488335
4930486I03Rik,0.00267862361640919,0.00269178310191523,0.00389368980842268,0.0454851980840656,0.0327559013850833
Il17f,0.002832026926547,0.00156736544160786,0,0,0
6720483E21Rik,0.00545023372906985,0.00710872768532768,0.0118168166486172,0.00171639079403499,0
Paqr8,0.349308502818345,0.336279254432845,0.407508131044608,0.443505534993271,0.618209779208228
Efhc1,0.0130032603191496,0.033065535124603,0.0176457691721822,0.0395235708139204,0.0120132097254141
Tram2,0.00185342273738602,0.0015640542789397,0,0.0034143758196636,0.028099043508559
Tmem14a,0.0848194353418351,0.0705875834400474,0.12703021667712,0.069822084825404,0.0561773199748399
Gsta3,0.0419343584645791,0.0483244581871876,0.0321422117138265,0.114035300110291,0
Gm28836,0.0179736450402782,0.0235085254239599,0.0287499401573909,0.0326044602642445,0.0207354017587768
Kcnq5,16.632751008614,16.2371289370762,12.3423197882763,11.7097348621028,4.19654479373058
Rims1,8.31534718727218,6.95682067983043,6.16476175310108,5.96242954503257,5.71700326683593
Gm29506,0.00387028662248788,0.0105547025784028,0,0.0593717467024644,0
Gm29107,0.00364749655370077,0.0102238063454116,0.0139309910600124,0.00874378857854061,0.00921623310434066
Ogfrl1,0.236198897204427,0.23526387973368,0.351393130096605,0.339631888867584,0.324763344236922
B3gat2,1.00986102681489,1.05712681868555,1.13216770273071,0.590874412689844,0.752040181477236
Smap1,1.48400570971652,1.39672830838703,1.56148050311563,0.895250182016513,0.831910070019269
Sdhaf4,0.0581777499606178,0.0379093133550459,0.0733159760798704,0.068133419330345,0.0698663934807616
Fam135a,0.635810333015962,0.589060061397853,0.467630707470105,0.592530450861416,0.71851344198346
Col9a1,0.00306412785552619,0.00483895648433166,0.00474567455492691,0,0
