,RNA.IC_1d,RNA.IC_3d,RNA.IC_7d,RNA.Uninjured,Minimum,,14856
Marchf1,2.60939161,2.919134571,3.205255569,0.640675436,0.640675436,,
Marchf2,0.495256704,0.643036769,0.538255029,0.469204472,0.469204472,,
Marchf3,0.370161182,0.644947755,0.328841134,0.348281923,0.328841134,,
Marchf4,0.274769913,0.597624863,0.385356768,0.319466626,0.274769913,,
Marchf5,0.282789909,0.313588875,0.344139136,0.220637715,0.220637715,,
Marchf6,0.99268928,1.02327645,0.865360114,0.758721678,0.758721678,,
Marchf7,0.669694996,0.813076097,0.523050057,0.43588529,0.43588529,,
Marchf8,0.12436449,0.403089315,0.171598849,0.14823643,0.12436449,,
Marchf9,0.001890583,0.01248308,0.031470333,0.009829563,0.001890583,,
Marchf10,0.077010555,0.058493361,0.164557845,0.158398381,0.058493361,,
Marchf11,4.515480522,2.368982521,3.16705174,2.017367588,2.017367588,,
Septin1,0.054421204,0.10120652,0.159898019,0.09568976,0.054421204,,
Septin2,0.068954313,0.087008156,0.092842288,0.072216956,0.068954313,,
Septin3,0.380822534,0.60327901,0.507349561,0.700856344,0.380822534,,
Septin4,0.443893725,0.592156701,1.201888792,1.233874086,0.443893725,,
Septin5,0.02612814,0.028031439,0.060953008,0.045193905,0.02612814,,
Septin6,0.600395235,0.516527488,0.495769347,0.620148823,0.495769347,,
Septin7,1.290874943,0.763666263,0.882490045,1.247773615,0.763666263,,
Septin8,0.956597728,0.295699629,0.480100901,0.59700759,0.295699629,,
Septin9,0.028140699,0.134928945,0.049092405,0.012390235,0.012390235,,
Septin10,0.046509477,0.113686415,0.153322165,0.10102672,0.046509477,,
Septin11,2.524677819,1.795187719,1.280653451,1.799002702,1.280653451,,
Septin12,0,0,0,0,0,,
Septin14,0.000729452,0.002655386,0,0.000544756,0,,
0610005C13Rik,0.004926251,0.01964648,0.038020514,0.015276077,0.004926251,,
0610006L08Rik,0.002636852,0.000890222,0.003530575,0.002206183,0.000890222,,
0610009B22Rik,0.010248931,0.027099015,0.057037377,0.02696905,0.010248931,,
0610009E02Rik,0.061252847,0.111687883,0.096558781,0.077372046,0.061252847,,
0610009L18Rik,0.01448899,0.017200975,0.026716823,0.013171086,0.013171086,,
0610010F05Rik,0.869293536,1.234150216,0.936185983,0.951112564,0.869293536,,
0610010K14Rik,0.014194826,0.020077522,0.021396392,0.013131643,0.013131643,,
0610012G03Rik,0.061765014,0.026804897,0.218129927,0.09480318,0.026804897,,
0610025J13Rik,0.00181393,0.00055638,0.016885247,0.00404385,0.00055638,,
0610030E20Rik,0.188643849,0.202699566,0.438920165,0.338191728,0.188643849,,
0610033M10Rik,0,0.00108115,0,0,0,,
0610038B21Rik,0.009146406,0.014713012,0.009702821,0.008575783,0.008575783,,
0610039K10Rik,0,0,0,0.000532042,0,,
0610040B10Rik,0.020164489,0.05830628,0.085834627,0.042325467,0.020164489,,
0610040F04Rik,0.13753518,0.093815113,0.169375938,0.198465376,0.093815113,,
0610040J01Rik,0.09798158,0.120743643,0.196274403,0.080112083,0.080112083,,
0610043K17Rik,0.488319965,0.242206484,0.628740467,0.571929706,0.242206484,,
0710001A04Rik,0.008088224,0.011628751,0.009062917,0.010378713,0.008088224,,
1010001B22Rik,0,0,0,0,0,,
1010001N08Rik,0.001344918,0.00060689,0.008805918,0.002869047,0.00060689,,
1100001I12Rik,0.001107146,0,0,0.000271398,0,,
1110002E22Rik,0.003040111,0.00520439,0.003624239,0.002122273,0.002122273,,
1110002J07Rik,0.090368723,0.019894351,0.068114773,0.034560409,0.019894351,,
1110002L01Rik,0.130089853,0.174071632,0.226398104,0.130906127,0.130089853,,
1110002O04Rik,0.001320383,0.001097393,0.004090983,0.002941408,0.001097393,,
1110004F10Rik,0.268952712,0.31501011,0.453966661,0.277512723,0.268952712,,
1110006O24Rik,0,0.003226789,0,0.001956763,0,,
1110008E08Rik,0,0,0,0.001048214,0,,
1110008P14Rik,0.146736177,0.092417747,0.45285033,0.298082232,0.092417747,,
1110012L19Rik,0.001324228,0.005361946,0.005896721,0.002836756,0.001324228,,
1110013H19Rik,0.003328872,0.008414165,0.006615507,0.007338576,0.003328872,,
1110017D15Rik,0.279667904,0.167982661,0.150016993,0.111801126,0.111801126,,
1110018N20Rik,0.028491459,0.019437359,0.034628286,0.025328721,0.019437359,,
1110019D14Rik,0.314577191,0.413598685,0.441467097,0.327233777,0.314577191,,
1110020A21Rik,0.042592052,0.037532074,0.052516827,0.026305216,0.026305216,,
1110032A03Rik,0.079510931,0.156795082,0.294478959,0.220523413,0.079510931,,
1110032F04Rik,0.006118394,0.006327691,0.016185284,0.029522484,0.006118394,,
1110035H17Rik,0.021919846,0.011427313,0.031185832,0.064000503,0.011427313,,
1110038B12Rik,0.028324225,0.058155243,0.03299534,0.022427927,0.022427927,,
1110038F14Rik,0.180800705,0.094352192,0.32624899,0.238895418,0.094352192,,
1110046J04Rik,0.124908146,0.190370966,0.480459457,0.319800106,0.124908146,,
1110051M20Rik,1.764814612,2.134116426,1.852625208,1.845601304,1.764814612,,
1110059E24Rik,0.200534486,0.39371578,0.2794758,0.187493567,0.187493567,,
1110059G10Rik,0.028756895,0.039796607,0.048493309,0.036291277,0.028756895,,
1110065P20Rik,0.02030927,0.047068022,0.05685385,0.051669336,0.02030927,,
1190005I06Rik,0.068802499,0.064940142,0.105411634,0.077585688,0.064940142,,
1190007I07Rik,0.020490555,0.034632779,0.050108499,0.032680868,0.020490555,,
1190028D05Rik,0.001904504,0.002344934,0,0,0,,
1200007C13Rik,0,0.000989458,0,0,0,,
1300002E11Rik,0.039559978,0.061648656,0.033457942,0.028987782,0.028987782,,
1300014J16Rik,0.001782278,0.000467675,0.012049264,0.005115512,0.000467675,,
1300017J02Rik,0.093618312,0.081310534,0.116187364,0.080404138,0.080404138,,
1500002C15Rik,0.006086018,0.005167219,0.010300237,0.00627064,0.005167219,,
1500002F19Rik,0,0.001179832,0.006170947,0.000146826,0,,
1500004A13Rik,1.677414438,2.649110509,2.211076606,1.533585147,1.533585147,,
1500009C09Rik,0.006106565,0.010355324,0.005391899,0.020647404,0.005391899,,
1500009L16Rik,0.160849961,0.09018315,0.098627557,0.162887869,0.09018315,,
1500011B03Rik,0.070590526,0.09699075,0.20912519,0.115805419,0.070590526,,
1500012K07Rik,0.006795027,0.008516203,0.006041996,0.023877878,0.006041996,,
1500015A07Rik,0.048658208,0.039612398,0.155271578,0.084128497,0.039612398,,
1500015L24Rik,0.009314526,0.022658947,0.010251804,0.0441645,0.009314526,,
1500026H17Rik,0.070389822,0.089295395,0.19133655,0.106109651,0.070389822,,
1500032F14Rik,0.002648514,0.015007935,0.013844148,0.008022878,0.002648514,,
1500035N22Rik,0.185079637,0.13272168,0.450116471,0.789456793,0.13272168,,
1520401A03Rik,0.008751173,0.004939088,0.011651159,0.009606783,0.004939088,,
1600002D24Rik,0.069397512,0.044085295,0.035514393,0.017231093,0.017231093,,
1600002K03Rik,0.044095433,0.025031155,0.064845931,0.028276188,0.025031155,,
1600010M07Rik,0.401080621,0.428363276,1.367043983,1.081561345,0.401080621,,
1600012H06Rik,0.097882769,0.051509733,0.252847249,0.094495856,0.051509733,,
1600014C10Rik,0.027192386,0.079604093,0.071087347,0.083178653,0.027192386,,
1600019K03Rik,0,0,0,0,0,,
1600020E01Rik,0.379376443,0.612468046,0.331402448,0.196493235,0.196493235,,
1600022D10Rik,0.002629254,0.075331213,0.012355802,0.000529088,0.000529088,,
1600025M17Rik,0,0,0.006865398,0.000271624,0,,
1700001C02Rik,0,0,0.00511028,0.00018463,0,,
1700001C19Rik,0.000867375,0.001801555,0,0.000514458,0,,
1700001D01Rik,0.00919835,0.012069646,0.018836323,0.026798051,0.00919835,,
1700001F09Rik,0.001508113,0,0,0,0,,
1700001G01Rik,0.001544311,0.000475977,0,0.001211035,0,,
1700001G11Rik,0.018592009,0.031370417,0.057467089,0.055407656,0.018592009,,
1700001J03Rik,0.009564553,0,0.006113964,0.002173229,0,,
1700001K19Rik,0.009364374,0.011324575,0.018545069,0.02075061,0.009364374,,
1700001K23Rik,0.000231067,0.000780991,0.005159296,0.011333262,0.000231067,,
1700001L05Rik,0.006508032,0.003191849,0,0.003275263,0,,
1700001L19Rik,0.017243265,0.028255707,0.064977146,0.052755299,0.017243265,,
1700001N15Rik,0.001258887,0,0.001705204,0.001862367,0,,
1700001O22Rik,0.062212442,0.054451085,0.083158564,0.061086032,0.054451085,,
1700001P01Rik,0.005103026,0.005931396,0.003212129,0.002411672,0.002411672,,
1700003D09Rik,0.000704378,0.003587839,0.013514559,0.008464836,0.000704378,,
1700003E16Rik,0.034816489,0.033653982,0.093474444,0.055804405,0.033653982,,
1700003F12Rik,0.036505679,0.030677692,0.06982955,0.184212852,0.030677692,,
1700003G18Rik,0.001173665,0.008575233,0.008805918,0.002310232,0.001173665,,
1700003H04Rik,0,0,0,0,0,,
1700003I16Rik,0,0,0.009031792,0.000667133,0,,
1700003L19Rik,0.006938886,0.05495779,0.005896238,0.025598951,0.005896238,,
1700003M07Rik,0.000363814,0,0.01383408,0.005459569,0,,
1700003P14Rik,0,0.000890222,0,0,0,,
1700006F04Rik,0.005905859,0.013038869,0.004738962,0.00697448,0.004738962,,
1700006J14Rik,0,0,0.00286763,0.000708704,0,,
1700007F19Rik,0.017791472,0.036391183,0.057875518,0.087179157,0.017791472,,
1700007H22Rik,0,0.001104838,0,0,0,,
1700007J10Rik,0.036245085,0.015072122,0.129863483,0.097443238,0.015072122,,
1700007K13Rik,0.005774869,0.012942564,0.011599215,0.008903378,0.005774869,,
1700007L15Rik,0.004831723,0.000493646,0.004137018,0.006422237,0.000493646,,
1700007P06Rik,0.001759607,0.003730368,0.052105971,0.016499094,0.001759607,,
1700008C04Rik,0.000324341,0.000669469,0,0.00287145,0,,
1700008J07Rik,0.00573269,0.009105493,0.011829328,0.00657677,0.00573269,,
1700008K24Rik,0,0,0,0.000996412,0,,
1700008O03Rik,0.042014311,0.106446888,0.269857346,0.131274513,0.042014311,,
1700009C05Rik,0.000646267,0.002823237,0.004382121,0.001789932,0.000646267,,
1700010B08Rik,0,0,0,0,0,,
1700010B13Rik,0,0.001560737,0,0,0,,
1700010G06Rik,0.001413459,0,0,0.000250099,0,,
1700010H22Rik,0.000484708,0.000336772,0,0.001485241,0,,
1700010I02Rik,0.001117464,0.003247773,0.010575547,0.00179472,0.001117464,,
1700010I14Rik,0.00720782,0.053133769,0.023455823,0.009861566,0.00720782,,
1700010J16Rik,0,0.003312437,0,0.000463199,0,,
1700010K23Rik,0.000190926,0.001477711,0.00452492,0.001815948,0.000190926,,
1700010K24Rik,0.043599975,0.07398521,0.102064098,0.070519711,0.043599975,,
1700010L04Rik,0,0.001166892,0.002224001,0.004644215,0,,
1700011C11Rik,0,0.003315174,0,0,0,,
1700011L22Rik,0.002644235,0.001655297,0.003144259,0.002095629,0.001655297,,
1700012A03Rik,0.001560072,0,0,0.000509489,0,,
1700012B07Rik,0.00096676,0.00033974,0.003303383,0.003969254,0.00033974,,
1700012B09Rik,0,0.001082224,0,0,0,,
1700012D14Rik,0.157379437,0.285493681,0.382554652,0.221462055,0.157379437,,
1700012I11Rik,0.007056076,0.018076163,0.002063387,0.005386813,0.002063387,,
1700012P22Rik,0.001876227,0.001136124,0.005046727,0.004279965,0.001136124,,
1700013D24Rik,0,0,0,0,0,,
1700013F07Rik,0.030264758,0.043760178,0.079965391,0.066217734,0.030264758,,
1700013H16Rik,0,0.001323399,0.00350091,0.001082708,0,,
1700013N06Rik,0,0.001585948,0,0,0,,
1700014D04Rik,0.002210791,0.003758901,0.009096555,0.00166285,0.00166285,,
1700015C15Rik,0,0.00111027,0,0.001101422,0,,
1700015F17Rik,0.008936023,0.009992791,0.009086687,0.009128314,0.008936023,,
1700015H07Rik,0.010220846,0.011907276,0.041847019,0.034776403,0.010220846,,
1700015I17Rik,0.005653925,0.002763333,0,0.003018889,0,,
1700015O11Rik,0,0.000833714,0,0.000594684,0,,
1700016B01Rik,0,0.000450938,0,0,0,,
1700016C15Rik,0.000806193,0.008406907,0.016522912,0.005049559,0.000806193,,
1700016D06Rik,0.001815264,0,0.003779289,0.009363654,0,,
1700016G22Rik,0.00286535,0,0,0,0,,
